qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1,E Horn 2,C Horn 3,C Horn 4,E Trumpet 1,E Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,16.0,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2)&P8(Bassoon 2),,,P8(Flute 1)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Flute 1)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),,,,,,,,Main Part,P8(Main),,,
16.0,33.0,P8(A Clarinet 1),P8(A Clarinet 2),,,P8(Flute 1),P8(Flute 2),,,P3(E Horn 2),P3(E Horn 1),,,,,,Main Part,P8(Main),,,
33.0,41.0,P8(A Clarinet 1)&P8(Bassoon 1)&P4(Bassoon 2)&P6(C Horn 3)&P6(C Horn 4),P8(A Clarinet 2),,,P8(Flute 1)&P8(Bassoon 1)&P4(Bassoon 2)&P6(C Horn 3)&P6(C Horn 4),P8(Flute 2),P8(Flute 1)&P8(A Clarinet 1)&P4(Bassoon 2)&P6(C Horn 3)&P6(C Horn 4),P4(Flute 1)&P4(A Clarinet 1)&P4(Bassoon 1)&P3(C Horn 3)&P3(C Horn 4),,,P6(Flute 1)&P6(A Clarinet 1)&P6(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 4),P6(Flute 1)&P6(A Clarinet 1)&P6(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 3),,,,Main Part,P8(Main),,,
41.0,49.0,,P4(Bassoon 1)&P2(Bassoon 2)&P3(C Horn 3)&P3(C Horn 4),,,,,P4(Flute 2)&P3(Bassoon 2)&P6(C Horn 3)&P6(C Horn 4),P2(Flute 2)&P3(Bassoon 1)&P4(C Horn 3)&P4(C Horn 4),,,P3(Flute 2)&P6(Bassoon 1)&P4(Bassoon 2)&P8(C Horn 4),P3(Flute 2)&P6(Bassoon 1)&P4(Bassoon 2)&P8(C Horn 3),,,,Main Part,,,,
49.0,65.0,,,,,,,,,P8(E Horn 2),P8(E Horn 1),,,,,,Main Part,,,,
65.0,67.0,P3(Flute 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(E Horn 1)&P3(E Horn 2)&P8(C Horn 3)&P3(C Horn 4)&P3(Main)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P5(A Clarinet 1)&P3(A Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P5(E Horn 1)&P5(E Horn 2)&P3(C Horn 3)&P8(C Horn 4)&P5(Main)&P5(Violoncello)&P5(Contrabass),,,P3(Flute 1)&P5(Flute 2)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(E Horn 1)&P8(E Horn 2)&P3(C Horn 3)&P5(C Horn 4)&P8(Main)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(A Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(E Horn 1)&P3(E Horn 2)&U(C Horn 3)&P3(C Horn 4)&P3(Main)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P8(Flute 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 2)&P5(E Horn 1)&P5(E Horn 2)&P3(C Horn 3)&U(C Horn 4)&P5(Main)&P5(Violoncello)&P5(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(A Clarinet 1)&P8(A Clarinet 2)&P3(Bassoon 1)&P3(E Horn 1)&P3(E Horn 2)&P8(C Horn 3)&P3(C Horn 4)&P3(Main)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P5(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(E Horn 2)&P3(C Horn 3)&P5(C Horn 4)&P8(Main)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P5(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(E Horn 1)&P3(C Horn 3)&P5(C Horn 4)&P8(Main)&U(Violoncello)&P8(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(A Clarinet 1)&U(A Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(E Horn 1)&P3(E Horn 2)&P3(C Horn 4)&P3(Main)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P8(Flute 2)&P5(A Clarinet 1)&P3(A Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P5(E Horn 1)&P5(E Horn 2)&P3(C Horn 3)&P5(Main)&P5(Violoncello)&P5(Contrabass),,,,Main Part,,,P3(Flute 1)&P5(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(E Horn 1)&U(E Horn 2)&P3(C Horn 3)&P5(C Horn 4)&P8(Main)&P8(Contrabass),P3(Flute 1)&P5(Flute 2)&P8(A Clarinet 1)&P3(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2)&P8(E Horn 1)&P8(E Horn 2)&P3(C Horn 3)&P5(C Horn 4)&P8(Main)&P8(Violoncello)
67.0,72.0,,,Main Part,,,,,,P8(E Horn 2),P8(E Horn 1),,P5(Violoncello)&P5(Contrabass),,,,,,,P5(C Horn 4)&P8(Contrabass),P5(C Horn 4)&P8(Violoncello)
72.0,76.0,P4(Flute 2)&U(Oboe 1),P4(Flute 1)&P4(Oboe 1)&P2(Violin 2),U(Flute 1)&P4(Flute 2),,,,,,,,,,,,,,P2(Flute 2),Main Part,P8(Contrabass),P8(Violoncello)
76.0,80.0,,,U(Violin 2),,Main Part,,P8(Main),,,,,,,,,,U(Oboe 1),,P8(Contrabass),P8(Violoncello)
80.0,84.0,P8(Violin 1),,Main Part,,P8(Bassoon 1),,P8(A Clarinet 1),,,,,,,,,P8(Flute 1),,P8(Main),P8(Contrabass),P8(Violoncello)
