qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,31.0,Main Part,,,,P3(A Clarinet 2)&P3(D Horn 1)&P3(D Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P8(Timpani),P3(A Clarinet 1)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&U(D Trumpet 2)&P3(Timpani),P8(Main),,P3(A Clarinet 1)&P8(A Clarinet 2)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P3(Timpani),P3(A Clarinet 1)&P8(A Clarinet 2)&U(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P3(Timpani),P3(A Clarinet 1)&U(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 2)&P3(Timpani),P3(A Clarinet 1)&U(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P3(Timpani),P8(A Clarinet 1)&P3(A Clarinet 2)&P3(D Horn 1)&P3(D Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2),,,,,
31.0,37.0,Main Part,,,,,,,,,,,,,P3(Violoncello),,,P3(Violin 1),P3(Main)
37.0,49.0,,P5(Oboe 2)&P2(A Clarinet 1)&P5(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,P5(Flute 2)&P6(A Clarinet 1)&P8(A Clarinet 2)&P5(D Horn 1)&P5(D Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2),P2(Flute 2)&P6(Oboe 2)&P6(A Clarinet 2)&P2(D Horn 1)&P2(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2),P5(Flute 2)&P8(Oboe 2)&P6(A Clarinet 1)&P5(D Horn 1)&P5(D Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2),,,P8(Flute 2)&P5(Oboe 2)&P2(A Clarinet 1)&P5(A Clarinet 2)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(Flute 2)&P5(Oboe 2)&P2(A Clarinet 1)&P5(A Clarinet 2)&U(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(Flute 2)&P5(Oboe 2)&P2(A Clarinet 1)&P5(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 2),P8(Flute 2)&P5(Oboe 2)&P2(A Clarinet 1)&P5(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
49.0,72.0,,,P8(A Clarinet 1)&P8(Bassoon 1),P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1),,P8(Oboe 1)&P8(A Clarinet 1),P8(Oboe 2),,,P8(D Trumpet 2),P8(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
72.0,103.0,Main Part,,,,P3(A Clarinet 2)&P3(D Horn 1)&P3(D Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P8(Timpani),P3(A Clarinet 1)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&U(D Trumpet 2)&P3(Timpani),P8(Main),,P3(A Clarinet 1)&P8(A Clarinet 2)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P3(Timpani),P3(A Clarinet 1)&P8(A Clarinet 2)&U(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P3(Timpani),P3(A Clarinet 1)&U(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 2)&P3(Timpani),P3(A Clarinet 1)&U(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P3(Timpani),P8(A Clarinet 1)&P3(A Clarinet 2)&P3(D Horn 1)&P3(D Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2),,,,,
103.0,109.0,Main Part,,,,,,,,,,,,,P3(Violoncello),,,P3(Violin 1),P3(Main)
109.0,121.0,,P5(Oboe 2)&P2(A Clarinet 1)&P5(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),,P5(Flute 2)&P6(A Clarinet 1)&P8(A Clarinet 2)&P5(D Horn 1)&P5(D Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2),P2(Flute 2)&P6(Oboe 2)&P6(A Clarinet 2)&P2(D Horn 1)&P2(D Horn 2)&P2(D Trumpet 1)&P2(D Trumpet 2),P5(Flute 2)&P8(Oboe 2)&P6(A Clarinet 1)&P5(D Horn 1)&P5(D Horn 2)&P5(D Trumpet 1)&P5(D Trumpet 2),,,P8(Flute 2)&P5(Oboe 2)&P2(A Clarinet 1)&P5(A Clarinet 2)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(Flute 2)&P5(Oboe 2)&P2(A Clarinet 1)&P5(A Clarinet 2)&U(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(Flute 2)&P5(Oboe 2)&P2(A Clarinet 1)&P5(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 2),P8(Flute 2)&P5(Oboe 2)&P2(A Clarinet 1)&P5(A Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
121.0,144.0,,,P8(A Clarinet 1)&P8(Bassoon 1),P8(A Clarinet 2)&P8(Bassoon 2),P8(Oboe 1)&P8(Bassoon 1),P8(Oboe 2)&P8(Bassoon 2),P8(Oboe 1)&P8(A Clarinet 1),P8(Oboe 2)&P8(A Clarinet 2),,,P8(D Trumpet 2),P8(D Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
144.0,147.0,,,,,,,,,,,,,,,,,Main Part,P8(Main)
147.0,150.0,,,,,,,,,,,,,,,,,Main Part,
