score_qstamp,qstamp,measure,beat,723382_tstamp,729190_tstamp,723374_tstamp,730989_tstamp,736447_tstamp,723386_tstamp,723404_tstamp,723411_tstamp,723399_tstamp,728531_tstamp,723395_tstamp,736452_tstamp,723378_tstamp,711682_tstamp
0.0,0.0,1,3.0,1.24,3.08,3.08,1.4,0.981,2.2,2.84,1.56,2.64,0.72,2.46,0.94,0.66,3.78
1.0,1.0,2,1.0,1.426,3.3175,3.2975,1.5915,0.9882,2.3515,3.0345,1.7915,2.803,0.8715,2.6315,1.0858,0.8115,3.9315
2.0,2.0,2,2.0,1.623,3.543,3.489,1.843,0.9954,2.503,3.303,1.943,3.003,1.023,2.783,1.223,0.963,4.083
3.0,3.0,2,3.0,1.7745,3.6945,3.6745,2.0545,1.0216,2.6545,3.4745,2.0945,3.189,1.3545,2.9345,1.3745,1.1145,5.0345
4.0,4.0,3,1.0,1.9261,3.8461,3.8261,2.2661,1.0285,2.8061,3.6261,2.2461,3.4461,1.5461,3.0861,1.513,1.2861,5.1861
5.0,5.0,3,2.0,2.0976,3.9976,4.0776,2.4376,1.0353,3.0176,3.7976,2.3976,3.6776,1.7776,3.2576,1.6488,1.4376,5.4376
6.0,6.0,3,3.0,2.2491,4.1491,4.2291,2.6091,1.061,3.1691,3.9491,2.5491,3.8291,1.9891,3.4091,1.7691,1.5891,5.6691
7.0,7.0,4,1.0,2.4006,4.3006,4.3806,2.7806,1.0662,3.3206,4.1006,2.7812,4.0612,2.5406,3.5606,1.9206,1.7606,6.2206
8.0,8.0,4,2.0,2.5721,4.4521,4.5521,2.9321,1.0715,3.4721,4.2521,2.9521,4.2321,2.6921,3.7921,2.0721,1.9121,6.3721
9.0,9.0,4,3.0,2.7636,4.6036,4.7036,3.1016,1.0767,3.6236,4.4072,3.1072,4.3872,2.8636,3.9472,2.2236,2.0636,6.5236
10.0,10.0,5,1.0,2.9152,4.7752,4.8704,3.3352,1.1352,3.7752,4.5752,3.2752,4.5552,3.0152,4.1152,2.3488,2.2152,6.6752
11.0,11.0,5,2.0,3.0867,4.9267,5.0867,3.5467,1.2534,3.9267,4.7267,3.4267,4.7201,3.1667,4.2667,2.3879,2.3667,6.8667
12.0,12.0,5,3.0,3.2382,5.0382,5.2382,3.6982,1.382,4.0782,4.8782,3.5782,4.8982,3.3182,4.4182,2.4182,2.5182,7.0182
13.0,13.0,6,1.0,3.4097,5.1897,5.3897,3.8697,1.3989,4.2297,5.0297,3.7297,5.0897,3.4697,4.5897,2.4604,2.6794,7.1697
14.0,14.0,6,2.0,3.5612,5.3412,5.5624,4.0812,1.5306,4.3812,5.1812,3.8824,5.2448,3.6212,4.7436,2.4673,2.8412,7.3212
15.0,15.0,6,3.0,3.7127,5.4927,5.7327,4.2327,1.6621,4.4927,5.3327,4.0527,5.4527,3.7727,4.9327,2.4742,2.9927,7.4727
16.0,16.0,7,1.0,3.8642,5.6442,5.8842,4.4326,1.7048,4.6442,5.4842,4.2242,5.6442,3.9242,5.0842,2.5042,3.1442,7.6242
17.0,17.0,7,2.0,4.0158,5.7958,6.0558,4.6158,1.7958,4.8158,5.6516,4.3958,5.8958,4.1358,5.2958,2.6558,3.2958,7.8358
