qstamp,measure,beat,measure_fraction,label,part,part_num,instrument
0.5,1,1.5,0.25,a,Vln 1,13,Vln
4.5,3,1.5,0.25,a,Vln 1,13,Vln
10.5,6,1.5,0.25,a,Vln 2,14,Vln
12.5,7,1.5,0.25,a,Vla,15,Vla
14.5,8,1.5,0.25,a,Vln 1,13,Vln
18.5,10,1.5,0.25,a,Vln 2,14,Vln
20.5,11,1.5,0.25,a,Vla,15,Vla
22.5,12,1.5,0.25,a,Vln 1,13,Vln
26.5,14,1.5,0.25,a,Vln 1,13,Vln
28.5,15,1.5,0.25,a,Vln 2,14,Vln
30.5,16,1.5,0.25,a,Vln 1,13,Vln
32.5,17,1.5,0.25,a,Vln 2,14,Vln
34.5,18,1.5,0.25,a,Vln 1,13,Vln
42.5,22,1.5,0.25,a,Vln 1,13,Vln
50.5,26,1.5,0.25,a,Vln 2,14,Vln
52.5,27,1.5,0.25,a,Vla,15,Vla
54.5,28,1.5,0.25,a,Vc,16,Vc
56.5,29,1.5,0.25,a,Vln 1,13,Vln
58.5,30,1.5,0.25,a,Vln 2,14,Vln
60.5,31,1.5,0.25,a,Vla,15,Vla
62.5,32,1.5,0.25,a,Vc,16,Vc
64.5,33,1.5,0.25,a,Vln 1,13,Vln
68.5,35,1.5,0.25,a,Vln 1,13,Vln
72.5,37,1.5,0.25,a,Vln 1,13,Vln
74.0,38,1.0,0.0,a,Vln 1,13,Vln
82.0,42,1.0,0.0,a,Vln 1,13,Vln
86.0,44,1.0,0.0,a,Vln 1,13,Vln
94.5,48,1.5,0.25,a,Vln 1,13,Vln
102.5,52,1.5,0.25,a,Vln 1,13,Vln
110.0,56,1.0,0.0,a,Vln 1,13,Vln
116.5,59,1.5,0.25,a,Hn 1,8,Hn
124.0,63,1.0,0.0,b,Vln 1,13,Vln
132.0,67,1.0,0.0,b,Cl 1,4,Cl
140.0,71,1.0,0.0,b,Fl 1,0,Fl
148.0,75,1.0,0.0,b,Vln 1,13,Vln
156.0,79,1.0,0.0,b,Vln 1,13,Vln
166.0,84,1.0,0.0,b,Vln 1,13,Vln
174.0,88,1.0,0.0,b,Vln 1,13,Vln
184.0,93,1.0,0.0,b,Vln 1,13,Vln
188.5,95,1.5,0.25,a,Vln 1,13,Vln
196.0,99,1.0,0.0,a,Vln 1,13,Vln
206.0,104,1.0,0.0,a,Vln 1,13,Vln
218.5,110,1.5,0.25,a,Ob 1,2,Ob
220.5,111,1.5,0.25,a,Hn 1,8,Hn
224.5,113,1.5,0.25,a,Vln 1,13,Vln
226.5,114,1.5,0.25,a,Ob 1,2,Ob
228.5,115,1.5,0.25,a,Hn 1,8,Hn
232.5,117,1.5,0.25,a,Vln 1,13,Vln
248.5,125,1.5,0.25,a,Hn 1,8,Hn
250.5,126,1.5,0.25,a,Vln 1,13,Vln
256.5,129,1.5,0.25,a,Vln 2,14,Vln
258.5,130,1.5,0.25,a,Cl 1,4,Cl
258.5,130,1.5,0.25,a,Cl 2,5,Cl
260.5,131,1.5,0.25,a,Vln 1,13,Vln
262.5,132,1.5,0.25,a,Vla,15,Vla
264.5,133,1.5,0.25,a,Vln 2,14,Vln
266.5,134,1.5,0.25,a,Cl 1,4,Cl
268.5,135,1.5,0.25,a,Vln 1,13,Vln
270.5,136,1.5,0.25,a,Vla,15,Vla
272.5,137,1.5,0.25,a,Vln 1,13,Vln
274.5,138,1.5,0.25,a,Vln 2,14,Vln
276.5,139,1.5,0.25,a,Vln 1,13,Vln
278.5,140,1.5,0.25,a,Vln 2,14,Vln
280.5,141,1.5,0.25,a,Vln 1,13,Vln
288.5,145,1.5,0.25,a,Vla,15,Vla
290.5,146,1.5,0.25,a,Vln 1,13,Vln
292.5,147,1.5,0.25,a,Vla,15,Vla
294.5,148,1.5,0.25,a,Vln 1,13,Vln
296.5,149,1.5,0.25,a,Vla,15,Vla
300.0,151,1.0,0.0,a,Vln 1,13,Vln
304.5,153,1.5,0.25,a,Fl 1,0,Fl
306.5,154,1.5,0.25,a,Vla,15,Vla
308.5,155,1.5,0.25,a,Fl 1,0,Fl
310.5,156,1.5,0.25,a,Vla,15,Vla
314.5,158,1.5,0.25,a,Vln 1,13,Vln
316.5,159,1.5,0.25,a,Fl 1,0,Fl
318.5,160,1.5,0.25,a,Vln 1,13,Vln
320.5,161,1.5,0.25,a,Fl 1,0,Fl
322.5,162,1.5,0.25,a,Vln 1,13,Vln
324.5,163,1.5,0.25,a,Fl 1,0,Fl
326.5,164,1.5,0.25,a,Vln 1,13,Vln
328.5,165,1.5,0.25,a,Fl 1,0,Fl
330.5,166,1.5,0.25,a,Vln 1,13,Vln
340.5,171,1.5,0.25,a,Vln 1,13,Vln
348.5,175,1.5,0.25,a,Vln 1,13,Vln
356.5,179,1.5,0.25,a,Vln 1,13,Vln
363.0,182,2.0,0.5,a,Vla,15,Vla
370.0,186,1.0,0.0,a,Vln 1,13,Vln
379.0,190,2.0,0.5,a,Vla,15,Vla
385.0,193,2.0,0.5,a,Vln 1,13,Vln
388.5,195,1.5,0.25,a,Fl 1,0,Fl
394.0,198,1.0,0.0,a,Vln 1,13,Vln
398.0,200,1.0,0.0,a,Fl 1,0,Fl
402.0,202,1.0,0.0,a,Vln 1,13,Vln
406.0,204,1.0,0.0,a,Fl 1,0,Fl
410.0,206,1.0,0.0,a,Vln 1,13,Vln
414.0,208,1.0,0.0,a,Fl 1,0,Fl
418.0,210,1.0,0.0,a,Vln 1,13,Vln
420.0,211,1.0,0.0,a,Fl 1,0,Fl
422.0,212,1.0,0.0,a,Vln 1,13,Vln
424.0,213,1.0,0.0,a,Fl 1,0,Fl
