qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,E Horn 1 (orig. E and A),E Horn 2 (orig. E and A),Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,r,r,E4,C#4,A3,A3,r
0.5,0.6522,1,1.3333,r,r,r,r,r,r,r,r,r,r,A4,E4,C#4,A3,r
1.0,1.3043,1,1.6667,r,r,r,r,r,r,r,r,r,r,B4,G#4,E4,A3,r
1.5,1.9565,2,1.0,r,r,r,r,r,r,r,r,r,r,C#5,E4,A4,A3,r
2.0,2.6087,2,1.3333,r,r,r,r,r,r,r,r,r,r,C#5,E4,A4,C#4,r
2.5,3.2609,2,1.6667,r,r,r,r,r,r,r,r,r,r,C#5,E4,A4,E4,r
3.0,3.913,3,1.0,r,r,r,r,r,r,r,r,r,r,C#5,E4,A4,A4,r
3.5,4.5652,3,1.3333,r,r,r,r,r,r,r,r,r,r,E5,B4,G#4,G#4,r
3.875,5.0543,3,1.5833,r,r,r,r,r,r,r,r,r,r,D5,B4,G#4,G#4,r
4.0,5.2174,3,1.6667,r,r,r,r,r,r,r,r,r,r,C#5,A4,A4,A4,r
4.5,5.8696,4,1.0,r,r,r,r,r,r,r,r,r,r,B4,G#4,E4,E4,r
5.0,6.5217,4,1.3333,r,r,r,r,r,r,r,r,r,r,B4,G#4,E-4,E-4,r
5.5,7.1739,4,1.6667,r,r,r,r,r,r,r,r,r,r,B4,G#4,D4,D4,r
6.0,7.8261,5,1.0,r,r,r,r,r,r,r,r,r,r,E5,A4,C#4,C#4,r
6.5,8.4783,5,1.3333,r,r,r,r,r,r,r,r,r,r,D5,E4,B3,B3,r
7.0,9.1304,5,1.6667,r,r,r,r,r,r,r,r,r,r,C#5,E4,A3,A3,r
7.5,9.7826,6,1.0,r,r,r,r,r,r,r,r,r,r,B4,E4,G#3,G#3,r
8.5,11.087,6,1.6667,r,r,r,r,r,r,r,r,r,r,C#5,E4,B-3,B-3,r
9.0,11.7391,7,1.0,r,r,r,r,r,r,r,r,r,r,G#4,E4,B3,B3,r
9.5,12.3913,7,1.3333,r,r,r,r,r,r,r,r,r,r,G#4,E4,B3,B3,B1
10.0,13.0435,7,1.6667,r,r,r,r,r,r,r,r,r,r,A4,E-4,F#3,F#3,B1
10.375,13.5326,7,1.9167,r,r,r,r,r,r,r,r,r,r,F#4,E-4,A3,A3,B1
10.5,13.6957,8,1.0,r,r,r,r,r,r,r,r,r,r,E4,E4,G#3,G#3,E2
10.75,14.0217,8,1.1667,r,r,r,r,r,r,r,r,r,r,E4,E4,G#3,G#3,E2
11.0,14.3478,8,1.3333,r,r,r,r,r,r,r,r,r,r,F#4,r,r,r,r
11.25,14.6739,8,1.5,r,r,r,r,r,r,r,r,r,r,G#4,E4,G#3,r,r
11.5,15.0,8,1.6667,r,r,r,r,E4,r,E3,r,r,r,A4,F#4,A3,r,r
11.75,15.3261,8,1.8333,r,r,r,r,E4,r,E3,r,r,r,B4,G#4,B3,r,r
12.0,15.6522,9,1.0,r,r,r,r,E4,C#4,E3,A2,E4,E3,C#5,A4,C#4,A2,A1
12.25,15.9783,9,1.1667,r,r,r,r,E4,C#4,E3,A2,E4,E3,E5,E4,C#4,A2,A1
12.5,16.3043,9,1.3333,r,r,r,r,A4,E4,A3,C#3,E4,E3,A4,A4,r,A2,A1
12.75,16.6304,9,1.5,r,r,r,r,A4,E4,A3,C#3,E4,E3,E5,E4,r,A2,A1
13.0,16.9565,9,1.6667,r,r,r,r,B4,G#4,B3,E3,E4,E3,B4,A4,r,A2,A1
13.25,17.2826,9,1.8333,r,r,r,r,B4,G#4,B3,E3,E4,E3,E5,E4,r,A2,A1
13.5,17.6087,10,1.0,r,r,r,r,C#5,A4,C#4,A3,E4,E3,C#5,A4,A3,A2,A1
13.75,17.9348,10,1.1667,r,r,r,r,C#5,A4,C#4,A3,E4,E3,E5,E4,A3,A2,A1
14.0,18.2609,10,1.3333,r,r,r,r,C#5,A4,C#4,A3,E4,E3,C#5,A4,C#4,C#3,C#2
14.25,18.587,10,1.5,r,r,r,r,C#5,A4,C#4,A3,E4,E3,E5,E4,C#4,C#3,C#2
14.5,18.913,10,1.6667,r,r,r,r,C#5,A4,C#4,A3,E4,E3,C#5,A4,E4,E3,E2
14.75,19.2391,10,1.8333,r,r,r,r,C#5,A4,C#4,A3,E4,E3,E5,E4,E4,E3,E2
15.0,19.5652,11,1.0,r,r,r,r,C#5,A4,C#4,A3,E4,E3,C#5,A4,A4,A3,A2
15.25,19.8913,11,1.1667,r,r,r,r,C#5,A4,C#4,A3,E4,E3,E5,E4,A4,A3,A2
15.5,20.2174,11,1.3333,r,r,r,r,E5,B4,D4,B3,E4,E3,D5,B4,G#4,G#3,G#2
15.75,20.5435,11,1.5,r,r,r,r,E5,B4,D4,B3,E4,E3,E5,E4,G#4,G#3,G#2
15.875,20.7065,11,1.5833,r,r,r,r,D5,B4,D4,B3,E4,E3,E5,E4,G#4,G#3,G#2
16.0,20.8696,11,1.6667,r,r,r,r,C#5,A4,C#4,A3,E4,E3,C#5,A4,A4,A3,A2
16.25,21.1957,11,1.8333,r,r,r,r,C#5,A4,C#4,A3,E4,E3,E5,E4,A4,A3,A2
16.5,21.5217,12,1.0,r,r,r,r,B4,G#4,B3,G#3,E4,E3,B4,G#4,E4,E4,E3
16.75,21.8478,12,1.1667,r,r,r,r,B4,G#4,B3,G#3,E4,E3,E5,E4,E4,E4,E3
17.0,22.1739,12,1.3333,r,r,r,r,B4,G#4,B3,G#3,E4,E3,E5,E4,E-4,E-4,E-3
17.25,22.5,12,1.5,r,r,r,r,B4,G#4,B3,G#3,E4,E3,E5,E4,E-4,E-4,E-3
17.5,22.8261,12,1.6667,r,r,r,r,B4,G#4,B3,G#3,E4,E3,E5,E4,D4,D4,D3
17.75,23.1522,12,1.8333,r,r,r,r,B4,G#4,B3,G#3,E4,E3,E5,E4,D4,D4,D3
18.0,23.4783,13,1.0,r,r,r,r,E5,E4,E4,C#4,E4,E3,E5,E4,C#4,C#4,C#3
18.25,23.8043,13,1.1667,r,r,r,r,E5,E4,E4,C#4,E4,E3,E6,E5,C#4,C#4,C#3
18.5,24.1304,13,1.3333,r,r,r,r,D5,G#4,D4,B3,E4,E3,E6,E5,B3,B3,B2
18.75,24.4565,13,1.5,r,r,r,r,D5,G#4,D4,B3,E4,E3,E6,E5,B3,B3,B2
19.0,24.7826,13,1.6667,r,r,r,r,C#5,A4,C#4,A3,E4,E3,E6,E5,A3,A3,A2
19.25,25.1087,13,1.8333,r,r,r,r,C#5,A4,C#4,A3,E4,E3,E6,E5,A3,A3,A2
19.5,25.4348,14,1.0,r,r,r,r,B4,E4,B3,G#3,E4,E3,E6,E5,G#3,G#3,G#2
19.75,25.7609,14,1.1667,r,r,r,r,B4,E4,B3,G#3,E4,E3,E6,E5,G#3,G#3,G#2
20.25,26.413,14,1.5,r,r,r,r,B4,E4,B3,G#3,E4,E3,E6,E5,G#3,G#3,G#2
20.5,26.7391,14,1.6667,r,r,r,r,C#5,E4,C#4,E3,E4,E3,E6,E5,B-3,B-3,B-2
20.75,27.0652,14,1.8333,r,r,r,r,C#5,E4,C#4,E3,E4,E3,E6,E5,B-3,B-3,B-2
21.0,27.3913,15,1.0,r,r,r,r,G#4,E4,G#3,E3,G#4,E4,E6,E5,B3,B3,B2
21.25,27.7174,15,1.1667,r,r,r,r,G#4,E4,G#3,E3,G#4,E4,B5,B4,B3,B3,B2
21.5,28.0435,15,1.3333,r,r,r,r,G#4,E4,G#3,E3,G#4,E4,r,r,B3,B2,B1
21.75,28.3696,15,1.5,r,r,r,r,G#4,E4,G#3,E3,G#4,E4,B5,B4,B3,B2,B1
22.0,28.6957,15,1.6667,r,r,r,r,A4,F#4,A3,F#3,A4,F#4,r,r,B3,B2,B1
22.25,29.0217,15,1.8333,r,r,r,r,A4,F#4,A3,F#3,A4,F#4,B5,B4,B3,B2,B1
22.375,29.1848,15,1.9167,r,r,r,r,F#4,E-4,F#3,E-3,F#4,B3,B5,B4,B3,B2,B1
22.5,29.3478,16,1.0,r,r,r,r,E4,E4,E3,E3,E4,G#3,r,r,E4,E3,E2
22.75,29.6739,16,1.1667,r,r,r,r,E4,E4,E3,E3,E4,G#3,B5,B4,E4,E3,E2
23.0,30.0,16,1.3333,r,r,r,r,r,r,r,r,r,r,E5,E4,r,r,r
23.5,30.6522,16,1.6667,r,r,r,r,r,r,r,r,r,r,E4,r,r,r,r
23.875,31.1413,16,1.9167,r,r,r,r,r,r,r,r,r,r,B4,r,r,r,r
24.0,31.3043,17,1.0,r,r,r,r,r,r,r,r,r,r,B4,G#4,E4,D4,r
24.5,31.9565,17,1.3333,r,r,r,r,r,r,r,r,r,r,A4,A4,E4,C#4,r
25.0,32.6087,17,1.6667,r,r,r,r,r,r,r,r,r,r,B4,E4,E4,G#3,r
25.5,33.2609,18,1.0,r,r,r,r,r,r,r,r,r,r,C5,E4,E4,A3,r
26.0,33.913,18,1.3333,r,r,r,r,r,r,r,r,r,r,C#5,E4,E4,A3,r
26.5,34.5652,18,1.6667,r,r,r,r,r,r,r,r,r,r,E4,r,r,r,r
26.875,35.0543,18,1.9167,r,r,r,r,r,r,r,r,r,r,C#5,r,r,r,r
27.0,35.2174,19,1.0,r,r,r,r,r,r,r,r,r,r,C#5,A4,E4,E4,r
27.5,35.8696,19,1.3333,r,r,r,r,r,r,r,r,r,r,B4,G#4,E4,D4,r
28.0,36.5217,19,1.6667,r,r,r,r,r,r,r,r,r,r,C#5,G4,E4,B-3,r
28.5,37.1739,20,1.0,r,r,r,r,r,r,r,r,r,r,C#5,G#4,E4,B3,r
29.0,37.8261,20,1.3333,r,r,r,r,r,r,r,r,r,r,D5,G#4,E4,B3,r
29.5,38.4783,20,1.6667,r,r,r,r,r,r,r,r,r,r,D5,E4,B3,B3,r
30.0,39.1304,21,1.0,r,r,r,r,r,r,r,r,r,r,D5,E4,B3,B3,r
31.0,40.4348,21,1.6667,r,r,r,r,r,r,r,r,r,r,E5,E4,C#4,B3,r
31.25,40.7609,21,1.8333,r,r,r,r,r,r,r,r,r,r,F#5,E4,D4,C#4,r
31.5,41.087,22,1.0,r,r,r,r,r,r,r,r,r,r,F#5,E4,E4,D4,r
31.75,41.413,22,1.1667,r,r,r,r,r,r,r,r,r,r,B4,E4,E4,D4,r
32.0,41.7391,22,1.3333,r,r,r,r,r,r,r,r,r,r,B4,G#4,E4,D4,r
32.5,42.3913,22,1.6667,r,r,r,r,r,r,r,r,r,r,C#5,A4,E4,C#4,r
33.0,43.0435,23,1.0,r,r,r,r,r,r,r,r,r,r,E5,C#5,F#4,r,r
33.5,43.6957,23,1.3333,r,r,r,r,r,r,r,r,r,r,E5,C#5,F#4,B3,r
33.75,44.0217,23,1.5,r,r,r,r,r,r,r,r,r,r,D5,B4,F#4,B3,r
34.0,44.3478,23,1.6667,r,r,r,r,r,r,r,r,r,r,C#5,A4,E4,E4,r
34.25,44.6739,23,1.8333,r,r,r,r,r,r,r,r,r,r,B4,G#4,E4,E4,r
34.5,45.0,24,1.0,r,r,r,r,r,r,r,r,r,r,B4,G#4,E4,A3,r
35.0,45.6522,24,1.3333,r,r,r,r,r,r,r,r,r,r,C#5,A4,E4,A3,r
35.5,46.3043,24,1.6667,r,r,r,r,E4,r,E3,r,r,r,r,r,E4,r,r
35.875,46.7935,24,1.9167,r,r,r,r,B4,r,B3,r,r,r,r,r,E4,r,r
36.0,46.9565,25,1.0,r,r,r,r,B4,E4,B3,E3,E4,E3,E4,E4,D4,D4,D3
36.25,47.2826,25,1.1667,r,r,r,r,B4,E4,B3,E3,E4,E3,E5,E4,D4,D4,D3
36.5,47.6087,25,1.3333,r,r,r,r,A4,E4,A3,E3,E4,E3,E5,E4,C#4,C#4,C#3
36.75,47.9348,25,1.5,r,r,r,r,A4,E4,A3,E3,E4,E3,E5,E4,C#4,C#4,C#3
37.0,48.2609,25,1.6667,r,r,r,r,B4,G#4,B3,G#3,E4,E3,E5,E4,E3,E3,E2
37.25,48.587,25,1.8333,r,r,r,r,B4,G#4,B3,G#3,E4,E3,E5,E4,E3,E3,E2
37.5,48.913,26,1.0,r,r,r,r,C5,G#4,C4,G#3,E4,E3,E5,E4,A3,A3,A2
37.75,49.2391,26,1.1667,r,r,r,r,C5,G#4,C4,G#3,E4,E3,E5,E4,A3,A3,A2
38.0,49.5652,26,1.3333,r,r,r,r,C#5,A4,C#4,A3,E4,E3,E5,E4,A3,A2,A1
38.25,49.8913,26,1.5,r,r,r,r,r,r,r,r,E4,E3,E-5,E-4,A3,A2,A1
38.375,50.0543,26,1.5833,r,r,r,r,r,r,r,r,E4,E3,E5,E4,A3,A2,A1
38.5,50.2174,26,1.6667,r,r,r,r,E4,E4,E3,E3,r,r,E-5,E-4,r,r,r
38.625,50.3804,26,1.75,r,r,r,r,E4,E4,E3,E3,r,r,E5,E4,r,r,r
38.75,50.5435,26,1.8333,r,r,r,r,E4,E4,E3,E3,r,r,F#5,F#4,r,r,r
38.875,50.7065,26,1.9167,r,r,r,r,C#5,A4,C#4,A3,r,r,E5,E4,r,r,r
39.0,50.8696,27,1.0,r,r,r,r,C#5,A4,C#4,A3,E4,E3,E4,E4,E4,E4,E3
39.25,51.1957,27,1.1667,r,r,r,r,C#5,A4,C#4,A3,E4,E3,E5,E4,E4,E4,E3
39.5,51.5217,27,1.3333,r,r,r,r,B4,G#4,B3,G#3,E4,E3,E5,E4,D4,D4,D3
39.75,51.8478,27,1.5,r,r,r,r,B4,G#4,B3,G#3,E4,E3,E5,E4,D4,D4,D3
40.0,52.1739,27,1.6667,r,r,r,r,C#5,A4,C#4,A3,E4,E3,E5,E4,C#4,C#4,C#3
40.25,52.5,27,1.8333,r,r,r,r,C#5,A4,C#4,A3,E4,E3,E5,E4,C#4,C#4,C#3
40.5,52.8261,28,1.0,r,r,r,r,C#5,B-4,C#4,B-3,E4,E3,E5,E4,G#3,G#3,G#2
40.75,53.1522,28,1.1667,r,r,r,r,C#5,B-4,C#4,B-3,E4,E3,E5,E4,G#3,G#3,G#2
41.0,53.4783,28,1.3333,r,r,r,r,D5,B4,D4,B3,E4,E3,E5,E4,G#3,G#3,G#2
41.25,53.8043,28,1.5,r,r,r,r,r,r,r,r,E4,E3,D6,D5,G#3,G#3,G#2
41.5,54.1304,28,1.6667,r,r,r,r,D5,B4,D4,B3,r,r,B5,B4,r,r,r
41.75,54.4565,28,1.8333,r,r,r,r,D5,B4,D4,B3,r,r,G#5,G#4,r,r,r
42.0,54.7826,29,1.0,r,r,r,r,D5,B4,D4,B3,r,r,F#5,F#4,r,r,r
42.25,55.1087,29,1.1667,r,r,r,r,D5,B4,D4,B3,r,r,E5,E4,r,r,r
42.5,55.4348,29,1.3333,r,r,r,r,D5,B4,D4,B3,r,r,D5,D4,r,r,r
42.75,55.7609,29,1.5,r,r,r,r,D5,B4,D4,B3,r,r,C#5,C#4,r,r,r
43.0,56.087,29,1.6667,r,r,r,r,E5,C#5,E4,C#4,r,r,B4,B3,r,r,r
43.25,56.413,29,1.8333,r,r,r,r,F#5,D5,F#4,D4,r,r,A4,A3,r,r,r
43.5,56.7391,30,1.0,r,r,r,r,F#5,D5,F#4,D4,E4,E3,G#4,G#3,E4,E3,E2
43.75,57.0652,30,1.1667,r,r,r,r,B4,G#4,B3,G#3,E4,E3,B5,G#4,E4,E3,E2
44.0,57.3913,30,1.3333,r,r,r,r,B4,G#4,B3,G#3,E4,E3,B5,G#4,D4,D3,D2
44.25,57.7174,30,1.5,r,r,r,r,B4,G#4,B3,G#3,E4,E3,B5,G#4,D4,D3,D2
44.5,58.0435,30,1.6667,r,r,r,r,C#5,A4,C#4,A3,E4,E3,C#6,A4,C#4,C#3,C#2
44.75,58.3696,30,1.8333,r,r,r,r,C#5,A4,C#4,A3,E4,E3,C#6,A4,C#4,C#3,C#2
45.0,58.6957,31,1.0,r,r,r,r,E5,C#5,E4,C#4,r,r,r,r,B3,B2,B1
45.25,59.0217,31,1.1667,r,r,r,r,E5,C#5,E4,C#4,r,r,D6,B4,F#4,B2,B1
45.5,59.3478,31,1.3333,r,r,r,r,E5,C#5,E4,C#4,r,r,r,r,r,B2,B1
45.75,59.6739,31,1.5,r,r,r,r,D5,B4,D4,B3,r,r,D6,B4,F#4,B2,B1
46.0,60.0,31,1.6667,r,r,r,r,C#5,A4,C#4,A3,E4,E3,r,r,r,E3,E2
46.25,60.3261,31,1.8333,r,r,r,r,B4,G#4,B3,G#3,E4,E3,B5,G#4,D4,E3,E2
46.5,60.6522,32,1.0,r,r,r,r,A4,A4,A3,A3,E4,E3,A5,A4,C#4,A2,A1
46.75,60.9783,32,1.1667,r,r,r,r,A4,A4,A3,A3,E4,E3,A5,E4,A3,A2,A1
47.0,61.3043,32,1.3333,r,r,r,r,r,r,r,r,E4,E3,r,E4,A3,A2,A1
47.25,61.6304,32,1.5,r,r,r,r,r,r,r,r,E4,E3,r,E4,A3,A2,A1
47.5,61.9565,32,1.6667,r,r,r,r,r,r,r,r,r,r,r,E4,A3,r,r
47.75,62.2826,32,1.8333,r,r,r,r,E4,r,E3,r,r,r,r,E4,A3,r,r
48.0,62.6087,33,1.0,r,r,r,r,E4,r,E3,r,E4,E3,r,E4,A3,C#4,C#3
48.25,62.9348,33,1.1667,r,r,r,r,E4,r,E3,r,E4,E3,r,E4,A3,C#4,C#3
48.375,63.0978,33,1.25,r,r,r,r,A4,r,A3,r,E4,E3,r,E4,A3,C#4,C#3
48.5,63.2609,33,1.3333,r,r,r,r,C#5,r,C#4,r,E4,E3,r,E4,A3,C#4,C#3
48.75,63.587,33,1.5,r,r,r,r,C#5,r,C#4,r,E4,E3,r,E4,A3,C#4,C#3
49.0,63.913,33,1.6667,r,r,r,r,C#5,r,C#4,r,E4,E3,r,E4,A3,r,r
49.25,64.2391,33,1.8333,r,r,r,r,A4,r,A3,r,E4,E3,r,E4,A3,r,r
49.5,64.5652,34,1.0,r,r,r,r,G#4,r,G#3,r,E4,E3,r,E4,G#3,B3,B2
49.75,64.8913,34,1.1667,r,r,r,r,G#4,r,G#3,r,E4,E3,r,E4,G#3,B3,B2
49.875,65.0543,34,1.25,r,r,r,r,B4,r,B3,r,E4,E3,r,E4,G#3,B3,B2
50.0,65.2174,34,1.3333,r,r,r,r,D5,r,D4,r,E4,E3,r,E4,G#3,B3,B2
