qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,32.0,P5(Flute 2)&U(Bb Clarinet 1)&P5(Bb Clarinet 2),P5(Flute 1)&P5(Bb Clarinet 1)&U(Bb Clarinet 2),,,U(Flute 1)&P5(Flute 2)&P5(Bb Clarinet 2),P5(Flute 1)&U(Flute 2)&P5(Bb Clarinet 1),,,,,,,,,,,,,,Main Part,,,,
32.0,51.5,Main Part,U(Bb Clarinet 2),,,,U(Flute 2),,,,,,,,,,,,,,P5(Violin 2),P5(Violin 1),,,
51.5,59.5,,,,,Main Part,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
59.5,70.0,,,,,,U(Bassoon 1),U(Bb Clarinet 2),,,,,,,,,P8(Trombone 2)&P8(Trombone 3),P8(Trombone 1)&U(Trombone 3),P8(Trombone 1)&U(Trombone 2),,Main Part,,,,
70.0,74.0,,,,,U(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&U(C Horn 1)&P8(C Horn 2)&P3(Violin 1)&U(Violin 2)&P3(Viola)&P8(Violoncello)&P3(Contrabass),U(Bb Clarinet 1)&P8(Bassoon 1)&P3(Bassoon 2)&U(C Horn 1)&P8(C Horn 2)&P3(Violin 1)&U(Violin 2)&P3(Viola)&P8(Violoncello)&P3(Contrabass),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 2)&P8(C Horn 1)&U(C Horn 2)&P3(Violin 1)&P8(Violin 2)&P3(Viola)&U(Violoncello)&P3(Contrabass),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P3(C Horn 1)&P3(C Horn 2)&P8(Violin 1)&P3(Violin 2)&P8(Viola)&P3(Violoncello)&P8(Contrabass),,U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 2)&P3(Violin 1)&U(Violin 2)&P3(Viola)&P8(Violoncello)&P3(Contrabass),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P3(Violin 1)&P8(Violin 2)&P3(Viola)&U(Violoncello)&P3(Contrabass),,,,,Main Part,P8(Main)&U(Trombone 3),P8(Main)&U(Trombone 2),,P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P3(Violin 2)&P8(Viola)&P3(Violoncello)&P8(Contrabass),U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&U(C Horn 1)&P8(C Horn 2)&P3(Violin 1)&P3(Viola)&P8(Violoncello)&P3(Contrabass),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P8(Violin 1)&P3(Violin 2)&P3(Violoncello)&P8(Contrabass),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&U(C Horn 2)&P3(Violin 1)&P8(Violin 2)&P3(Viola)&P3(Contrabass),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P8(Violin 1)&P3(Violin 2)&P8(Viola)&P3(Violoncello)
74.0,86.0,,,,,P8(Bassoon 1)&U(Violin 2)&P8(Violoncello),,P8(Bb Clarinet 1)&P8(Violin 2)&U(Violoncello),,,P8(C Horn 2),P8(C Horn 1),,,,,P8(Trombone 2)&P8(Trombone 3),P8(Trombone 1)&U(Trombone 3),P8(Trombone 1)&U(Trombone 2),,Main Part,U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Violoncello),P8(Main)&P8(Contrabass),P8(Bb Clarinet 1)&U(Bassoon 1)&P8(Violin 2),P8(Main)&P8(Viola)
86.0,90.0,,,,,U(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&U(C Horn 1)&P8(C Horn 2)&P3(Violin 1)&U(Violin 2)&P3(Viola)&P8(Violoncello)&P3(Contrabass),U(Bb Clarinet 1)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&U(C Horn 1)&P8(C Horn 2)&P3(Violin 1)&U(Violin 2)&P3(Viola)&P8(Violoncello)&P3(Contrabass),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 2)&P3(Contrabassoon)&P8(C Horn 1)&U(C Horn 2)&P3(Violin 1)&P8(Violin 2)&P3(Viola)&U(Violoncello)&P3(Contrabass),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Contrabassoon)&P3(C Horn 1)&P3(C Horn 2)&P5(Violin 1)&P3(Violin 2)&P5(Viola)&P3(Violoncello)&U(Contrabass),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2)&P5(Violin 1)&P3(Violin 2)&P5(Viola)&P3(Violoncello)&P8(Contrabass),U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P8(C Horn 2)&P3(Violin 1)&U(Violin 2)&P3(Viola)&P8(Violoncello)&P3(Contrabass),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P8(C Horn 1)&P3(Violin 1)&P8(Violin 2)&P3(Viola)&U(Violoncello)&P3(Contrabass),,,,,Main Part,P8(Main)&U(Trombone 3),P8(Main)&U(Trombone 2),,P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P5(Contrabassoon)&P3(C Horn 1)&P3(C Horn 2)&P3(Violin 2)&P8(Viola)&P3(Violoncello)&P5(Contrabass),U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&U(C Horn 1)&P8(C Horn 2)&P3(Violin 1)&P3(Viola)&P8(Violoncello)&P3(Contrabass),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P5(Contrabassoon)&P3(C Horn 1)&P3(C Horn 2)&P8(Violin 1)&P3(Violin 2)&P3(Violoncello)&P5(Contrabass),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P8(C Horn 1)&U(C Horn 2)&P3(Violin 1)&P8(Violin 2)&P3(Viola)&P3(Contrabass),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 1)&U(Bassoon 2)&P8(Contrabassoon)&P3(C Horn 1)&P3(C Horn 2)&P5(Violin 1)&P3(Violin 2)&P5(Viola)&P3(Violoncello)
90.0,110.0,U(Flute 2),U(Flute 1),,,P8(Bassoon 1)&U(Violin 2),,P8(Bb Clarinet 1)&P8(Violin 2),,P8(Contrabass),P8(C Horn 2),P8(C Horn 1),,,,,P8(Trombone 2)&P8(Trombone 3),P8(Trombone 1)&U(Trombone 3),P8(Trombone 1)&U(Trombone 2),,Main Part,U(Bb Clarinet 1)&P8(Bassoon 1),P8(Main),,P8(Contrabassoon)
110.0,115.5,U(Flute 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(Contrabass),U(Flute 1)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(Contrabass),,,U(Flute 1)&U(Flute 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Contrabassoon)&P3(Contrabass),P3(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P5(Contrabassoon)&P5(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(Contrabassoon)&P3(Contrabass),P3(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P5(Contrabassoon)&P5(Contrabass),P3(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&U(Contrabass),,,,,P8(F Trumpet 2)&P8(Timpani),P8(F Trumpet 1)&P8(Timpani),Main Part,,,P8(F Trumpet 1)&P8(F Trumpet 2),,,,,P3(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&U(Contrabassoon)
115.5,124.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(C Horn 1)&P8(C Horn 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(C Horn 1)&P8(C Horn 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P8(C Horn 1)&P8(C Horn 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(C Horn 1)&P8(C Horn 2),,,P8(Bassoon 2),P8(Bassoon 1),,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(C Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(C Horn 1),,,P8(F Trumpet 2),P8(F Trumpet 1),,,U(Timpani),U(Trombone 3),Main Part,,,,
