qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
124.0,131.5,U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Violin 1)&P8(Violin 2),U(Flute 1)&U(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Violin 1)&P8(Violin 2),U(Flute 1)&U(Flute 2)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Violin 1)&P8(Violin 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Violin 1)&U(Violin 2),U(Flute 1)&U(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Violin 1)&P8(Violin 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&U(Violin 1)&U(Violin 2),Main Part,P8(Main),,,,,,,,,,,,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Violin 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Bb Clarinet 1)&U(Bb Clarinet 2)&U(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
131.5,136.0,Main Part,U(Main)&U(Oboe 1)&P8(Oboe 2),U(Main)&U(Flute 2)&P8(Oboe 2),P8(Main)&P8(Flute 2)&P8(Oboe 1),P8(Bb Clarinet 2),P8(Bb Clarinet 1),U(Bassoon 2),U(Bassoon 1),,,,P8(F Horn 4)&P8(Timpani),P8(F Horn 3)&U(Timpani),,,,,,P8(F Horn 3)&U(F Horn 4),U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
136.0,139.5,,,,,Main Part,U(Main)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Bb Clarinet 2)&U(Bassoon 2),P8(Main)&P8(Bb Clarinet 2)&U(Bassoon 1),,,,P8(F Horn 4)&P8(Timpani),P8(F Horn 3)&U(Timpani),,,,,,P8(F Horn 3)&U(F Horn 4),U(Violin 2)&P8(Viola),U(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),P8(Contrabass),P8(Violoncello)
139.5,180.0,P8(Oboe 1),,P8(Flute 1),,,,,,,,,,,,,,,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
180.0,188.0,Main Part,P8(Oboe 2)&P8(Bb Clarinet 2),P8(Main)&U(Bb Clarinet 1)&P8(Bassoon 1),P8(Flute 2)&U(Bb Clarinet 2),P8(Main)&U(Oboe 1)&P8(Bassoon 1),P8(Flute 2)&U(Oboe 2),P8(Main)&P8(Oboe 1)&P8(Bb Clarinet 1),,P8(Violin 1)&P8(Violoncello)&U(Contrabass),,,U(F Horn 4),U(F Horn 3),U(F Trumpet 2),U(F Trumpet 1),,,,,P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(Viola),P8(Violin 2),P8(Contrabassoon)&P8(Violin 1)&P8(Contrabass),U(Contrabassoon)&P8(Violin 1)&P8(Violoncello)
188.0,196.0,P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P8(Flute 2)&U(Bb Clarinet 2),P8(Flute 1)&U(Oboe 1)&P8(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P8(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Contrabassoon)&P8(Contrabass),,P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bassoon 1)&U(Contrabass),,,U(F Horn 4),U(F Horn 3),U(F Trumpet 2),U(F Trumpet 1),,,,,Main Part,,,P8(Main),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bassoon 1)&U(Contrabassoon)
196.0,200.0,Main Part,P3(Main)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P8(C Horn 2),P8(Main)&P3(Flute 2)&P3(Oboe 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P3(C Horn 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P8(C Horn 2),P8(Main)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1)&P3(C Horn 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P8(C Horn 2),P8(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P8(C Horn 1)&P3(C Horn 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P3(C Horn 1)&P8(C Horn 2),P8(Viola)&P8(Violoncello)&U(Contrabass),P8(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 2),P3(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1),U(F Horn 4),U(F Horn 3),,,,,,,P3(Violin 2),P3(Violin 1),P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(Viola)&P8(Contrabass),U(Contrabassoon)&P8(Viola)&P8(Violoncello)
200.0,204.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&U(Bb Clarinet 1)&P3(Bb Clarinet 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Bb Clarinet 1)&U(Bb Clarinet 2),P8(Flute 1)&P3(Flute 2)&U(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1),P8(C Horn 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(C Horn 2),,P8(Bassoon 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 2),,,,,,,,,Main Part,P3(Main),P8(Bassoon 1)&U(C Horn 1)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(C Horn 1)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(C Horn 1)&P8(Viola)&P8(Violoncello)
204.0,220.0,P8(Oboe 1),,P8(Flute 1),,,,,,,Main Part,,,,,,,,,,,,,U(Main),
220.0,244.0,Main Part,P8(Oboe 2),P8(Main)&P8(Bassoon 1)&U(Violin 1),P8(Flute 2),,,P8(Main)&P8(Oboe 1)&P8(Violin 1),,,,,,,,,,,,,P8(Main)&U(Oboe 1)&P8(Bassoon 1),,,P8(Contrabass),P8(Violoncello)
244.0,278.0,Main Part,,P8(Main),,,,P8(Bassoon 2),P8(Bassoon 1),P8(C Horn 1)&P8(C Horn 2)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(Timpani),P8(Contrabassoon)&P8(C Horn 2)&P8(F Trumpet 1)&U(F Trumpet 2)&P8(Timpani),P8(Contrabassoon)&P8(C Horn 1)&P8(F Trumpet 1)&P8(F Trumpet 2)&U(Timpani),,,P8(Contrabassoon)&P8(C Horn 1)&P8(C Horn 2)&P8(F Trumpet 2)&P8(Timpani),P8(Contrabassoon)&U(C Horn 1)&P8(C Horn 2)&P8(F Trumpet 1)&P8(Timpani),,,,P8(Contrabassoon)&P8(C Horn 1)&U(C Horn 2)&P8(F Trumpet 1)&P8(F Trumpet 2),,,,,
278.0,295.0,Main Part,U(Main)&U(Violin 1)&P8(Violin 2),,,,,P8(Bassoon 2)&P8(Contrabassoon)&U(Violoncello)&P8(Contrabass),P8(Bassoon 1)&U(Contrabassoon)&P8(Violoncello)&U(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&P8(Violoncello)&U(Contrabass),P8(C Horn 2),P8(C Horn 1),,,,,P3(Trombone 2)&P5(Trombone 3)&P5(Timpani),P3(Trombone 1)&P3(Trombone 3)&P3(Timpani),P5(Trombone 1)&P3(Trombone 2)&P8(Timpani),P5(Trombone 1)&P3(Trombone 2)&P8(Trombone 3),U(Main)&U(Flute 2)&P8(Violin 2),P8(Main)&P8(Flute 2)&P8(Violin 1),,U(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&U(Bassoon 2)&U(Contrabassoon)&P8(Violoncello)
295.0,320.0,,,,,,,,,U(Contrabass),,,,,P8(F Trumpet 2),P8(F Trumpet 1),P7(Trombone 2)&P3(Trombone 3)&P4(Timpani),P7(Trombone 1)&P5(Trombone 3)&P4(Timpani),P3(Trombone 1)&P5(Trombone 2)&P2(Timpani),P4(Trombone 1)&P4(Trombone 2)&P2(Trombone 3),Main Part,,,,U(Contrabassoon)
320.0,336.0,,,,,,,,,P8(Violoncello)&U(Contrabass),,,,,P8(F Trumpet 2),P8(F Trumpet 1),,,,,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
336.0,344.0,Main Part,P8(Bassoon 1),,P8(Main),P8(Violin 1),P8(Violin 2),P8(Flute 2),,P8(Trombone 3)&P8(Violoncello)&U(Contrabass),P8(C Horn 2),P8(C Horn 1),,,,,,,P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),,P8(Bb Clarinet 1),P8(Bb Clarinet 2),,P8(Contrabassoon)&P8(Trombone 3)&P8(Contrabass),U(Contrabassoon)&P8(Trombone 3)&P8(Violoncello)
344.0,360.0,Main Part,,,,,,P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabass),,,,,,,,,,,,,,,P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)
360.0,380.0,P8(Oboe 1)&P8(Bb Clarinet 1),P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Bb Clarinet 1),P8(Flute 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2),P8(Bassoon 2)&P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Contrabassoon)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&U(Contrabass),,,,,P8(Trombone 1),P8(Trombone 3)&P8(Timpani),P8(F Trumpet 1),,P8(F Trumpet 2)&U(Timpani),P8(F Trumpet 2)&U(Trombone 3),Main Part,,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&U(Contrabassoon)&P8(Violoncello)
380.0,388.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1),P8(Violoncello)&U(Contrabass),,,U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2),U(F Horn 3)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 2),P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1),,,,,,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
388.0,412.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,P8(Bassoon 2),P8(Bassoon 1),P8(Violoncello)&U(Contrabass),,,,,P8(F Trumpet 2),P8(F Trumpet 1),,,,,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
412.0,418.0,,,P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2),P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2),P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1),P8(Bassoon 2)&U(Main)&U(C Horn 2),P8(Bassoon 1)&P8(Main)&P8(C Horn 2),U(Contrabass),Main Part,U(Bassoon 1)&P8(Bassoon 2)&U(Main),P8(F Horn 4)&P8(F Trumpet 1)&U(F Trumpet 2),P8(F Horn 3)&P8(F Trumpet 1)&P8(F Trumpet 2),P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 2),U(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1),,,,,U(Violin 2),U(Violin 1),,,U(Contrabassoon)
418.0,420.0,P3(Flute 2),P3(Flute 1),Main Part,P3(Main),P3(Bb Clarinet 2)&P7(Bassoon 1)&P7(Bassoon 2)&P7(C Horn 1)&P7(C Horn 2),P3(Bb Clarinet 1)&P5(Bassoon 1)&P5(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2),P7(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 2)&U(C Horn 1)&U(C Horn 2),P7(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P8(C Horn 1)&P8(C Horn 2),,P7(Bb Clarinet 1)&P5(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(C Horn 2),P7(Bb Clarinet 1)&P5(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(C Horn 1),,,,,,,,,,,,,
420.0,422.0,P3(Main),Main Part,P3(Oboe 2),P3(Oboe 1),P3(Bb Clarinet 2)&P7(Bassoon 1)&P7(Bassoon 2)&P7(C Horn 1)&P7(C Horn 2),P3(Bb Clarinet 1)&P5(Bassoon 1)&P5(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2),P7(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 2)&U(C Horn 1)&U(C Horn 2),P7(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 1)&P8(C Horn 1)&P8(C Horn 2),,P7(Bb Clarinet 1)&P5(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(C Horn 2),P7(Bb Clarinet 1)&P5(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&U(C Horn 1),,,,,,,,,,,,,
422.0,428.0,,,Main Part,P3(Main)&P8(Bb Clarinet 2),,P3(Main)&P8(Oboe 2),,,,U(C Horn 2),U(C Horn 1),,,,,,,,,U(Violin 2)&P8(Violoncello),U(Violin 1)&P8(Violoncello),P8(Contrabass),P8(Violin 1)&P8(Violin 2),P8(Viola)
428.0,445.5,Main Part,,,,P8(Main),,,,,,,,,,,,,,,U(Violin 2),U(Violin 1),P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
445.5,448.0,,,Main Part,,,,,,,,,,,,,,,,,,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
448.0,450.0,,,,,Main Part,,P8(Main),,,,,,,,,,,,,U(Violin 2),U(Violin 1),,P8(Contrabass),P8(Violoncello)
