qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,C4,C3,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C4,C3,C2
1.0,0.4167,1,2.0,r,r,r,r,r,r,B3,B2,r,r,r,r,r,r,r,r,r,r,r,B3,B3,B3,B2,B1
1.5,0.625,1,2.5,r,r,r,r,r,r,C4,C3,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C4,C3,C2
2.0,0.8333,1,3.0,r,r,r,r,r,r,C#4,C#3,r,r,r,r,r,r,r,r,r,r,r,C#4,C#4,C#4,C#3,C#2
3.0,1.25,1,4.0,r,r,r,r,r,r,C4,C3,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C4,C3,C2
3.5,1.4583,1,4.5,r,r,r,r,r,r,C#4,C#3,r,r,r,r,r,r,r,r,r,r,r,C#4,C#4,C#4,C#3,C#2
4.0,1.6667,2,1.0,r,r,r,r,r,r,F4,F3,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,F2
4.5,1.875,2,1.5,r,r,r,r,r,r,G#4,G#3,r,r,r,r,r,r,r,r,r,r,r,G#4,G#4,G#4,G#3,G#2
5.0,2.0833,2,2.0,r,r,r,r,r,r,G4,G3,r,r,r,r,r,r,r,r,r,r,r,G4,G4,G4,G3,G2
5.5,2.2917,2,2.5,r,r,r,r,r,r,F4,F3,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,F2
6.0,2.5,2,3.0,r,r,r,r,r,r,G4,G3,r,r,r,r,r,r,r,r,r,r,r,G4,G4,G4,G3,G2
6.5,2.7083,2,3.5,r,r,r,r,r,r,F4,F3,r,r,r,r,r,r,r,r,r,r,r,F4,F4,F4,F3,F2
7.0,2.9167,2,4.0,r,r,r,r,r,r,E-4,E-3,r,r,r,r,r,r,r,r,r,r,r,E-4,E-4,E-4,E-3,E-2
7.5,3.125,2,4.5,r,r,r,r,r,r,C#4,C#3,r,r,r,r,r,r,r,r,r,r,r,C#4,C#4,C#4,C#3,C#2
8.0,3.3333,3,1.0,r,r,r,r,r,r,C4,C3,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C4,C3,C2
9.0,3.75,3,2.0,r,r,r,r,r,r,B3,B2,r,r,r,r,r,r,r,r,r,r,r,B3,B3,B3,B2,B1
9.5,3.9583,3,2.5,r,r,r,r,r,r,C4,C3,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C4,C3,C2
10.0,4.1667,3,3.0,r,r,r,r,r,r,C#4,C#3,r,r,r,r,r,r,r,r,r,r,r,C#4,C#4,C#4,C#3,C#2
11.0,4.5833,3,4.0,r,r,r,r,r,r,C4,C3,r,r,r,r,r,r,r,r,r,r,r,C4,C4,C4,C3,C2
11.5,4.7917,3,4.5,r,r,r,r,r,r,C#4,C#3,r,r,r,r,r,r,r,r,r,r,r,C#4,C#4,C#4,C#3,C#2
12.0,5.0,4,1.0,r,r,r,r,r,r,B-3,B-2,r,r,r,r,r,r,r,r,r,r,r,B-3,B-3,B-3,B-2,B-1
