qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"F, F Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D6,D6,D5,D4,D3
1.5,0.2586,1,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D5,D4,D3,D2
2.0,0.3448,1,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D5,D4,D3,D2
7.0,1.2069,3,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A5,A4,A3,A2
8.5,1.4655,3,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A3,A2,A1
9.0,1.5517,3,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,A4,A3,A2,A1
14.0,2.4138,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,r,r,r,r,r
15.5,2.6724,5,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F2,r,r,r,r,r
16.0,2.7586,5,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F2,r,r,r,r,r
17.0,2.931,6,1.0,D6,D6,D6,D5,D5,D5,D3,D3,D4,D4,D4,D4,D5,D5,r,r,r,r,D5,D5,D4,D3,D2
18.5,3.1897,6,2.5,D5,D5,D5,D4,D4,D4,D2,D2,D3,D3,D3,D3,D4,D4,r,r,r,r,D4,D4,D3,D2,D1
19.0,3.2759,6,3.0,D5,D5,D5,D4,D4,D4,D2,D2,D3,D3,D3,D3,D4,D4,r,r,r,r,D4,D4,D3,D2,D1
31.0,5.3448,9,1.0,r,r,A5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,r,r,r
32.5,5.6034,9,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,r,r,r
33.0,5.6897,9,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,r,r,r
34.0,5.8621,10,1.0,r,r,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,r,r,r
35.0,6.0345,10,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,r,r,r
36.0,6.2069,10,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,r,r,r
37.0,6.3793,11,1.0,r,r,E5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,r,r,r
38.0,6.5517,11,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,r,r,r
39.0,6.7241,11,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G5,r,r,r
40.0,6.8966,12,1.0,r,r,F5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,r,r,r
41.0,7.069,12,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,r,r,r
42.0,7.2414,12,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,r,r,r
43.0,7.4138,13,1.0,r,r,F5,r,D5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,D5,r,r
44.0,7.5862,13,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,D5,r,r
44.5,7.6724,13,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,E5,D4,r,r
45.0,7.7586,13,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,r,r
46.0,7.931,14,1.0,r,r,C5,r,A4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,A4,r,r
47.0,8.1034,14,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,B4,B4,r,r
48.0,8.2759,14,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,A4,C5,r,r
49.0,8.4483,15,1.0,r,r,G#4,r,B4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G#4,B4,r,r
