qstamp,measure,beat,measure_fraction,label,part,part_num,instrument
0.0,1,1.0,0.0,a,Vln 1,18,Vln
12.0,5,1.0,0.0,a,Timp,17,Timp
15.0,6,1.0,0.0,a,Vln 1,18,Vln
24.0,9,1.0,0.0,a,Vln 2,19,Vln
36.0,13,1.0,0.0,a,Vla,20,Vla
48.0,17,1.0,0.0,a,Vc,21,Vc
60.0,21,1.0,0.0,a,Vln 1,18,Vln
72.0,25,1.0,0.0,a,Cb,22,Cb
84.0,29,1.0,0.0,a,Vln 1,18,Vln
96.0,33,1.0,0.0,a,Vln 1,18,Vln
120.0,41,1.0,0.0,a,Vln 1,18,Vln
132.0,45,1.0,0.0,a,Vln 1,18,Vln
144.0,49,1.0,0.0,a,Vln 1,18,Vln
156.0,53,1.0,0.0,a,Vln 1,18,Vln
168.0,57,1.0,0.0,a,Vln 1,18,Vln
180.0,61,1.0,0.0,a,Vln 1,18,Vln
192.0,65,1.0,0.0,a,Vln 1,18,Vln
204.0,69,1.0,0.0,a,Vln 1,18,Vln
216.0,73,1.0,0.0,a,Vln 1,18,Vln
228.0,77,1.0,0.0,b,Ob 2,3,Ob
234.0,79,1.0,0.0,b,Ob 1,2,Ob
237.0,80,1.0,0.0,b,Fl 1,0,Fl
252.0,85,1.0,0.0,b,Ob 2,3,Ob
258.0,87,1.0,0.0,b,Ob 1,2,Ob
261.0,88,1.0,0.0,b,Fl 2,1,Fl
264.0,89,1.0,0.0,b,Fl 1,0,Fl
276.0,93,1.0,0.0,c,Fl 1,0,Fl
288.0,97,1.0,0.0,c,Fl 1,0,Fl
300.0,101,1.0,0.0,c,Fl 1,0,Fl
312.0,105,1.0,0.0,c,Fl 1,0,Fl
324.0,109,1.0,0.0,a,Fl 1,0,Fl
330.0,111,1.0,0.0,a,Vln 1,18,Vln
336.0,113,1.0,0.0,a,Fl 1,0,Fl
342.0,115,1.0,0.0,a,Vln 1,18,Vln
348.0,117,1.0,0.0,d,Vln 1,18,Vln
366.0,123,1.0,0.0,d,Fl 1,0,Fl
378.0,127,1.0,0.0,d,Fl 1,0,Fl
384.0,129,1.0,0.0,d,Vln 1,18,Vln
390.0,131,1.0,0.0,d,Fl 1,0,Fl
396.0,133,1.0,0.0,d,Vln 1,18,Vln
402.0,135,1.0,0.0,d,Fl 1,0,Fl
414.0,139,1.0,0.0,d,Fl 1,0,Fl
426.0,143,1.0,0.0,a,Vln 1,18,Vln
429.0,144,1.0,0.0,a,Fl 1,0,Fl
432.0,145,1.0,0.0,a,Vln 1,18,Vln
435.0,146,1.0,0.0,a,Fl 1,0,Fl
438.0,147,1.0,0.0,a,Fl 1,0,Fl
450.0,151,1.0,0.0,a,Vln 1,18,Vln
451.5,151,2.5,0.5,a,Vln 2,19,Vln
456.0,153,1.0,0.0,a,Vln 1,18,Vln
457.5,153,2.5,0.5,a,Vln 2,19,Vln
459.0,154,1.0,0.0,a,Ob 1,2,Ob
474.0,159,1.0,0.0,a,Vln 1,18,Vln
475.5,159,2.5,0.5,a,Vln 2,19,Vln
480.0,161,1.0,0.0,a,Vln 1,18,Vln
481.5,161,2.5,0.5,a,Vln 2,19,Vln
486.0,163,1.0,0.0,a,Vln 1,18,Vln
492.0,165,1.0,0.0,a,Vln 1,18,Vln
493.5,165,2.5,0.5,a,Vln 2,19,Vln
498.0,167,1.0,0.0,a,Vln 1,18,Vln
504.0,169,1.0,0.0,a,Vln 1,18,Vln
505.5,169,2.5,0.5,a,Vln 2,19,Vln
510.0,171,1.0,0.0,a,Vln 1,18,Vln
513.0,172,1.0,0.0,a,Fl 1,0,Fl
516.0,173,1.0,0.0,a,Vln 1,18,Vln
519.0,174,1.0,0.0,a,Fl 1,0,Fl
522.0,175,1.0,0.0,a,Vln 1,18,Vln
525.0,176,1.0,0.0,a,Fl 1,0,Fl
528.0,177,1.0,0.0,a,Bsn 1,6,Bsn
537.0,180,1.0,0.0,a,Ob 1,2,Ob
546.0,183,1.0,0.0,a,Ob 1,2,Ob
555.0,186,1.0,0.0,a,Fl 1,0,Fl
564.0,189,1.0,0.0,a,Fl 1,0,Fl
573.0,192,1.0,0.0,a,Fl 1,0,Fl
582.0,195,1.0,0.0,a,Timp,17,Timp
585.0,196,1.0,0.0,a,Fl 1,0,Fl
591.0,198,1.0,0.0,a,Timp,17,Timp
594.0,199,1.0,0.0,a,Fl 1,0,Fl
600.0,201,1.0,0.0,a,Timp,17,Timp
603.0,202,1.0,0.0,a,Ob 1,2,Ob
609.0,204,1.0,0.0,a,Timp,17,Timp
612.0,205,1.0,0.0,a,Fl 1,0,Fl
618.0,207,1.0,0.0,a,Fl 1,0,Fl
627.0,210,1.0,0.0,a,Vln 1,18,Vln
636.0,213,1.0,0.0,a,Fl 1,0,Fl
645.0,216,1.0,0.0,a,Vln 1,18,Vln
654.0,219,1.0,0.0,a,Fl 1,0,Fl
663.0,222,1.0,0.0,a,Vln 1,18,Vln
672.0,225,1.0,0.0,a,Ob 1,2,Ob
681.0,228,1.0,0.0,a,Ob 1,2,Ob
690.0,231,1.0,0.0,a,Fl 1,0,Fl
699.0,234,1.0,0.0,a,Fl 1,0,Fl
711.0,238,1.0,0.0,a,Fl 1,0,Fl
723.0,242,1.0,0.0,a,Fl 1,0,Fl
735.0,246,1.0,0.0,a,Fl 1,0,Fl
741.0,248,1.0,0.0,a,Timp,17,Timp
744.0,249,1.0,0.0,a,Hn 3,10,Hn
747.0,250,1.0,0.0,a,Hn 1,8,Hn
750.0,251,1.0,0.0,a,Hn 3,10,Hn
753.0,252,1.0,0.0,a,Vln 1,18,Vln
765.0,256,1.0,0.0,a,Timp,17,Timp
768.0,257,1.0,0.0,a,Hn 3,10,Hn
771.0,258,1.0,0.0,a,Hn 1,8,Hn
774.0,259,1.0,0.0,a,Hn 3,10,Hn
777.0,260,1.0,0.0,a,Timp,17,Timp
780.0,261,1.0,0.0,a,Hn 2,9,Hn
783.0,262,1.0,0.0,a,Tpt 1,12,Tpt
786.0,263,1.0,0.0,a,Hn 3,10,Hn
789.0,264,1.0,0.0,a,Hn 1,8,Hn
801.0,268,1.0,0.0,a,Fl 2,1,Fl
813.0,272,1.0,0.0,a,Fl 2,1,Fl
825.0,276,1.0,0.0,a,Fl 2,1,Fl
837.0,280,1.0,0.0,a,Fl 2,1,Fl
849.0,284,1.0,0.0,a,Fl 2,1,Fl
861.0,288,1.0,0.0,a,Ob 1,2,Ob
873.0,292,1.0,0.0,a,Ob 1,2,Ob
885.0,296,1.0,0.0,b,Ob 1,2,Ob
909.0,304,1.0,0.0,b,Ob 1,2,Ob
915.0,306,1.0,0.0,b,Ob 2,3,Ob
