qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"F, F Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
127.0,139.0,P8(Flute 2),P8(Flute 1),U(Violin 1),,,,,,P8(D Horn 2),P8(D Horn 1),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,U(Oboe 1),,Main Part,,
139.0,151.0,P8(Flute 2),P8(Flute 1),U(Violin 1)&P3(Violin 2),,P8(C Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(Contrabass),P8(C Clarinet 1)&U(D Horn 1)&P8(D Horn 2)&P8(Contrabass),P3(Bassoon 2),P3(Bassoon 1),P8(C Clarinet 1)&U(C Clarinet 2)&P8(D Horn 2)&P8(Contrabass),P8(C Clarinet 1)&P8(C Clarinet 2)&P8(D Horn 1)&P8(Contrabass),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,U(Oboe 1)&P3(Violin 2),P3(Oboe 1)&P3(Violin 1),Main Part,P3(Main),P8(C Clarinet 1)&P8(C Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)
151.0,163.0,P8(Flute 2),P8(Flute 1),U(Violin 1)&P3(Violin 2),,P8(C Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(Contrabass),P8(C Clarinet 1)&U(D Horn 1)&P8(D Horn 2)&P8(Contrabass),P3(Bassoon 2),P3(Bassoon 1),P8(C Clarinet 1)&U(C Clarinet 2)&P8(D Horn 2)&P8(Contrabass),P8(C Clarinet 1)&P8(C Clarinet 2)&P8(D Horn 1)&P8(Contrabass),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,U(Oboe 1)&P3(Violin 2),P3(Oboe 1)&P3(Violin 1),P3(Main),Main Part,P8(C Clarinet 1)&P8(C Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)
163.0,175.0,,,P3(Oboe 2),P3(Oboe 1),P8(C Clarinet 2)&P8(D Horn 1)&P8(D Horn 2),P8(C Clarinet 1)&U(D Horn 1)&P8(D Horn 2),,,P8(C Clarinet 1)&U(C Clarinet 2)&P8(D Horn 2),P8(C Clarinet 1)&P8(C Clarinet 2)&P8(D Horn 1),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,,,,Main Part,
175.0,187.0,P8(Violin 1)&P8(Violin 2),,P8(C Clarinet 2),,,P8(Oboe 1),,,,,P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,P8(Flute 1)&U(Violin 2),P8(Flute 1)&U(Violin 1),,Main Part,P8(Main)
187.0,199.0,P8(Main)&P8(Violin 2),,,,,,,,,,P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,Main Part,P8(Flute 1)&U(Main),,P8(Contrabass),P8(Violoncello)
199.0,211.0,P8(Main)&P8(Violin 2),,,,,,,,,,P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,Main Part,P8(Flute 1)&U(Main),,P8(Contrabass),P8(Violoncello)
211.0,223.0,P8(Main)&P8(Violin 2),,,,,,,,,,P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,Main Part,P8(Flute 1)&U(Main),,P8(Contrabass),P8(Violoncello)
223.0,235.0,P8(Violin 1),,,,,,,,U(D Horn 2),U(D Horn 1),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),P8(D Trumpet 2),P8(D Trumpet 1),,,,,P8(Flute 1),,,P8(Main),Main Part
235.0,241.0,P6(Flute 2)&P6(C Clarinet 1)&P3(C Clarinet 2)&P3(D Horn 1)&P3(D Horn 2)&P3(D Trumpet 1)&P3(D Trumpet 2)&P3(Viola)&P3(Violoncello)&P3(Main),P6(Flute 1)&U(C Clarinet 1)&P4(C Clarinet 2)&P4(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Viola)&P4(Violoncello)&P4(Main),,P8(Violin 2),P6(Flute 1)&U(Flute 2)&P4(C Clarinet 2)&P4(D Horn 1)&P4(D Horn 2)&P4(D Trumpet 1)&P4(D Trumpet 2)&P4(Viola)&P4(Violoncello)&P4(Main),P3(Flute 1)&P4(Flute 2)&P4(C Clarinet 1)&U(D Horn 1)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Viola)&P8(Violoncello)&P8(Main),P8(Bassoon 2),P8(Bassoon 1),P3(Flute 1)&P4(Flute 2)&P4(C Clarinet 1)&U(C Clarinet 2)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Viola)&P8(Violoncello)&P8(Main),P3(Flute 1)&P4(Flute 2)&P4(C Clarinet 1)&U(C Clarinet 2)&U(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Viola)&P8(Violoncello)&P8(Main),,,P3(Flute 1)&P4(Flute 2)&P4(C Clarinet 1)&P8(C Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 2)&P8(Viola)&P8(Violoncello)&P8(Main),P3(Flute 1)&P4(Flute 2)&P4(C Clarinet 1)&P8(C Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(Viola)&P8(Violoncello)&P8(Main),,,,,,P8(Oboe 2),P3(Flute 1)&P4(Flute 2)&P4(C Clarinet 1)&U(C Clarinet 2)&U(D Horn 1)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violoncello)&P8(Main),P3(Flute 1)&P4(Flute 2)&P4(C Clarinet 1)&P8(C Clarinet 2)&P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Viola)&P8(Main),Main Part
241.0,244.0,P3(Viola),,,P8(Violin 2),,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,,P8(Oboe 2),P3(Flute 1),,Main Part
244.0,259.0,P8(Main),,,,,,,,,,,,,,,,,,Main Part,,,,
259.0,265.0,,,P8(C Clarinet 1)&P8(Violin 2),P8(C Clarinet 2)&P8(Bassoon 1)&P8(Viola),P8(Oboe 1)&U(Violin 2),P8(Oboe 2)&U(Bassoon 1)&P8(Viola),P8(Oboe 2)&U(C Clarinet 2)&P8(Viola),,,,,,,,,,,,Main Part,P8(Oboe 1)&U(C Clarinet 1),P8(Oboe 2)&P8(C Clarinet 2)&P8(Bassoon 1),P8(Contrabass),P8(Violoncello)
265.0,268.0,,P5(Main),P8(C Clarinet 1)&P8(Violin 2),P8(C Clarinet 2)&P8(Bassoon 1)&P8(Viola),P8(Oboe 1)&P8(Violin 2),P8(Oboe 2)&U(Bassoon 1)&P8(Viola),P8(Oboe 2)&U(C Clarinet 2)&P8(Viola),,,,,,,,,,,,Main Part,P8(Oboe 1)&P8(C Clarinet 1),P8(Oboe 2)&P8(C Clarinet 2)&P8(Bassoon 1),P8(Contrabass),P8(Violoncello)
268.0,271.0,,,P3(Oboe 2)&P8(C Clarinet 1)&P8(Violin 2),P3(Oboe 1)&P3(C Clarinet 1)&P3(Bassoon 2)&P3(Violin 2),P8(Oboe 1)&P3(Oboe 2)&P8(Violin 2),U(Bassoon 1)&P3(Main)&P8(Viola),U(C Clarinet 2)&P3(Main)&P8(Viola),P3(Oboe 2),,,,,,,,,,,Main Part,P8(Oboe 1)&P3(Oboe 2)&P8(C Clarinet 1),P8(C Clarinet 2)&P8(Bassoon 1)&P3(Main),P8(Contrabass),P8(Violoncello)
271.0,283.0,P8(Main),,P8(C Clarinet 1)&P8(Violin 2),,P8(Oboe 1)&P8(Violin 2),P8(Viola),,,U(D Horn 2)&U(Bb (basso) Horn 3)&U(Bb (basso) Horn 4),U(D Horn 1)&U(Bb (basso) Horn 3)&U(Bb (basso) Horn 4),U(D Horn 1)&U(D Horn 2)&U(Bb (basso) Horn 4),U(D Horn 1)&U(D Horn 2)&U(Bb (basso) Horn 3),,,,,,,Main Part,P8(Oboe 1)&P8(C Clarinet 1),P8(C Clarinet 2),P8(Contrabass),P8(Violoncello)
283.0,295.0,P8(Oboe 1)&P8(C Clarinet 1)&P8(Bassoon 1),,P8(Flute 1)&P8(C Clarinet 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Oboe 1)&P8(Bassoon 1),P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(C Clarinet 1),P8(C Clarinet 2),U(D Horn 2),U(D Horn 1),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),,,,,,,Main Part,P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
295.0,307.0,P8(Oboe 1),P8(C Clarinet 2),P8(Flute 1),,,P8(Flute 2),,,U(D Horn 2),U(D Horn 1),P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),,,,,,,Main Part,P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
307.0,319.0,P8(Oboe 1)&P8(Bassoon 1),,P8(Flute 1)&P8(Bassoon 1),,,P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1),P8(C Clarinet 2),U(D Horn 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(D Horn 1)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),,,,,,,Main Part,P8(D Horn 1)&P8(D Horn 2)&P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Horn 1)&P8(D Horn 2)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(D Horn 1)&P8(D Horn 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(D Horn 1)&P8(D Horn 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
319.0,331.0,,,,,,P8(Bassoon 2),,P8(C Clarinet 2),U(D Horn 2),U(D Horn 1),U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),U(D Trumpet 2),U(D Trumpet 1),,,,,Main Part,P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
