qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,Bb (basso) Horn 3,Bb (basso) Horn 4,D Trumpet 1,D Trumpet 2,Alto Trombone,Tenor Trombone,Bass Trombone,"F, F Timpani",Violin 1,Violin 2,Viola,Violoncello,Contrabass
1081.0,1087.0,Main Part,,P8(C Clarinet 2),,P8(Main),P8(Oboe 1),P3(Bassoon 2),P3(Bassoon 1),,,P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),,,,,,,P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1087.0,1090.0,Main Part,P8(Main)&P3(Oboe 1)&U(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&U(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P3(Main)&P3(Flute 2)&P3(Oboe 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Main)&U(Flute 2)&P3(Oboe 1)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&U(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P4(Main)&P4(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P6(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(Bb (basso) Horn 3)&P4(Bb (basso) Horn 4)&P4(Violin 1)&P4(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P3(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P6(C Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P4(Main)&P4(Flute 2)&P6(Oboe 1)&P4(Oboe 2)&P8(C Clarinet 1)&P6(C Clarinet 2)&P6(Bassoon 2)&P4(Bb (basso) Horn 3)&P4(Bb (basso) Horn 4)&P4(Violin 1)&P4(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P3(Main)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P6(C Clarinet 1)&P8(C Clarinet 2)&P6(Bassoon 1)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P3(Violin 1)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,,P8(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(Bb (basso) Horn 4)&P8(Violin 1)&U(Violin 2)&U(Viola)&U(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&U(Contrabass),,,,,,,P8(Main)&U(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&U(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Violin 1)&U(Viola)&U(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&U(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Violin 1)&U(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&U(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Violin 1)&U(Violin 2)&U(Viola)&P8(Contrabass),P8(Main)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P4(C Clarinet 1)&P3(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(Bb (basso) Horn 3)&U(Bb (basso) Horn 4)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1090.0,1096.0,P8(Flute 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4),P8(Flute 1)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4),,,P8(Bassoon 1),P8(Bassoon 2),P8(C Clarinet 1),P8(C Clarinet 2),,,P8(Flute 1)&P8(Flute 2)&P8(Bb (basso) Horn 4),P8(Flute 1)&P8(Flute 2)&P8(Bb (basso) Horn 3),,,,,,,Main Part,P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&U(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1096.0,1099.0,P6(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P3(Main)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P6(Flute 1)&P8(Oboe 1)&P6(Oboe 2)&P6(C Clarinet 1)&P4(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(Bb (basso) Horn 3)&P4(Bb (basso) Horn 4)&P4(Main)&P4(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P6(Flute 1)&P8(Flute 2)&P6(Oboe 2)&P6(C Clarinet 1)&P4(C Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(Bb (basso) Horn 3)&P4(Bb (basso) Horn 4)&P4(Main)&P4(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P6(Flute 2)&P6(Oboe 1)&U(C Clarinet 1)&P3(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P3(Main)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P6(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P3(C Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P3(Main)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P4(Bassoon 1)&P3(Bassoon 2)&U(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&U(Violin 2)&U(Viola)&U(Violoncello)&P8(Contrabass),P6(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(C Clarinet 1)&P4(C Clarinet 2)&P6(Bassoon 2)&P4(Bb (basso) Horn 3)&P4(Bb (basso) Horn 4)&P4(Main)&P4(Violin 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P8(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P6(Bassoon 1)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4)&P3(Main)&P3(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),,,P3(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&U(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(Bb (basso) Horn 4)&P8(Main)&U(Violin 2)&U(Viola)&U(Violoncello)&P8(Contrabass),P3(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&U(Contrabass),,,,,,,Main Part,P3(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&U(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&U(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&U(Viola)&U(Violoncello)&P8(Contrabass),P3(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&U(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&U(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&U(Violin 2)&U(Violoncello)&P8(Contrabass),P3(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&U(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&U(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4)&P8(Main)&U(Violin 2)&U(Viola)&P8(Contrabass),P3(Flute 1)&P4(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(Bb (basso) Horn 3)&U(Bb (basso) Horn 4)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1099.0,1105.0,,,,,,,,,,,P8(Bb (basso) Horn 4),P8(Bb (basso) Horn 3),,,,,,,Main Part,P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&U(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&U(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1105.0,1114.0,Main Part,P4(Bb (basso) Horn 3)&P4(Bb (basso) Horn 4),P8(C Clarinet 2),P8(Main)&U(C Clarinet 1),P8(Main)&U(Oboe 2),P8(Oboe 1),,,,,P4(Flute 2)&P8(Bb (basso) Horn 4),P4(Flute 2)&P8(Bb (basso) Horn 3),,,,,,,,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
1114.0,1123.0,Main Part,P5(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 2)&P5(Bb (basso) Horn 3)&P5(Bb (basso) Horn 4),,P5(Flute 2)&U(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4),P5(Flute 2)&U(Oboe 2)&P3(C Clarinet 2)&P3(Bassoon 2)&P8(Bb (basso) Horn 3)&P8(Bb (basso) Horn 4),P3(Flute 2)&P3(Oboe 2)&P3(C Clarinet 1)&P8(Bassoon 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4),,P3(Flute 2)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bb (basso) Horn 3)&P3(Bb (basso) Horn 4),,,P5(Flute 2)&P8(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 2)&P8(Bb (basso) Horn 4),P5(Flute 2)&P8(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 2)&P8(Bb (basso) Horn 3),,,,,,,,,,,
1123.0,1132.0,Main Part,P5(Bb (basso) Horn 3)&P5(Bb (basso) Horn 4),P3(Main)&P3(Oboe 2),P8(Main)&P3(Oboe 1),,,P3(Bassoon 2),P3(Bassoon 1),,P8(D Trumpet 1),P5(Flute 2)&P8(Bb (basso) Horn 4),P5(Flute 2)&P8(Bb (basso) Horn 3),P8(D Horn 2),,,,,,,P8(Viola),P8(Violin 2),P8(Contrabass),P8(Violoncello)
1132.0,1141.0,P5(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(Bassoon 1)&P3(Bassoon 2),P5(Flute 1)&P3(Oboe 1)&P5(Oboe 2)&P8(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P5(Bassoon 1)&P3(Bassoon 2),P8(C Clarinet 2),P8(C Clarinet 1),P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P3(Bassoon 2),P3(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(Bassoon 1),P8(D Horn 2),P8(D Horn 1),,,,,,,,,Main Part,P3(Main),,P8(Contrabass),P8(Violoncello)
1141.0,1150.0,P3(Oboe 1)&P8(Oboe 2),,P3(Flute 1)&P3(Oboe 2),P8(Flute 1)&P3(Oboe 1),P8(C Clarinet 2),P8(C Clarinet 1),P3(Bassoon 2),P3(Bassoon 1),P8(D Horn 2),P8(D Horn 1),,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1150.0,1159.0,,,,,,,,,P8(D Horn 2),P8(D Horn 1),,,,,,,,,Main Part,P3(Main),,P8(Contrabass),P8(Violoncello)
1159.0,1168.0,Main Part,,P8(C Clarinet 1),P8(C Clarinet 2),P8(Oboe 1),P8(Oboe 2),,,P8(D Horn 2),P8(D Horn 1),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
1168.0,1177.0,Main Part,,,,P3(C Clarinet 2),P3(C Clarinet 1),,,P8(D Horn 2),P8(D Horn 1),,,,,,,,,U(Violin 2)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&P8(Violoncello)&P8(Contrabass),,P8(Violin 1)&P8(Violin 2)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Violoncello)
1177.0,1186.0,Main Part,,P8(Main),,P3(C Clarinet 2),P3(C Clarinet 1),P3(Bassoon 2),P3(Bassoon 1),P8(D Horn 2),P8(D Horn 1),,,,,,,,,U(Violin 2),U(Violin 1),,P8(Contrabass),P8(Violoncello)
1186.0,1198.0,Main Part,,,U(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 2),U(Oboe 2)&P3(C Clarinet 2)&P3(Bassoon 2),P3(Oboe 2)&P3(C Clarinet 1)&P8(Bassoon 2),,P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2),P8(D Horn 2),P8(D Horn 1),,,,,,,,,,,,,
1198.0,1210.0,Main Part,,,,,,,,,,,,,,,,,,,,,,
1210.0,1222.0,Main Part,,,,,,,,,,U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),,,,,,,,,,,
1222.0,1228.0,,"P3(F, F Timpani)",P8(Bassoon 1),,,,P8(Oboe 1),,,,U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),,,,,,P3(Flute 2),Main Part,,,,
1228.0,1231.0,P4(Flute 2)&P3(Oboe 1)&P2(C Clarinet 1)&P3(Bassoon 1),P4(Flute 1)&P6(Oboe 1)&P3(C Clarinet 1)&P6(Bassoon 1),P3(Flute 1)&P6(Flute 2)&P4(C Clarinet 1)&P8(Bassoon 1),,P2(Flute 1)&P3(Flute 2)&P4(Oboe 1)&P4(Bassoon 1),,P3(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P4(C Clarinet 1),,,,U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),,,,,,,Main Part,P4(Main)&P3(Viola)&P6(Violoncello)&P6(Contrabass),P2(Main)&P3(Violin 2)&P4(Violoncello)&P4(Contrabass),P3(Main)&P6(Violin 2)&P4(Viola)&P8(Contrabass),P3(Main)&P6(Violin 2)&P4(Viola)&P8(Violoncello)
1231.0,1234.0,,,,,,,,,U(D Horn 2),U(D Horn 1),U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),,,,,,,P4(Main)&P2(Viola)&P3(Violoncello)&P3(Contrabass),Main Part,P2(Violin 1)&P3(Main)&P4(Violoncello)&P4(Contrabass),P3(Violin 1)&P6(Main)&P4(Viola)&P8(Contrabass),P3(Violin 1)&P6(Main)&P4(Viola)&P8(Violoncello)
1234.0,1237.0,,,,,,,,,U(D Horn 2),U(D Horn 1),U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),,,,,,,P4(Main)&P2(Viola)&P3(Violoncello)&P3(Contrabass),Main Part,P2(Violin 1)&P3(Main)&P4(Violoncello)&P4(Contrabass),P3(Violin 1)&P6(Main)&P4(Viola)&P8(Contrabass),P3(Violin 1)&P6(Main)&P4(Viola)&P8(Violoncello)
1237.0,1240.0,P3(Flute 2)&P3(Oboe 1)&P3(C Clarinet 1)&P3(Bassoon 1),P3(Flute 1)&P5(Oboe 1)&P8(C Clarinet 1)&P5(Bassoon 1),P3(Flute 1)&P5(Flute 2)&P5(C Clarinet 1)&P8(Bassoon 1),,P3(Flute 1)&P8(Flute 2)&P5(Oboe 1)&P5(Bassoon 1),,P3(Flute 1)&P5(Flute 2)&P8(Oboe 1)&P5(C Clarinet 1),,,,U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),,,,,,,Main Part,,,P3(Main)&P8(Contrabass),P3(Main)&P8(Violoncello)
1240.0,1252.0,P3(Oboe 1)&P3(Bassoon 1),P8(C Clarinet 1),P3(Flute 1)&P8(Bassoon 1),,P8(Flute 2),,P3(Flute 1)&P8(Oboe 1),"P4(F, F Timpani)",,,U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),,,,,,P4(Bassoon 2),Main Part,,,P8(Contrabass),P8(Violoncello)
1252.0,1255.0,P4(Flute 2)&P3(Oboe 1)&P4(C Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2),P4(Flute 1)&P6(Oboe 1)&P8(C Clarinet 1)&P6(Bassoon 1)&P6(Bassoon 2),P3(Flute 1)&P6(Flute 2)&P6(C Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),,P4(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P6(Bassoon 1)&P6(Bassoon 2),,P3(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P6(C Clarinet 1)&P8(Bassoon 2),P3(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P6(C Clarinet 1)&P8(Bassoon 1),,,U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),,,,,,,P2(Main)&P4(Viola)&P3(Violoncello)&P3(Contrabass),Main Part,P4(Violin 1)&P3(Main)&P6(Violoncello)&P6(Contrabass),P3(Violin 1)&P4(Main)&P6(Viola)&P8(Contrabass),P3(Violin 1)&P4(Main)&P6(Viola)&P8(Violoncello)
1255.0,1258.0,,,,,,,,,U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),U(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2),U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 2),P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1),,,,,P2(Main)&P4(Viola)&P3(Violoncello)&P3(Contrabass),Main Part,P4(Violin 1)&P3(Main)&P6(Violoncello)&P6(Contrabass),P3(Violin 1)&P4(Main)&P6(Viola)&P8(Contrabass),P3(Violin 1)&P4(Main)&P6(Viola)&P8(Violoncello)
1258.0,1261.0,,,Main Part,,,,,,U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),U(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2),U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 2),P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1),,,,,P2(Violin 2)&P4(Viola)&P3(Violoncello)&P3(Contrabass),P2(Violin 1)&P3(Viola)&P4(Violoncello)&P4(Contrabass),P4(Violin 1)&P3(Violin 2)&P6(Violoncello)&P6(Contrabass),P3(Violin 1)&P4(Violin 2)&P6(Viola)&P8(Contrabass),P3(Violin 1)&P4(Violin 2)&P6(Viola)&P8(Violoncello)
1261.0,1264.0,"P3(Flute 2)&P3(Main)&P5(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P3(F, F Timpani)","P3(Flute 1)&P8(Main)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P8(F, F Timpani)",Main Part,"P5(Flute 1)&P3(Flute 2)&P3(Main)&U(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P3(F, F Timpani)","P5(Flute 1)&P3(Flute 2)&P3(Main)&U(Oboe 2)&P3(C Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P3(F, F Timpani)","P3(Flute 1)&P8(Flute 2)&P8(Main)&P3(Oboe 2)&P3(C Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&P8(F, F Timpani)","P8(Flute 1)&P3(Flute 2)&P3(Main)&P5(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 2)&P3(F, F Timpani)","P8(Flute 1)&P3(Flute 2)&P3(Main)&P5(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 1)&P3(F, F Timpani)",,,U(Bb (basso) Horn 4),U(Bb (basso) Horn 3),,,,,,P3(Flute 1)&P8(Flute 2)&P8(Main)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
1264.0,1267.0,P3(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P3(Flute 1)&P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2),P5(Flute 1)&P3(Flute 2)&P3(Oboe 1)&U(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2),P5(Flute 1)&P3(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(C Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 1),U(D Horn 2),U(D Horn 1),,,,,,,,,Main Part,P3(Main)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P5(Main)&P3(Violin 2)&P5(Violoncello)&P5(Contrabass),P8(Main)&P3(Violin 2)&P5(Viola)&P8(Contrabass),P8(Main)&P3(Violin 2)&P5(Viola)&P8(Violoncello)
1267.0,1270.0,P5(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(D Trumpet 1)&P8(D Trumpet 2),P5(Flute 1)&P3(Oboe 1)&P3(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P5(D Trumpet 1)&P5(D Trumpet 2),P3(Flute 1)&P3(Flute 2)&P8(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(D Trumpet 1)&P3(D Trumpet 2),P3(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(C Clarinet 1)&U(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(D Trumpet 1)&P3(D Trumpet 2),P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P5(D Trumpet 1)&P5(D Trumpet 2),P3(Flute 1)&P3(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P3(C Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&P3(D Trumpet 1)&P3(D Trumpet 2),P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 2)&P5(D Trumpet 1)&P5(D Trumpet 2),P5(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P8(Bassoon 1)&P5(D Trumpet 1)&P5(D Trumpet 2),P8(D Horn 2)&P8(Main)&P3(Violin 2),P8(D Horn 1)&P8(Main)&P3(Violin 2),,,P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&U(D Trumpet 2),P8(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&U(D Trumpet 1),,,,,Main Part,P3(D Horn 1)&P3(D Horn 2)&P3(Main)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Violin 2)&P5(Violoncello)&P5(Contrabass),P3(Violin 2)&P5(Viola)&P8(Contrabass),P3(Violin 2)&P5(Viola)&P8(Violoncello)
