qstamp,measure,beat,label,partName,partNum
1.0,1,2,a,Vln,0
7.0,3,2,a,Fl,1
13.0,5,2,a,Vln,0
19.0,7,2,a,Fl,1
25.0,9,2,a,Vln,0
28.0,10,2,a,Fl,1
31.0,11,2,a,Vln,0
34.0,12,2,a,Fl,1
37.0,13,2,a',Fl,2
48.0,17,1,a,Fl,1
52.0,18,2,a,Fl,1
55.0,19,2,a,Fl,1
58.0,20,2,a,Fl,1
61.0,21,2,a,Vln,0
64.0,22,2,b,Vln,0
67.0,23,2,b,Fl,1
70.0,24,2,b,Fl,1
73.0,25,2,b,Fl,1
82.0,28,2,a,Fl,2
84.5,29,1.5,c,Fl,1
88.0,30,2,a,Fl,2
90.25,31,1.25,c,Fl,1
94.0,32,2,a,Vln,0
97.0,33,2,a,Fl,2
100.0,34,2,a,Fl,1
103.0,35,2,a,Fl,2
106.0,36,2,a,Vln,0
109.0,37,2,a,Fl,2
112.0,38,2,a,Vln,0
115.0,39,2,a',Fl,1
133.0,45,2,a,Fl,1
136.0,46,2,a,Fl,1
139.0,47,2,a,Fl,1
142.0,48,2,a,Vln,0
145.0,49,2,b,Vln,0
148.0,50,2,b,Fl,1
151.0,51,2,b,Fl,1
154.0,52,2,b,Fl,1
163.0,55,2,a,Vc,6
169.0,57,2,a,Fl,2
174.0,59,1,d,Fl,1
176.0,59,3,d,Fl,1
177.0,60,1,d,Vln,0
179.0,60,3,d,Fl,1
181.0,61,2,a',Fl,2
192.5,65,1.5,b,Fl,2
194.5,65,3.5,b,Vln,0
201.25,68,1.25,c,Fl,1
