qstamp,measure,beat,label,partName,partNum
0.0,1,1,a,Vln,23
34.5,9,2.25,a2,Vln,23
72.0,19,1,a,Ob,3
96.0,25,1,a,Fl,1
104.0,27,1,a,Tpt,14
112.0,29,1,a3,Fl,1
136.0,35,1,a,Vln,23
144.0,37,1,a4,Fl,1
152.0,39,1,a,Vln,23
154.0,39,2,a4,Fl,1
156.0,40,1,a,Vln,23
158.0,40,2,a4,Fl,1
160.0,41,1,a,Vln,23
162.0,41,2,a4,Fl,1
164.0,42,1,a,Vln,23
166.0,42,2,a4,Fl,1
168.0,43,1,a,Vln,23
199.0,50,2.5,X,Vln,23
204.0,52,1,a4,Bsn,8
206.0,52,2,a4,Vln,23
210.0,53,2,a4,Bsn,8
212.0,54,1,a4,Vln,23
214.0,54,2,a4,Bsn,8
216.0,55,1,a4,Vln,23
224.0,57,1,a4,Bsn,8
226.0,57,2,a4,Cl,5
232.0,59,1,a,Vln,23
264.0,67,1,a,Eng Hn,10
284.0,72,1,a,Vln,23
292.0,74,1,a,Vln,23
296.0,75,1,a,Cl,5
304.0,77,1,a,Eng Hn,10
328.0,83,1,a,Eng Hn,12
332.0,84,1,a,Fl,1
362.0,91,2,a4,Ob,3
362.0,91,2,a4,Vln,23
366.0,92,2,a4,Ob,3
366.0,92,2,a4,Vln,23
368.0,93,1,a4,Vln,23
370.0,93,2,a4,Cl,5
372.0,94,1,a4,Vln,23
374.0,94,2,a4,Cl,5
376.0,95,1,a,Vln,23
424.0,107,1,b,Vc,27
504.0,127,1,b,Tpt,14
512.0,129,1,b,Vln,23
604.0,152,1,b2,T,16
632.0,159,1,a,Fl,1
648.0,163,1,a4,Vln,23
656.0,165,1,a4,Vln,23
658.0,165,2,a4,Vln,24
660.0,166,1,a4,Vln,23
662.0,166,2,a4,Vln,24
664.0,167,1,a,Eng Hn,10
672.0,169,1,a,Fl,1
682.0,171,2,a5,Vln,23
728.0,183,1,b,T,16
736.0,185,1,X,Tpt,14
740.0,186,1,X,T,16
744.0,187,1,X,Vln,23
756.0,190,1,X,Tpt,15
773.0,194,1.5,X,Vc,27
780.0,196,1,X,Eng Hn,12
784.0,197,1,X,Eng Hn,10
788.0,198,1,X,Tpt,14
789.0,198,1.5,X,Vc,27
796.0,200,1,X,Eng Hn,12
800.0,201,1,X,Eng Hn,10
804.0,202,1,X,Tpt,14
808.0,203,1,X,Cl,5
828.0,208,1,X,Eng Hn,10
832.0,209,1,X,Ob,3
840.0,211,1,a,Cl,5
864.0,217,1,X,Tpt,14
872.0,219,1,b,Vln,23
892.0,224,1,a,Fl,2
896.0,225,1,X,Vc,27
904.0,227,1,b,Vln,23
906.0,227,2,b,Vc,27
912.0,229,1,b,Tpt,14
914.0,229,2,X,Vln,23
920.0,231,1,b,BTrb,18
924.0,232,1,a,Vc,27
928.0,233,1,a,Vln,23
940.0,236,1,X,Cl,5
944.0,237,1,X,Vln,23
948.0,238,1,X,Cl,5
952.0,239,1,X,Vln,23
972.0,244,1,a,Cl,5
974.0,244,2,X,Eng Hn,10
979.0,245,2.5,a,Vln,23
1000.0,251,1,a,Eng Hn,10
1008.0,253,1,a,T,16
1012.0,254,1,X,Vc,27
1016.0,255,1,X,Vln,23
1020.0,256,1,X,Tpt,15
1024.0,257,1,X,Vln,23
1028.0,258,1,X,Tpt,15
1036.0,260,1,a,Vc,27
1042.0,261,2,X,Vln,23
1048.0,263,1,a,Vln,23
1064.0,267,1,X,T,16
1072.0,269,1,X,Eng Hn,10
1080.0,271,1,X,T,17
1088.0,273,1,X,Ob,3
1096.0,275,1,X,BTrb,18
1122.0,281,2,X,Eng Hn,12
1125.0,282,1.5,X,Eng Hn,10
1138.0,285,2,X,Cl,5
1144.0,287,1,X,Eng Hn,10
1168.0,293,1,a,Ob,3
1200.0,301,1,a,Tpt,14
1208.0,303,1,a,Cl,5
1213.0,304,1.5,a,Eng Hn,10
1232.0,309,1,a,Vln,23
1266.0,317,2,X,BTrb,18
1277.0,320,1.5,X,Tpt,14
1283.0,321,2.5,X,Fl,1
1295.0,324,2.5,X,Vln,23
1328.0,333,1,a,Cl,5
1336.0,335,1,a,Fl,1
1341.0,336,1.5,a,Cl,5
1347.0,337,2.5,X,Cl,6
1360.0,341,1,b,Vln,23
1440.0,361,1,b,Vc,27
1444.0,362,1,b,Eng Hn,13
1450.0,363,2,X,Vc,27
1464.0,367,1,X,Fl,1
1472.0,369,1,X,Tpt,15
1476.0,370,1,X,Tpt,14
1480.0,371,1,X,Fl,1
1483.0,371,2.5,X,Vln,23
1506.0,377,2,X,Tpt,14
1512.0,379,1,X,Cb,28
1516.0,380,1,X,Tpt,14
1523.0,381,2.5,X,Vln,23
1552.0,389,1,X,Vc,27
1568.0,393,1,b,Cl,5
1604.0,402,1,b,Eng Hn,10
1608.0,403,1,a,Vc,27
1632.0,409,1,ab,Ob,3
1640.0,411,1,a,Vc,27
1644.0,412,1,a,Vln,24
1656.0,415,1,a,Fl,1
1656.0,415,1,a,Vc,27
1660.0,416,1,a,Vln,23
1676.0,420,1,X,Tpt,14
1698.0,425,2,a',Vln,23
1702.0,426,2,X,Ob,3
1712.0,429,1,X,Vln,23
1728.0,433,1,a,Tpt,14
1744.0,437,1,X,BTrb,18
1748.0,438,1,X,Cl,5
1760.0,441,1,a(aug),Vln,23
1792.0,449,1,X,Eng Hn,10
1800.0,451,1,X,Eng Hn,13
1804.0,452,1,X,Eng Hn,10
1808.0,453,1,X,Tpt,14
1812.0,454,1,X,Ob,3
