qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,E6,B-5,E5,B-4,B-4,G4,C4,C3,C4,C3,r,r,r,E5,E4,C4,C4,C3
2.0,2.7273,1,3.0,F6,A5,F5,A4,A4,F4,F3,F2,C4,C3,r,r,r,F5,F4,F3,F3,F2
4.0,5.4545,2,1.0,F6,B5,F5,B4,F4,D4,G3,G2,D4,G3,r,r,r,B4,B4,G3,G3,G2
6.0,8.1818,2,3.0,E6,C6,E5,C5,E4,C4,A3,A2,C4,C3,r,r,r,C5,C5,A3,A3,A2
8.0,10.9091,3,1.0,F#6,C6,F#5,C5,C5,A4,D4,D3,D4,D4,r,r,r,F#5,C5,D3,D3,D2
10.0,13.6364,3,3.0,F#6,C6,F#5,C5,C5,A4,D4,D3,D4,D4,r,r,r,F#5,C5,D4,D3,D2
11.0,15.0,3,4.0,F#6,C6,F#5,C5,C5,A4,D4,D3,D4,D4,r,r,r,F#5,C5,D4,D3,D2
12.0,16.3636,4,1.0,G6,B5,G5,B4,B4,G4,G3,G2,D4,G3,G4,G3,G2,G5,B4,G3,G2,G1
13.5,18.4091,4,2.5,r,r,r,r,r,r,r,r,r,r,r,r,r,G#5,G#4,r,r,r
14.0,19.0909,4,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,A5,A4,r,r,r
14.5,19.7727,4,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,F5,F4,r,r,r
15.0,20.4545,4,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,D5,D4,r,r,r
15.5,21.1364,4,4.5,r,r,r,r,r,r,r,r,r,r,r,r,r,C5,C4,r,r,r
16.0,21.8182,5,1.0,r,r,G5,r,G4,r,r,G2,G4,G3,r,r,r,B4,B3,F4,G2,G1
16.5,22.5,5,1.5,r,r,G5,r,G4,r,r,G3,G4,G3,r,r,r,B4,B3,F4,G3,G2
16.75,22.8409,5,1.75,r,r,G5,r,G4,r,r,G3,G4,G3,r,r,r,D5,D4,F4,G3,G2
16.875,23.0114,5,1.875,r,r,G5,r,G4,r,r,G3,G4,G3,r,r,r,C5,C4,F4,G3,G2
17.0,23.1818,5,2.0,F5,r,G5,r,G4,r,F4,G3,G4,G3,r,r,r,B4,B3,D4,G3,G2
17.5,23.8636,5,2.5,F5,r,G5,r,G4,r,F4,G3,G4,G3,r,r,r,B4,B3,D4,G3,G2
18.0,24.5455,5,3.0,D5,r,G5,r,G4,r,D4,F3,G4,G3,r,r,r,B4,B3,D4,F3,F2
18.25,24.8864,5,3.25,D5,r,G5,r,G4,r,D4,F3,G4,G3,r,r,r,C5,C4,D4,F3,F2
18.5,25.2273,5,3.5,D5,r,G5,r,G4,r,D4,F3,G4,G3,r,r,r,D5,D4,D4,F3,F2
18.75,25.5682,5,3.75,D5,r,G5,r,G4,r,D4,F3,G4,G3,r,r,r,E5,E4,D4,F3,F2
19.0,25.9091,5,4.0,B4,r,G5,r,G4,r,B3,F3,G4,G3,r,r,r,F5,F4,G3,F3,F2
19.25,26.25,5,4.25,B4,r,G5,r,G4,r,B3,F3,G4,G3,r,r,r,D5,D4,G3,F3,F2
19.5,26.5909,5,4.5,B4,r,G5,r,G4,r,B3,F3,G4,G3,r,r,r,C5,C4,G3,F3,F2
19.75,26.9318,5,4.75,B4,r,G5,r,G4,r,B3,F3,G4,G3,r,r,r,B4,B3,G3,F3,F2
20.0,27.2727,6,1.0,r,r,G5,r,G4,r,r,E3,G4,G3,r,r,r,D5,D4,G4,E3,E2
20.5,27.9545,6,1.5,r,r,G5,r,G4,r,r,E3,G4,G3,r,r,r,D5,D4,G4,E3,E2
20.75,28.2955,6,1.75,r,r,G5,r,G4,r,r,E3,G4,G3,r,r,r,C5,C4,G4,E3,E2
21.0,28.6364,6,2.0,G5,r,G5,r,G4,r,G4,E3,G4,G3,r,r,r,C5,C4,E4,E3,E2
21.25,28.9773,6,2.25,G5,r,F#5,r,F#4,r,G4,E3,G4,G3,r,r,r,C5,C4,E4,E3,E2
21.5,29.3182,6,2.5,G5,r,G5,r,G4,r,G4,E3,G4,G3,r,r,r,C5,C4,E4,E3,E2
21.75,29.6591,6,2.75,G5,r,F#5,r,F#4,r,G4,E3,G4,G3,r,r,r,C5,C4,E4,E3,E2
22.0,30.0,6,3.0,E5,r,G5,r,G4,r,E4,E3,E4,E3,r,r,r,C5,C4,C4,E3,E2
22.25,30.3409,6,3.25,E5,r,G5,r,G4,r,E4,E3,E4,E3,r,r,r,B4,B3,C4,E3,E2
22.5,30.6818,6,3.5,E5,r,G5,r,G4,r,E4,E3,E4,E3,r,r,r,C5,C4,C4,E3,E2
22.75,31.0227,6,3.75,E5,r,G5,r,G4,r,E4,E3,E4,E3,r,r,r,B4,B3,C4,E3,E2
23.0,31.3636,6,4.0,C5,r,G5,r,G4,r,C4,E3,C4,C3,r,r,r,C5,C4,G3,E3,E2
23.25,31.7045,6,4.25,C5,r,G5,r,G4,r,C4,E3,C4,C3,r,r,r,B4,B3,G3,E3,E2
23.5,32.0455,6,4.5,C5,r,G5,r,G4,r,C4,E3,C4,C3,r,r,r,C5,C4,G3,E3,E2
23.75,32.3864,6,4.75,C5,r,G5,r,G4,r,C4,E3,C4,C3,r,r,r,C#5,C#4,G3,E3,E2
