score_qstamp,qstamp,measure,beat,589444_tstamp,736426_tstamp,736431_tstamp,729155_tstamp,711703_tstamp,723417_tstamp,735781_tstamp,736410_tstamp
0.0,0.0,1,1.0,2.64,2.8,3.0,2.82,4.38,2.06,1.24,6.12
2.0,2.0,1,3.0,6.2273,6.8273,5.9873,5.9473,7.2473,5.7673,4.1073,9.9073
4.0,4.0,2,1.0,10.146,10.183,8.5145,8.8015,9.9775,8.6945,6.7945,13.1905
6.0,6.0,2,3.0,14.0218,14.1836,11.2818,11.9018,12.9418,11.7818,10.0218,17.3618
8.0,8.0,3,1.0,17.9491,18.2291,13.7691,14.8291,15.7891,14.3691,12.7891,20.9491
10.0,10.0,3,3.0,20.7164,21.522,16.5164,17.7164,18.5164,17.0164,15.9564,24.0364
11.0,11.0,3,4.0,22.52,23.2,17.9,19.2,19.98,18.38,17.46,26.56
12.0,12.0,4,1.0,25.5836,25.4636,19.2836,20.7836,21.3636,19.6636,19.3636,28.6036
13.5,13.5,4,2.5,28.4891,28.4091,22.0291,23.4491,23.5291,22.3073,22.6491,31.7291
14.0,14.0,4,3.0,29.2709,29.1127,22.6709,24.1636,24.1309,23.0527,23.4127,32.7617
14.5,14.5,4,3.5,30.0927,29.9143,23.3527,24.8927,24.8127,23.7527,24.1889,33.6797
15.0,15.0,4,4.0,30.7945,30.6545,23.9545,25.5745,25.4145,24.4545,24.958,34.616
15.5,15.5,4,4.5,31.6292,31.3364,24.6364,26.3564,26.0764,25.1528,25.6564,35.5856
16.0,16.0,5,1.0,32.6184,32.3094,25.4164,27.2728,26.7582,25.9128,26.4564,36.7038
16.5,16.5,5,1.5,33.58,33.3,26.18,28.12,27.5,26.66,27.44,37.4
16.75,16.75,5,1.75,34.1409,33.6409,26.5209,28.5609,27.8409,27.1218,27.9409,38.2618
16.875,16.875,5,1.875,34.3114,33.8114,26.6914,28.7314,28.0114,27.3114,28.1114,38.4514
17.0,17.0,5,2.0,34.5654,33.9818,26.8618,28.9018,28.1818,27.4818,28.3654,38.629
17.5,17.5,5,2.5,35.438,34.7072,27.5436,29.5836,28.8636,28.2036,29.1436,39.4908
18.0,18.0,5,3.0,36.3365,35.546,28.2255,30.3625,29.5455,28.8855,29.8455,40.413
18.25,18.25,5,3.25,36.7064,36.0464,28.5664,30.9064,29.8864,29.2464,30.1864,40.8264
18.5,18.5,5,3.5,37.0673,36.4673,28.9346,31.2473,30.2273,29.6746,30.5273,41.2273
18.75,18.75,5,3.75,37.4282,36.8082,29.2882,31.6282,30.5682,30.0282,30.9882,41.7282
19.0,19.0,5,4.0,37.7691,37.1491,29.6291,31.9691,30.7691,30.3691,31.3291,42.2164
19.25,19.25,5,4.25,38.37,37.57,29.99,32.47,31.11,30.73,31.71,42.59
19.5,19.5,5,4.5,38.7709,37.9509,30.3309,32.8109,31.4509,31.0709,32.0509,42.9909
19.75,19.75,5,4.75,39.1318,38.3718,30.8118,33.2118,31.7759,31.4318,32.4718,43.6318
20.0,20.0,6,1.0,39.7127,38.9327,31.1927,33.5527,32.1127,31.7727,32.8327,43.9927
20.5,20.5,6,1.5,40.6145,39.6345,31.8745,34.3235,32.7945,32.4545,33.7745,44.9745
20.75,20.75,6,1.75,40.9555,39.9755,32.2155,34.6755,33.1155,32.7955,34.131,45.3955
21.0,21.0,6,2.0,41.2964,40.3164,32.5564,35.0164,33.4164,33.1364,34.5164,45.7764
21.25,21.25,6,2.25,41.8373,40.8373,32.8973,35.3573,33.7573,33.4773,34.9573,46.1773
21.5,21.5,6,2.5,42.2982,41.1782,33.2382,35.7782,34.0982,33.8182,35.3382,46.5382
21.75,21.75,6,2.75,42.6591,41.5391,33.5791,36.3991,34.4391,34.1591,35.6991,47.1191
22.0,22.0,6,3.0,43.22,41.94,33.92,36.74,34.78,34.5,36.14,47.54
22.25,22.25,6,3.25,43.5609,42.2809,34.2609,37.0809,35.1209,34.8409,36.5209,48.0009
22.5,22.5,6,3.5,44.1018,42.6218,34.6018,37.4218,35.4618,35.2218,36.8636,48.3454
22.75,22.75,6,3.75,44.4427,42.9627,34.9427,37.7627,35.7827,35.5627,37.2227,48.7227
23.0,23.0,6,4.0,44.998,43.3144,35.3052,38.1836,36.1036,35.9036,37.5636,49.2436
23.25,23.25,6,4.25,45.4445,43.8245,35.7645,38.5245,36.4445,36.2445,37.9645,49.6645
