qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,C Clarinet 1,C Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,12.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,P8(Bassoon 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),,,P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Viola)&P8(Contrabass),P8(Bassoon 1)&P8(Bassoon 2)&P8(Viola)&P8(Violoncello)
12.0,29.0,,P8(Oboe 2),,P8(Flute 2),,,,,,,P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
29.0,30.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(Main)&P3(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Main)&P8(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P5(Bassoon 1)&P5(Bassoon 2)&P8(Main)&P3(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&U(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Main)&P8(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&U(Oboe 2)&P3(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Main)&P8(C Horn 2)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P5(Bassoon 1)&P5(Bassoon 2)&U(Main)&P3(C Horn 2)&P5(C Trumpet 1)&P5(C Trumpet 2)&P5(Timpani),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P5(C Clarinet 2)&P8(Bassoon 2)&P5(Main)&P3(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P5(C Clarinet 2)&P8(Bassoon 1)&P5(Main)&P3(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(Timpani),Main Part,P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P8(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Main)&P3(C Trumpet 1)&P3(C Trumpet 2)&P3(Timpani),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P5(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P5(Main)&P3(C Horn 2)&P8(C Trumpet 2)&P8(Timpani),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P5(C Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P5(Main)&P3(C Horn 2)&P8(C Trumpet 1)&P8(Timpani),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P5(C Clarinet 2)&P8(Bassoon 1)&U(Bassoon 2)&P5(Main)&P3(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),U(Violin 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),U(Violin 1)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Violin 1)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),P3(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Contrabass),P3(Violin 1)&P3(Violin 2)&P8(Viola)&P8(Violoncello)
30.0,31.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P3(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 1)&P8(C Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2)&P2(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P3(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P5(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 1)&P8(C Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2)&P2(Timpani),P3(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P3(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 1)&P5(C Horn 2)&P6(C Trumpet 1)&P6(C Trumpet 2)&P6(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&U(Bassoon 1)&P8(Bassoon 2)&U(C Horn 1)&P3(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&U(C Clarinet 2)&P8(Bassoon 2)&U(C Horn 1)&P3(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(C Horn 1)&P3(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&U(C Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P8(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(C Horn 1)&P2(C Trumpet 1)&P2(C Trumpet 2)&P2(Timpani),P4(Flute 1)&P2(Flute 2)&P4(Oboe 1)&P2(Oboe 2)&P6(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(C Horn 1)&P2(C Horn 2)&P8(C Trumpet 2)&P8(Timpani),P4(Flute 1)&P2(Flute 2)&P4(Oboe 1)&P2(Oboe 2)&P6(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(C Horn 1)&P2(C Horn 2)&P8(C Trumpet 1)&P8(Timpani),P4(Flute 1)&P2(Flute 2)&P4(Oboe 1)&P2(Oboe 2)&P6(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P4(C Horn 1)&P2(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,U(Main)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Main)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),P3(Main)&P3(Violin 2)&P8(Viola)&P8(Contrabass),P3(Main)&P3(Violin 2)&P8(Viola)&P8(Violoncello)
31.0,38.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),,,,,Main Part,,P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),,,P8(Violoncello)&P8(Contrabass),P8(Viola)&P8(Contrabass),P8(Viola)&P8(Violoncello)
38.0,39.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P5(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2)&P2(Timpani),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P5(C Clarinet 1)&P3(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P2(C Horn 1)&P2(C Horn 2)&P2(C Trumpet 1)&P2(C Trumpet 2)&P2(Timpani),P3(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P3(C Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P6(C Horn 1)&P6(C Horn 2)&P6(C Trumpet 1)&P6(C Trumpet 2)&P6(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),P8(Flute 1)&P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P3(C Clarinet 1)&P8(C Clarinet 2)&P8(Bassoon 1)&P4(C Horn 1)&P4(C Horn 2)&P4(C Trumpet 1)&P4(C Trumpet 2)&P4(Timpani),P4(Flute 1)&P2(Flute 2)&P4(Oboe 1)&P2(Oboe 2)&P6(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(C Horn 2)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P4(Flute 1)&P2(Flute 2)&P4(Oboe 1)&P2(Oboe 2)&P6(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(Timpani),P4(Flute 1)&P2(Flute 2)&P4(Oboe 1)&P2(Oboe 2)&P6(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2)&P8(Timpani),P4(Flute 1)&P2(Flute 2)&P4(Oboe 1)&P2(Oboe 2)&P6(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(Timpani),P4(Flute 1)&P2(Flute 2)&P4(Oboe 1)&P2(Oboe 2)&P6(C Clarinet 1)&P4(C Clarinet 2)&P4(Bassoon 1)&P4(Bassoon 2)&P8(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,U(Main)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P3(Main)&P3(Violin 2)&P8(Violoncello)&P8(Contrabass),P3(Main)&P3(Violin 2)&P8(Viola)&P8(Contrabass),P3(Main)&P3(Violin 2)&P8(Viola)&P8(Violoncello)
39.0,42.5,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1),P3(C Clarinet 2),P3(C Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),Main Part,P8(Main),P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),U(Violin 2)&P5(Viola)&P5(Violoncello)&P5(Contrabass),U(Violin 1)&P5(Viola)&P5(Violoncello)&P5(Contrabass),P5(Violin 1)&P5(Violin 2)&U(Violoncello)&P8(Contrabass),P5(Violin 1)&P5(Violin 2)&U(Viola)&P8(Contrabass),P5(Violin 1)&P5(Violin 2)&P8(Viola)&P8(Violoncello)
42.5,44.0,P8(Oboe 1),P8(Oboe 2)&P8(C Clarinet 1),P8(Flute 1),P8(Flute 2)&U(C Clarinet 1),P8(Flute 2)&U(Oboe 2),,P8(Bassoon 2),P8(Bassoon 1),Main Part,P8(Main),,,,U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(Violin 1)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
44.0,48.0,P8(Oboe 1),P8(Oboe 2)&P3(C Horn 1),P8(Flute 1),P8(Flute 2)&P3(C Horn 1),P3(C Horn 2),,P8(Bassoon 2),P8(Bassoon 1),P3(Flute 2)&P3(Oboe 2),P3(C Clarinet 1),,,,Main Part,U(Main)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(Main)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
48.0,72.0,P3(Flute 2),P3(Flute 1),,,P3(C Clarinet 2),P3(C Clarinet 1),,,P3(C Horn 2),P3(C Horn 1),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
