qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,r,r,r,r,C3,F2,r
0.5,0.2273,1,1.5,r,r,r,r,r,r,r,r,r,r,A4,r,C3,F2,r
1.0,0.4545,1,2.0,r,r,r,r,r,r,r,r,r,r,B-4,r,C3,F2,r
1.5,0.6818,1,2.5,r,r,r,r,r,r,r,r,r,r,D5,r,C3,F2,r
2.0,0.9091,2,1.0,r,r,r,r,r,r,r,r,r,r,C5,r,C3,F2,r
2.5,1.1364,2,1.5,r,r,r,r,r,r,r,r,r,r,B-4,r,C3,F2,r
2.75,1.25,2,1.75,r,r,r,r,r,r,r,r,r,r,A4,r,C3,F2,r
3.0,1.3636,2,2.0,r,r,r,r,r,r,r,r,r,r,G4,r,C3,F2,r
3.5,1.5909,2,2.5,r,r,r,r,r,r,r,r,r,r,C4,r,C3,F2,r
4.0,1.8182,3,1.0,r,r,r,r,r,r,r,r,r,r,F4,F4,C3,F2,r
4.5,2.0455,3,1.5,r,r,r,r,r,r,r,r,r,r,G4,E4,C3,F2,r
5.0,2.2727,3,2.0,r,r,r,r,r,r,r,r,r,r,A4,F4,C3,F2,r
5.5,2.5,3,2.5,r,r,r,r,r,r,r,r,r,r,B-4,G4,C3,F2,r
5.75,2.6136,3,2.75,r,r,r,r,r,r,r,r,r,r,A4,F4,C3,F2,r
6.0,2.7273,4,1.0,r,r,r,r,r,r,r,r,r,r,G4,E4,C3,C2,r
8.0,3.6364,5,1.0,r,r,r,r,r,r,r,r,r,r,r,r,F3,F2,r
8.5,3.8636,5,1.5,r,r,r,r,r,r,r,r,r,r,r,A3,F3,F2,r
9.0,4.0909,5,2.0,r,r,r,r,r,r,r,r,r,r,r,B-3,D3,F2,r
9.5,4.3182,5,2.5,r,r,r,r,r,r,r,r,r,r,r,D4,D3,F2,r
10.0,4.5455,6,1.0,r,r,r,r,r,r,r,r,r,r,r,C4,E3,F2,r
10.5,4.7727,6,1.5,r,r,r,r,r,r,r,r,r,r,G4,C4,E3,F2,r
10.75,4.8864,6,1.75,r,r,r,r,r,r,r,r,r,r,A4,C4,E3,F2,r
11.0,5.0,6,2.0,r,r,r,r,r,r,r,r,r,r,B-4,C4,E3,F2,r
11.5,5.2273,6,2.5,r,r,r,r,r,r,r,r,r,r,G4,C4,C3,F2,r
12.0,5.4545,7,1.0,r,r,r,r,r,r,r,r,r,r,A4,C4,F3,F2,r
12.5,5.6818,7,1.5,r,r,r,r,r,r,r,r,r,r,r,A3,F3,F2,r
13.0,5.9091,7,2.0,r,r,r,r,r,r,r,r,r,r,r,B-3,D3,F2,r
13.5,6.1364,7,2.5,r,r,r,r,r,r,r,r,r,r,B-4,D4,D3,F2,r
14.0,6.3636,8,1.0,r,r,r,r,r,r,r,r,r,r,G4,C4,E3,F2,r
14.5,6.5909,8,1.5,r,r,r,r,r,r,r,r,r,r,G4,C4,E3,F2,r
14.75,6.7045,8,1.75,r,r,r,r,r,r,r,r,r,r,A4,C4,E3,F2,r
15.0,6.8182,8,2.0,r,r,r,r,r,r,r,r,r,r,B-4,C4,E3,F2,r
15.5,7.0455,8,2.5,r,r,r,r,r,r,r,r,r,r,G4,C4,C3,F2,r
16.0,7.2727,9,1.0,r,r,r,r,r,r,r,r,r,r,A4,C4,F3,F3,r
17.0,7.7273,9,2.0,r,r,r,r,r,r,r,r,r,r,C5,F4,C4,A3,r
18.0,8.1818,10,1.0,r,r,r,r,r,r,r,r,r,r,B-4,E4,C4,G3,r
19.5,8.8636,10,2.5,r,r,r,r,r,r,r,r,r,r,A4,F4,F4,F3,r
20.0,9.0909,11,1.0,r,r,r,r,r,r,r,r,r,r,D5,B-4,F4,B-2,r
21.0,9.5455,11,2.0,r,r,r,r,r,r,r,r,r,r,C5,A4,C4,F3,r
22.0,10.0,12,1.0,r,r,r,r,r,r,r,r,r,r,G4,E4,C4,C3,r
22.5,10.2273,12,1.5,r,r,r,r,r,r,r,r,r,r,G4,E4,C4,C3,r
22.75,10.3409,12,1.75,r,r,r,r,r,r,r,r,r,r,A4,E4,C4,C3,r
23.0,10.4545,12,2.0,r,r,r,r,r,r,r,r,r,r,B-4,E4,C4,C3,r
23.5,10.6818,12,2.5,r,r,r,r,r,r,r,r,r,r,G4,E4,C4,C3,r
24.0,10.9091,13,1.0,r,r,r,r,r,r,r,r,C4,C3,A4,F4,C4,F2,F1
25.0,11.3636,13,2.0,r,r,r,r,r,r,r,r,C4,C3,C5,F4,A3,A2,A1
26.0,11.8182,14,1.0,r,r,r,r,r,r,r,r,C4,C3,B-4,E4,B-3,G2,G1
27.5,12.5,14,2.5,r,r,r,r,r,r,r,r,F4,F3,A4,F4,C4,F2,F1
28.0,12.7273,15,1.0,r,r,r,r,r,r,r,r,F4,F3,D5,B-4,D4,B-2,B-1
28.5,12.9545,15,1.5,r,r,r,r,r,r,r,r,F4,F3,D5,B-4,E4,B-2,B-1
29.0,13.1818,15,2.0,r,r,r,r,r,r,r,r,F4,F3,C5,A4,F4,F2,F1
29.5,13.4091,15,2.5,r,r,r,r,r,r,r,r,F4,F3,C5,A4,C3,F2,F1
30.0,13.6364,16,1.0,r,r,r,r,r,r,r,r,C4,C3,G4,E4,G3,C3,C2
30.5,13.8636,16,1.5,r,r,r,r,r,r,r,r,C4,C3,G4,E4,G3,C3,C2
30.75,13.9773,16,1.75,r,r,r,r,r,r,r,r,C4,C3,A4,E4,G3,C3,C2
31.0,14.0909,16,2.0,r,r,r,r,r,r,r,r,r,r,B-4,E4,G3,C3,C2
31.5,14.3182,16,2.5,r,r,r,r,r,r,r,r,r,r,B4,F4,D4,C3,C2
32.0,14.5455,17,1.0,r,r,r,r,r,r,r,r,C4,C3,C5,E4,G3,C3,C2
32.5,14.7727,17,1.5,r,r,r,r,r,r,r,r,C4,C3,G4,E4,G3,C3,C2
32.75,14.8864,17,1.75,r,r,r,r,r,r,r,r,C4,C3,A4,E4,G3,C3,C2
33.0,15.0,17,2.0,r,r,r,r,r,r,r,r,r,r,B-4,E4,G3,C3,C2
33.5,15.2273,17,2.5,r,r,r,r,r,r,r,r,r,r,B4,F4,D4,C3,C2
34.0,15.4545,18,1.0,r,r,r,r,r,r,r,r,C4,C3,C5,E4,G3,C3,C2
34.5,15.6818,18,1.5,r,r,r,r,r,r,r,r,C4,C3,G4,E4,G3,C3,C2
34.75,15.7955,18,1.75,r,r,r,r,r,r,r,r,C4,C3,A4,E4,G3,C3,C2
35.0,15.9091,18,2.0,r,r,r,r,r,r,r,r,r,r,B-4,E4,G3,C3,C2
35.5,16.1364,18,2.5,r,r,r,r,r,r,r,r,r,r,B4,F4,D4,C3,C2
36.0,16.3636,19,1.0,r,r,r,r,r,r,r,r,C4,C3,C5,E4,G3,C3,C2
36.5,16.5909,19,1.5,r,r,r,r,r,r,r,r,C4,C3,G4,E4,G3,C3,C2
36.75,16.7045,19,1.75,r,r,r,r,r,r,r,r,C4,C3,A4,E4,G3,C3,C2
37.0,16.8182,19,2.0,r,r,r,r,r,r,r,r,r,r,B-4,E4,G3,C3,C2
37.5,17.0455,19,2.5,r,r,r,r,r,r,r,r,r,r,B4,F4,D4,C3,C2
38.0,17.2727,20,1.0,r,r,r,r,r,r,C4,C4,C4,C3,C5,E4,G3,C3,C2
38.5,17.5,20,1.5,r,r,r,r,r,r,G3,G3,C4,C3,G4,E4,G3,C3,C2
38.75,17.6136,20,1.75,r,r,r,r,r,r,A3,A3,C4,C3,A4,E4,G3,C3,C2
39.0,17.7273,20,2.0,r,r,r,r,r,r,B-3,B-3,r,r,B-4,E4,G3,C3,C2
39.5,17.9545,20,2.5,r,r,r,r,r,r,B3,B3,r,r,B4,F4,D4,C3,C2
