score_qstamp,qstamp,measure,beat,734768_tstamp,734777_tstamp,734915_tstamp,735484_tstamp
0.0,0.0,1,1.0,2.2,4.56,1.3,0.64
0.5,0.5,1,1.5,2.5073,4.7873,1.6473,0.8673
1.0,1.0,1,2.0,2.7345,5.0145,1.9035,1.129
1.5,1.5,1,2.5,3.0218,5.3454,2.1818,1.3818
2.0,2.0,2,1.0,3.2491,5.6091,2.4291,1.6291
2.5,2.5,2,1.5,3.5964,5.902,2.8328,2.0728
2.75,2.75,2,1.75,3.71,6.07,2.95,2.19
3.0,3.0,2,2.0,3.8272,6.2636,3.0636,2.3436
3.5,3.5,2,2.5,4.1109,6.5109,3.2909,2.5909
4.0,4.0,3,1.0,4.4182,6.8164,3.5182,2.9982
4.5,4.5,3,1.5,4.8055,8.0855,4.1655,3.431
5.0,5.0,3,2.0,5.0327,8.3127,4.3927,3.7362
5.5,5.5,3,2.5,5.46,8.54,4.84,4.32
5.75,5.75,3,2.75,5.6072,8.6536,4.9936,4.4936
6.0,6.0,4,1.0,5.8057,8.7673,5.3746,5.0838
8.0,8.0,5,1.0,8.31,10.0692,8.2288,7.6656
8.5,8.5,5,1.5,8.9836,10.3036,8.8836,7.9636
9.0,9.0,5,2.0,9.2218,10.5309,9.1109,8.2745
9.5,9.5,5,2.5,9.4582,13.4606,9.3382,8.5382
10.0,10.0,6,1.0,9.6855,14.0255,9.5655,8.871
10.5,10.5,6,1.5,10.0927,14.2527,10.0927,9.1527
10.75,10.75,6,1.75,10.2064,14.3664,10.2064,9.2864
11.0,11.0,6,2.0,10.32,14.54,10.32,9.46
11.5,11.5,6,2.5,10.6473,14.7673,10.6146,9.7673
12.0,12.0,7,1.0,10.929,15.0945,10.9945,10.049
12.5,12.5,7,1.5,11.4018,15.3218,11.2218,10.4818
13.0,13.0,7,2.0,11.6291,15.8491,11.5291,10.7091
13.5,13.5,7,2.5,11.8564,16.1164,11.7764,10.9564
14.0,14.0,8,1.0,12.1036,16.3508,12.1072,11.2108
14.5,14.5,8,1.5,12.3509,16.6109,12.3709,11.4909
14.75,14.75,8,1.75,12.4645,16.7245,12.5245,11.6045
15.0,15.0,8,2.0,12.651,16.9182,12.6582,11.7564
15.5,15.5,8,2.5,13.0455,17.1455,12.935,12.111
16.0,16.0,9,1.0,13.2727,17.4327,13.2927,12.4127
17.0,17.0,9,2.0,13.7473,18.013,13.9073,12.9273
18.0,18.0,10,1.0,14.389,18.7618,14.4836,13.6218
19.5,19.5,10,2.5,15.2652,19.5344,15.3524,14.4744
20.0,20.0,11,1.0,15.6218,19.9254,15.7527,14.8327
21.0,21.0,11,2.0,16.2675,20.4455,16.2365,15.382
22.0,22.0,12,1.0,16.92,21.08,16.92,16.04
22.5,22.5,12,1.5,17.1473,21.4073,17.1673,16.2673
22.75,22.75,12,1.75,17.2609,21.5409,17.2809,16.3809
23.0,23.0,12,2.0,17.3745,21.6545,17.4145,16.5145
23.5,23.5,12,2.5,17.7418,21.9218,17.6926,16.8436
24.0,24.0,13,1.0,17.9964,22.1891,18.0491,17.1691
25.0,25.0,13,2.0,18.6252,22.678,18.5672,17.7036
26.0,26.0,14,1.0,19.1782,23.5182,19.0982,18.1982
27.5,27.5,14,2.5,20.06,24.24,20.16,19.16
28.0,28.0,15,1.0,20.4673,24.7073,20.6184,19.5473
28.5,28.5,15,1.5,20.8345,24.9345,20.9345,19.8545
29.0,29.0,15,2.0,21.0836,25.2054,21.1618,20.089
29.5,29.5,15,2.5,21.3491,25.5091,21.3891,20.4091
30.0,30.0,16,1.0,21.7164,25.7764,21.5964,20.6364
30.5,30.5,16,1.5,21.9436,26.1236,21.8236,20.9436
30.75,30.75,16,1.75,22.0573,26.2373,21.9373,21.0573
31.0,31.0,16,2.0,22.1709,26.3836,22.0509,21.1818
31.5,31.5,16,2.5,22.3982,26.6382,22.2982,21.4182
32.0,32.0,17,1.0,22.6255,26.9055,22.5255,21.6455
32.5,32.5,17,1.5,23.0324,27.1327,22.8527,22.0054
32.75,32.75,17,1.75,23.2264,27.3064,22.9664,22.1464
33.0,33.0,17,2.0,23.34,27.42,23.14,22.28
33.5,33.5,17,2.5,23.5673,27.6873,23.3673,22.5073
34.0,34.0,18,1.0,23.7945,28.0595,23.5945,22.7345
34.5,34.5,18,1.5,24.3218,28.3818,23.9218,23.0018
34.75,34.75,18,1.75,24.4355,28.4955,24.0355,23.1155
35.0,35.0,18,2.0,24.5891,28.6091,24.1582,23.3491
35.5,35.5,18,2.5,24.8164,28.8364,24.3964,23.6164
36.0,36.0,19,1.0,25.0436,29.1036,24.6652,23.8944
36.5,36.5,19,1.5,25.3509,29.3309,24.9909,24.1709
36.75,36.75,19,1.75,25.4645,29.4645,25.1045,24.2845
37.0,37.0,19,2.0,25.5782,29.5782,25.2182,24.3982
37.5,37.5,19,2.5,25.811,29.8855,25.4655,24.6255
38.0,38.0,20,1.0,26.0654,30.1127,25.7127,24.8927
38.5,38.5,20,1.5,26.42,30.4,25.98,25.18
38.75,38.75,20,1.75,26.5536,30.5136,26.0936,25.2936
39.0,39.0,20,2.0,26.6673,30.6746,26.2273,25.4273
39.5,39.5,20,2.5,26.9145,30.9545,26.4545,25.6945
40.0,40.0,21,1.0,27.2254,31.2072,26.7236,25.9636
40.5,40.5,21,1.5,27.5691,31.5691,27.0691,26.2491
40.75,40.75,21,1.75,27.6827,31.6827,27.1827,26.3627
41.0,41.0,21,2.0,27.7964,31.7964,27.2964,26.4764
41.5,41.5,21,2.5,28.1072,32.0272,27.5236,26.7636
42.0,42.0,22,1.0,28.4727,32.2909,27.7509,26.9909
42.5,42.5,22,1.5,28.8182,32.5764,28.0782,27.2982
42.75,42.75,22,1.75,28.9318,32.6918,28.1918,27.4118
43.0,43.0,22,2.0,29.0455,32.8055,28.3055,27.5255
43.5,43.5,22,2.5,29.2727,33.1597,28.5327,27.8127
44.0,44.0,23,1.0,29.5,33.46,28.76,28.08
44.5,44.5,23,1.5,29.9473,33.6873,29.0473,28.3273
44.75,44.75,23,1.75,30.0609,33.8009,29.1609,28.4409
45.0,45.0,23,2.0,30.1745,33.9145,29.2745,28.5545
45.5,45.5,23,2.5,30.4018,34.1618,29.5618,28.8618
46.0,46.0,24,1.0,30.6291,34.5291,29.8182,29.1291
46.5,46.5,24,1.5,30.8564,34.7564,30.0964,29.3564
46.75,46.75,24,1.75,30.97,34.87,30.21,29.47
47.0,47.0,24,2.0,31.0836,35.0036,30.3236,29.6236
47.5,47.5,24,2.5,31.3109,35.2618,30.5509,29.8909
48.0,48.0,25,1.0,31.611,35.571,30.7782,30.1182
48.5,48.5,25,1.5,31.9255,35.8255,31.0655,30.4455
48.75,48.75,25,1.75,32.0391,35.9391,31.2191,30.5591
49.0,49.0,25,2.0,32.1527,36.0781,31.3454,30.6727
49.5,49.5,25,2.5,32.44,36.32,31.58,30.92
50.0,50.0,26,1.0,32.6873,36.5473,31.8146,31.1619
50.5,50.5,26,1.5,33.0145,36.8325,32.089,31.429
50.75,50.75,26,1.75,33.1482,36.9964,32.2082,31.5764
51.0,51.0,26,2.0,33.2618,37.1218,32.3218,31.7018
51.5,51.5,26,2.5,33.5491,37.3582,32.5491,31.9291
52.0,52.0,27,1.0,33.8164,37.6764,32.8364,32.2364
52.5,52.5,27,1.5,34.1272,37.9236,33.0872,32.4672
52.75,52.75,27,1.75,34.2573,38.0373,33.2173,32.6173
53.0,53.0,27,2.0,34.4709,38.1509,33.3309,32.7309
53.5,53.5,27,2.5,34.6982,38.4328,33.5782,33.0382
54.0,54.0,28,1.0,34.9655,38.6855,33.8055,33.2855
