qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.5,8.5,,,,,,,,,,,Main Part,,,,
8.5,10.5,,,,,,,,,,,Main Part,,,,
10.5,12.5,,,,,,,,,,,,Main Part,,,
12.5,14.5,,,,,,,,,,,,Main Part,,,
14.5,22.0,,,,,,,,,,,Main Part,,,,
22.0,30.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),Main Part,,,,
30.0,32.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),,Main Part,P3(Main),P8(Contrabass),P8(Violoncello)
32.0,34.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),,Main Part,P3(Main),P8(Contrabass),P8(Violoncello)
34.0,36.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),Main Part,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
36.0,38.0,,,,,,,U(Bassoon 2),U(Bassoon 1),P8(F Horn 2),P8(F Horn 1),Main Part,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
38.0,40.0,,,,,,,U(Bassoon 2)&P8(Main),U(Bassoon 1)&P8(Main),P8(F Horn 2),P8(F Horn 1),Main Part,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
40.0,42.0,,,,,,,U(Bassoon 2),U(Bassoon 1),P8(F Horn 2),P8(F Horn 1),Main Part,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
42.0,44.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),Main Part,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
44.0,46.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),Main Part,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
46.0,48.0,,,,,,,,,P8(F Horn 2),P8(F Horn 1),Main Part,P3(Viola),P3(Violin 2),P8(Contrabass),P8(Violoncello)
48.0,50.0,,,,,,,,,P8(F Horn 2)&P3(Violin 2)&P5(Viola)&P8(Violoncello)&P8(Contrabass),P8(F Horn 1)&P3(Violin 2)&P5(Viola)&U(Violoncello)&P8(Contrabass),Main Part,P3(F Horn 1)&P3(F Horn 2)&P3(Viola)&P3(Violoncello)&P3(Contrabass),P5(F Horn 1)&P5(F Horn 2)&P3(Violin 2)&P5(Violoncello)&P5(Contrabass),P8(F Horn 1)&U(F Horn 2)&P3(Violin 2)&P5(Viola)&P8(Contrabass),P8(F Horn 1)&P8(F Horn 2)&P3(Violin 2)&P5(Viola)&P8(Violoncello)
50.0,52.5,,,,,,,,,,,Main Part,,,,
52.5,54.5,,,,,,,,,,,Main Part,,,,
54.5,64.5,,,,,P3(Bb Clarinet 2)&P8(Bassoon 1)&P3(Bassoon 2)&P3(Main),P3(Bb Clarinet 1)&P3(Bassoon 1)&P8(Bassoon 2)&U(Main),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(Main),P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Main),P4(F Horn 2),P4(F Horn 1),Main Part,,,,
64.5,72.5,P3(Flute 2)&P3(Contrabass),P3(Flute 1)&P8(Contrabass),,,,,,,,,Main Part,,,,P3(Flute 1)&P8(Flute 2)
72.5,80.0,U(Oboe 1)&P8(Bb Clarinet 1)&U(Main),U(Oboe 2),U(Flute 1)&P8(Bb Clarinet 1)&U(Main),U(Flute 2),P8(Flute 1)&P8(Oboe 1)&P8(Main),P8(Violin 2),P4(Bassoon 2)&P8(Viola)&P4(Contrabass),P4(Bassoon 1)&P4(Viola)&P8(Contrabass),,,Main Part,P8(Bb Clarinet 2),P8(Bassoon 1)&P4(Bassoon 2)&P4(Contrabass),,P4(Bassoon 1)&P8(Bassoon 2)&P4(Viola)
80.0,88.0,,,P8(Bb Clarinet 1)&U(Main),P8(Bb Clarinet 2)&U(Violin 2),P8(Oboe 1)&P8(Main),P8(Oboe 2)&P8(Violin 2),,,,,Main Part,U(Oboe 2)&P8(Bb Clarinet 2),,,
88.0,96.0,,,,,,,U(Bassoon 2),U(Bassoon 1),,,Main Part,,,,
96.0,100.0,U(Flute 2),U(Flute 1),P8(F Horn 1),,,,U(Bassoon 2),U(Bassoon 1),P8(Oboe 1),,Main Part,,P4(Contrabass),,P4(Viola)
100.0,102.0,U(Flute 2),U(Flute 1),P3(Oboe 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Violin 2),P3(Oboe 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Violin 2),P8(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P3(Violin 2),P3(Oboe 1)&P8(Oboe 2)&P3(Bb Clarinet 1)&P8(Violin 2),,,,,Main Part,P3(Oboe 1)&U(Oboe 2)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2),P4(Contrabass),,P4(Viola)
102.0,106.5,,,P3(Oboe 2)&P3(Violin 2),P3(Oboe 1)&U(Violin 2),P3(Bb Clarinet 2),P3(Bb Clarinet 1),,,,,Main Part,P3(Oboe 1)&U(Oboe 2),,,
106.5,114.5,,,,,P3(Bb Clarinet 2)&P8(Bassoon 1)&P5(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2),P3(Bb Clarinet 1)&P3(Bassoon 1)&P3(Bassoon 2)&U(F Horn 1)&P3(F Horn 2),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 2)&P3(F Horn 1)&U(F Horn 2),P5(Bb Clarinet 1)&P3(Bb Clarinet 2)&P5(Bassoon 1)&P3(F Horn 1)&P5(F Horn 2),P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(F Horn 2),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&P5(Bassoon 2)&P3(F Horn 1),Main Part,P5(Viola)&P5(Violoncello)&P5(Contrabass),P5(Violin 2)&P8(Violoncello)&P8(Contrabass),P5(Violin 2)&P8(Viola)&P8(Contrabass),P5(Violin 2)&P8(Viola)&P8(Violoncello)
114.5,122.5,,,,,P3(Bb Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P3(F Horn 1)&P8(F Horn 2),P3(Bb Clarinet 1)&P3(Bassoon 1)&P4(Bassoon 2)&U(F Horn 1)&P3(F Horn 2),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P6(Bassoon 2)&P3(F Horn 1)&U(F Horn 2),P6(Bb Clarinet 1)&P4(Bb Clarinet 2)&P6(Bassoon 1)&P4(F Horn 1)&P6(F Horn 2),P3(Bb Clarinet 1)&U(Bb Clarinet 2)&P3(Bassoon 1)&P4(Bassoon 2)&P3(F Horn 2),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&U(Bassoon 1)&P6(Bassoon 2)&P3(F Horn 1),Main Part,P6(Viola)&P6(Violoncello)&P6(Contrabass),P6(Violin 2)&P8(Violoncello)&P8(Contrabass),P6(Violin 2)&P8(Viola)&P8(Contrabass),P6(Violin 2)&P8(Viola)&P8(Violoncello)
