qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,F Trumpet 3,Alto Trombone,Tenor Trombone,Bass Trombone,Bass Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,Main Part,P8(Main)
8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,Main Part,P8(Contrabass),P8(Violoncello)
12.0,50.0,,,,,,,,,,,,,,,,,,,,,,Main Part,,P8(Contrabass),P8(Violoncello)
50.0,56.0,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),U(Flute 1)&U(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&U(Bass Trombone)&U(Bass Tuba),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&U(Bass Trombone)&U(Bass Tuba),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2)&U(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&U(Alto Trombone)&U(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&U(F Horn 3)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&U(Alto Trombone)&U(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 2)&U(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 1)&U(F Trumpet 2)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&U(F Horn 3)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&U(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&U(F Horn 3)&U(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&U(Alto Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&U(Bass Tuba),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P8(F Trumpet 2)&P8(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&U(Bass Trombone),,P8(Viola),Main Part,P8(Violin 1),P8(Contrabass),P8(Violoncello)
56.0,68.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Main)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Main)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Main)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),U(F Horn 1)&P8(F Horn 3)&P8(F Horn 4)&U(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(F Horn 1)&P8(F Horn 2)&U(F Horn 4)&P8(F Trumpet 3)&P8(Alto Trombone)&U(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(F Horn 1)&P8(F Horn 2)&U(F Horn 3)&P8(F Trumpet 3)&P8(Alto Trombone)&U(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(F Trumpet 2),P8(F Trumpet 1),U(F Horn 1)&U(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 3)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(F Horn 1)&P8(F Horn 2)&U(F Horn 3)&U(F Horn 4)&P8(F Trumpet 3)&P8(Alto Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&U(Bass Tuba),P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&U(Bass Trombone),,Main Part,U(Flute 1)&U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
68.0,92.0,U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Flute 1)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Flute 1)&U(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&U(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&U(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),,,,U(Bass Trombone)&P8(Bass Tuba),Main Part,P8(Main),,,,U(F Horn 4)&P8(Bass Tuba),P8(F Horn 4)&P8(Bass Trombone),,U(Flute 1)&U(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&U(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
92.0,104.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(F Horn 1)&U(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 3)&U(Alto Trombone)&U(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(F Horn 1)&U(F Horn 2)&P8(F Horn 4)&P8(F Trumpet 3)&U(Alto Trombone)&U(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 3)&P8(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&U(Bass Trombone)&P8(Bass Tuba),P8(F Trumpet 2),P8(F Trumpet 1),P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(F Horn 1)&U(F Horn 2)&U(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 3)&U(Tenor Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(F Horn 1)&U(F Horn 2)&U(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 3)&U(Alto Trombone)&P8(Bass Trombone)&P8(Bass Tuba),P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 3)&U(F Horn 4)&P8(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Tuba),P8(F Horn 1)&P8(F Horn 2)&P8(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 3)&P8(Alto Trombone)&P8(Tenor Trombone)&P8(Bass Trombone),,Main Part,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
104.0,130.0,,,,,,,,,,,,,Main Part,P8(Main),,,,P8(Bass Tuba),P8(Bass Trombone),P4(Violin 2)&P8(Viola)&P8(Contrabass),,P4(Timpani)&P4(Viola)&P4(Contrabass),P8(Timpani)&P4(Violin 2)&P8(Contrabass),,P8(Timpani)&P4(Violin 2)&P8(Viola)
130.0,138.0,,,,,,,,,,,,,,,,,,,,P8(Contrabass),Main Part,,,,P8(Timpani)
138.0,144.0,,,U(Oboe 2)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2),U(Oboe 1)&P3(Bb Clarinet 1)&P3(Bb Clarinet 2),P3(Oboe 1)&P3(Oboe 2)&U(Bb Clarinet 2),P3(Oboe 1)&P3(Oboe 2)&U(Bb Clarinet 1),,,,,,,,,,,,,,P8(Contrabass),Main Part,,,,P8(Timpani)
