score_qstamp,qstamp,measure,beat,831991_tstamp,718691_tstamp
0.0,0.0,1,1.0,0.48,0.7
0.5,0.5,1,1.5,0.7925,1.0125
1.0,1.0,1,2.0,1.105,1.365
1.5,1.5,1,2.5,1.4175,1.8375
2.0,2.0,2,1.0,1.85,2.15
2.5,2.5,2,1.5,2.1625,2.4625
3.0,3.0,2,2.0,2.515,2.81
3.5,3.5,2,2.5,2.8275,3.1675
4.0,4.0,3,1.0,3.16,3.48
4.5,4.5,3,1.5,3.4725,3.9125
5.0,5.0,3,2.0,3.865,4.225
5.5,5.5,3,2.5,4.1975,4.5375
6.0,6.0,4,1.0,4.53,4.92
6.5,6.5,4,1.5,4.9025,5.3025
7.0,7.0,4,2.0,5.235,5.635
7.5,7.5,4,2.5,5.5475,5.9675
8.0,8.0,5,1.0,5.86,6.28
8.5,8.5,5,1.5,6.3325,6.6325
9.0,9.0,5,2.0,6.645,6.985
9.5,9.5,5,2.5,6.9575,7.3575
10.0,10.0,6,1.0,7.33,7.73
10.5,10.5,6,1.5,7.6625,8.0425
11.0,11.0,6,2.0,7.995,8.355
11.5,11.5,6,2.5,8.3075,8.675
12.0,12.0,7,1.0,8.72,9.02
12.5,12.5,7,1.5,9.0325,9.3725
13.0,13.0,7,2.0,9.345,9.685
13.5,13.5,7,2.5,9.6775,9.9975
14.0,14.0,8,1.0,10.07,10.31
14.5,14.5,8,1.5,10.3825,10.645
15.0,15.0,8,2.0,10.695,11.015
15.5,15.5,8,2.5,11.0675,11.3275
16.0,16.0,9,1.0,11.38,11.64
16.5,16.5,9,1.5,11.7325,11.9525
17.0,17.0,9,2.0,12.145,12.33
17.5,17.5,9,2.5,12.4575,12.6575
18.0,18.0,10,1.0,12.77,13.01
18.5,18.5,10,1.5,13.1825,13.3425
19.0,19.0,10,2.0,13.495,13.675
19.5,19.5,10,2.5,13.8075,13.9875
20.0,20.0,11,1.0,14.12,14.3
20.25,20.25,11,1.25,14.3162,14.4562
20.5,20.5,11,1.5,14.4725,14.6125
20.75,20.75,11,1.75,14.6688,14.8776
21.0,21.0,11,2.0,14.85,15.045
21.25,21.25,11,2.25,15.0212,15.2012
21.5,21.5,11,2.5,15.1775,15.3575
21.75,21.75,11,2.75,15.3338,15.5138
22.0,22.0,12,1.0,15.49,15.67
22.25,22.25,12,1.25,15.7262,15.8262
22.5,22.5,12,1.5,15.8825,15.9825
22.75,22.75,12,1.75,16.0388,16.1388
23.0,23.0,12,2.0,16.235,16.315
23.25,23.25,12,2.25,16.3912,16.4712
23.5,23.5,12,2.5,16.5475,16.6238
23.75,23.75,12,2.75,16.7038,16.7638
24.0,24.0,13,1.0,16.86,16.92
24.25,24.25,13,1.25,17.0962,17.0962
24.5,24.5,13,1.5,17.2525,17.2525
24.75,24.75,13,1.75,17.4088,17.4088
25.0,25.0,13,2.0,17.575,17.565
25.25,25.25,13,2.25,17.7612,17.7412
25.5,25.5,13,2.5,17.9175,17.8975
25.75,25.75,13,2.75,18.0738,18.0538
26.0,26.0,14,1.0,18.23,18.21
26.25,26.25,14,1.25,18.5324,18.3662
26.5,26.5,14,1.5,18.7225,18.5225
26.75,26.75,14,1.75,18.8788,18.6788
27.0,27.0,14,2.0,19.035,18.835
27.25,27.25,14,2.25,19.1912,18.9912
27.5,27.5,14,2.5,19.3675,19.1675
27.75,27.75,14,2.75,19.5238,19.3238
28.0,28.0,15,1.0,19.68,19.48
28.25,28.25,15,1.25,19.9362,19.6562
28.5,28.5,15,1.5,20.0925,19.8325
28.75,28.75,15,1.75,20.2488,19.9888
29.0,29.0,15,2.0,20.405,20.145
29.25,29.25,15,2.25,20.5612,20.3012
29.5,29.5,15,2.5,20.7175,20.4575
29.75,29.75,15,2.75,20.8738,20.6138
30.0,30.0,16,1.0,21.09,20.77
30.25,30.25,16,1.25,21.3462,21.0062
30.5,30.5,16,1.5,21.5025,21.1625
30.75,30.75,16,1.75,21.6588,21.3188
31.0,31.0,16,2.0,21.815,21.475
31.25,31.25,16,2.25,21.9712,21.6312
31.5,31.5,16,2.5,22.1275,21.7875
31.75,31.75,16,2.75,22.2838,21.9438
32.0,32.0,17,1.0,22.44,22.1
32.25,32.25,17,1.25,22.7162,22.2762
32.5,32.5,17,1.5,22.8725,22.4325
32.75,32.75,17,1.75,23.0288,22.5888
33.0,33.0,17,2.0,23.185,22.745
33.25,33.25,17,2.25,23.3412,22.9012
33.5,33.5,17,2.5,23.4975,23.0575
33.75,33.75,17,2.75,23.6538,23.2138
34.0,34.0,18,1.0,23.87,23.37
34.25,34.25,18,1.25,24.1062,23.5262
34.5,34.5,18,1.5,24.2625,23.6825
34.75,34.75,18,1.75,24.4188,23.8388
35.0,35.0,18,2.0,24.595,24.015
35.25,35.25,18,2.25,24.8312,24.2512
35.5,35.5,18,2.5,24.9875,24.4075
35.75,35.75,18,2.75,25.1438,24.6038
36.0,36.0,19,1.0,25.3,24.78
36.3333,36.3333,19,1.3333,25.5483,24.9883
36.5,36.5,19,1.5,25.6525,25.1125
36.6667,36.6667,19,1.6667,25.8967,25.2367
37.0,37.0,19,2.0,26.105,25.465
37.3333,37.3333,19,2.3333,26.3133,25.6933
37.5,37.5,19,2.5,26.4175,25.8175
37.6667,37.6667,19,2.6667,26.5217,25.9217
38.0,38.0,20,1.0,26.77,26.25
38.3333,38.3333,20,1.3333,26.9983,26.5183
38.5,38.5,20,1.5,27.1025,26.6225
38.6667,38.6667,20,1.6667,27.2067,26.7467
39.0,39.0,20,2.0,27.535,26.955
39.3333,39.3333,20,2.3333,27.7433,27.1633
39.5,39.5,20,2.5,27.8475,27.2675
39.6667,39.6667,20,2.6667,27.9717,27.3717
40.0,40.0,21,1.0,28.18,27.62
40.3333,40.3333,21,1.3333,28.4483,27.8283
40.5,40.5,21,1.5,28.5525,27.9325
40.6667,40.6667,21,1.6667,28.6767,28.0367
41.0,41.0,21,2.0,28.885,28.285
41.3333,41.3333,21,2.3333,29.0933,28.4933
41.5,41.5,21,2.5,29.1975,28.5975
41.6667,41.6667,21,2.6667,29.3017,28.7217
42.0,42.0,22,1.0,29.53,28.97
42.3333,42.3333,22,1.3333,29.8183,29.2783
42.5,42.5,22,1.5,29.9225,29.3825
42.6667,42.6667,22,1.6667,30.0467,29.4867
43.0,43.0,22,2.0,30.255,29.695
43.5,43.5,22,2.5,30.695,30.0075
44.0,44.0,23,1.0,31.02,30.32
44.5,44.5,23,1.5,31.3325,30.6325
45.0,45.0,23,2.0,31.645,30.985
45.5,45.5,23,2.5,31.9775,31.2975
46.0,46.0,24,1.0,32.37,31.65
46.5,46.5,24,1.5,32.6825,31.9625
47.0,47.0,24,2.0,32.995,32.275
47.5,47.5,24,2.5,33.315,32.6075
48.0,48.0,25,1.0,33.66,32.98
48.5,48.5,25,1.5,34.0925,33.4525
49.0,49.0,25,2.0,34.405,33.77
49.5,49.5,25,2.5,34.7175,34.0975
50.0,50.0,26,1.0,35.07,34.41
50.5,50.5,26,1.5,35.4225,34.7225
51.0,51.0,26,2.0,35.795,35.035
51.5,51.5,26,2.5,36.1075,35.3475
52.0,52.0,27,1.0,36.48,35.66
52.5,52.5,27,1.5,36.7925,35.9925
53.0,53.0,27,2.0,37.195,36.365
53.5,53.5,27,2.5,37.5375,36.6775
54.0,54.0,28,1.0,37.85,37.01
54.5,54.5,28,1.5,38.1825,37.3825
55.0,55.0,28,2.0,38.515,37.695
55.5,55.5,28,2.5,38.8475,38.0075
56.0,56.0,29,1.0,39.16,38.32
56.5,56.5,29,1.5,39.5725,38.6325
57.0,57.0,29,2.0,39.905,38.965
