qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Eb Horn 1,Eb Horn 2,B Horn 3 [NB: B natural],B Horn 4 [NB: B natural],B Trumpet 1 [NB: B natural],B Trumpet 2 [NB: B natural],Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,E-5,G#4,r,G#3,C4,r,r,r,r,r,r,r,r,G#2,r
0.5,0.3125,1,1.5,r,r,r,r,E-5,G#4,r,G#3,C4,r,r,r,r,r,r,r,r,G2,r
1.0,0.625,1,2.0,r,r,r,r,C#5,G#4,r,G#3,C#4,r,r,r,r,r,r,r,r,F2,r
1.5,0.9375,1,2.5,r,r,r,r,C5,G#4,r,G#3,C#4,r,r,r,r,r,r,r,r,G#2,r
2.0,1.25,2,1.0,r,r,r,r,C#5,G#4,r,G#3,E-4,r,r,r,r,r,r,r,r,E-2,r
2.5,1.5625,2,1.5,r,r,r,r,C5,G#4,r,G#3,E-4,r,r,r,r,r,r,r,r,G#2,r
3.0,1.875,2,2.0,r,r,r,r,B-4,G#4,r,G#3,F4,r,r,r,r,r,r,r,r,C#2,r
3.5,2.1875,2,2.5,r,r,r,r,C5,G#4,r,G#3,F4,r,r,r,r,r,r,r,r,G#2,r
4.0,2.5,3,1.0,r,r,r,r,C#5,G#4,r,G#3,E-4,r,r,r,r,r,r,r,r,E-2,r
4.5,2.8125,3,1.5,r,r,r,r,C5,G#4,r,G#3,E-4,r,r,r,r,r,r,r,r,G#2,r
5.0,3.125,3,2.0,r,r,r,r,B-4,G#4,r,G#3,F4,r,r,r,r,r,r,r,r,C#2,r
5.5,3.4375,3,2.5,r,r,r,r,C5,G#4,r,G#3,F4,r,r,r,r,r,r,r,r,G#2,r
6.0,3.75,4,1.0,r,r,r,r,B-4,G#4,r,G#3,E-4,E-3,r,r,r,r,r,r,r,C2,r
6.5,4.0625,4,1.5,r,r,r,r,G#4,G#4,r,C4,E-4,E-3,r,r,r,r,r,r,r,G#2,r
7.0,4.375,4,2.0,r,r,r,r,B-4,G4,r,B-3,E-4,E-3,r,r,r,r,B-4,G4,B-3,E-2,r
