qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,Eb Horn 3,Eb Horn 4,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
1006.5,1012.0,P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 3),,P8(Flute 1)&P8(Oboe 2)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 3),P8(Flute 1)&P8(Oboe 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 3),,P8(Flute 1)&U(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Eb Horn 3),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(Eb Horn 3),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Eb Horn 3),P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&U(Contrabass),P8(C Horn 2),P8(C Horn 1),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(C Trumpet 1)&P8(C Trumpet 2),P8(Eb Horn 4)&P8(C Trumpet 2),P8(Eb Horn 4)&P8(C Trumpet 1),,Main Part,P8(Contrabassoon)&P8(Main)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Contrabass),U(Contrabassoon)&P8(Main)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1012.0,1018.5,P2(Flute 2)&P8(Oboe 1)&P2(Oboe 2)&P8(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(Main)&P4(Bassoon 2)&P8(Eb Horn 3)&P8(Eb Horn 4),P2(Flute 1)&P2(Oboe 1)&P8(Oboe 2)&P2(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Main)&P5(Bassoon 2)&P2(Eb Horn 3)&P2(Eb Horn 4),P8(Flute 1)&P2(Flute 2)&P2(Oboe 2)&U(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(Main)&P4(Bassoon 2)&P8(Eb Horn 3)&P8(Eb Horn 4),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P2(Bb Clarinet 1)&U(Bb Clarinet 2)&P5(Main)&P5(Bassoon 2)&P2(Eb Horn 3)&P2(Eb Horn 4),P8(Flute 1)&P2(Flute 2)&U(Oboe 1)&P2(Oboe 2)&P2(Bb Clarinet 2)&P4(Main)&P4(Bassoon 2)&P8(Eb Horn 3)&P8(Eb Horn 4),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&U(Oboe 2)&P2(Bb Clarinet 1)&P5(Main)&P5(Bassoon 2)&P2(Eb Horn 3)&P2(Eb Horn 4),Main Part,P4(Flute 1)&P5(Flute 2)&P4(Oboe 1)&P5(Oboe 2)&P4(Bb Clarinet 1)&P5(Bb Clarinet 2)&U(Main)&P4(Eb Horn 3)&P4(Eb Horn 4),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&U(Contrabass),,,P8(Flute 1)&P2(Flute 2)&P8(Oboe 1)&P2(Oboe 2)&P8(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(Main)&P4(Bassoon 2)&P8(Eb Horn 4),P8(Flute 1)&P2(Flute 2)&P8(Oboe 1)&P2(Oboe 2)&P8(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(Main)&P4(Bassoon 2)&P8(Eb Horn 3),,,,P8(Contrabassoon)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Contrabassoon)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),U(Contrabassoon)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1018.5,1022.5,P2(Flute 2)&P8(Oboe 1)&P2(Oboe 2)&P8(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(Bassoon 2)&P4(Contrabassoon)&P2(C Horn 1)&P4(C Horn 2)&P8(Eb Horn 3)&P8(Eb Horn 4)&P4(Contrabass),P2(Flute 1)&P2(Oboe 1)&P8(Oboe 2)&P2(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 2)&P5(Contrabassoon)&P8(C Horn 1)&P5(C Horn 2)&P2(Eb Horn 3)&P2(Eb Horn 4)&P5(Contrabass),P8(Flute 1)&P2(Flute 2)&P2(Oboe 2)&U(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(Bassoon 2)&P4(Contrabassoon)&P2(C Horn 1)&P4(C Horn 2)&P8(Eb Horn 3)&P8(Eb Horn 4)&P4(Contrabass),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P2(Bb Clarinet 1)&U(Bb Clarinet 2)&P5(Bassoon 2)&P5(Contrabassoon)&P8(C Horn 1)&P5(C Horn 2)&P2(Eb Horn 3)&P2(Eb Horn 4)&P5(Contrabass),P8(Flute 1)&P2(Flute 2)&U(Oboe 1)&P2(Oboe 2)&P2(Bb Clarinet 2)&P4(Bassoon 2)&P4(Contrabassoon)&P2(C Horn 1)&P4(C Horn 2)&P8(Eb Horn 3)&P8(Eb Horn 4)&P4(Contrabass),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&U(Oboe 2)&P2(Bb Clarinet 1)&P5(Bassoon 2)&P5(Contrabassoon)&P8(C Horn 1)&P5(C Horn 2)&P2(Eb Horn 3)&P2(Eb Horn 4)&P5(Contrabass),Main Part,P4(Flute 1)&P5(Flute 2)&P4(Oboe 1)&P5(Oboe 2)&P4(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Contrabassoon)&P5(C Horn 1)&P8(C Horn 2)&P4(Eb Horn 3)&P4(Eb Horn 4)&P8(Contrabass),P4(Flute 1)&P5(Flute 2)&P4(Oboe 1)&P5(Oboe 2)&P4(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 2)&P5(C Horn 1)&P8(C Horn 2)&P4(Eb Horn 3)&P4(Eb Horn 4)&U(Contrabass),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P2(Bb Clarinet 1)&P8(Bb Clarinet 2)&P5(Bassoon 2)&P5(Contrabassoon)&P5(C Horn 2)&P2(Eb Horn 3)&P2(Eb Horn 4)&P5(Contrabass),P4(Flute 1)&P5(Flute 2)&P4(Oboe 1)&P5(Oboe 2)&P4(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 2)&P8(Contrabassoon)&P5(C Horn 1)&P4(Eb Horn 3)&P4(Eb Horn 4)&P8(Contrabass),P8(Flute 1)&P2(Flute 2)&P8(Oboe 1)&P2(Oboe 2)&P8(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(Bassoon 2)&P4(Contrabassoon)&P2(C Horn 1)&P4(C Horn 2)&P8(Eb Horn 4)&P4(Contrabass),P8(Flute 1)&P2(Flute 2)&P8(Oboe 1)&P2(Oboe 2)&P8(Bb Clarinet 1)&P2(Bb Clarinet 2)&P4(Bassoon 2)&P4(Contrabassoon)&P2(C Horn 1)&P4(C Horn 2)&P8(Eb Horn 3)&P4(Contrabass),,,,P8(Violin 2),P8(Violin 1),P8(Violoncello),P8(Viola),P4(Flute 1)&P5(Flute 2)&P4(Oboe 1)&P5(Oboe 2)&P4(Bb Clarinet 1)&P5(Bb Clarinet 2)&P8(Bassoon 2)&U(Contrabassoon)&P5(C Horn 1)&P8(C Horn 2)&P4(Eb Horn 3)&P4(Eb Horn 4)
1022.5,1044.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),P8(Eb Horn 3),,,P8(Contrabassoon),P8(Bassoon 2),,,P8(Bb Clarinet 1),,,,,Main Part,P8(Main),,,
1044.0,1059.0,P6(Oboe 1)&P6(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2),,P6(Flute 1)&U(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2),P6(Flute 1)&U(Oboe 1)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P6(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 2),P6(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P6(Bb Clarinet 1),Main Part,,,,,,,,,,,,U(Main),P8(Contrabass),P8(Violoncello)
1059.0,1071.0,Main Part,,,P8(Bb Clarinet 2),,P8(Oboe 2),,,,,,P8(Eb Horn 4),P8(Eb Horn 3),,,,,,,P8(Contrabass),P8(Violoncello)
1071.0,1126.5,Main Part,,,,,,,,,P8(C Horn 2),P8(C Horn 1),U(Eb Horn 4),U(Eb Horn 3),P8(C Trumpet 2),P8(C Trumpet 1),,,,,,
1126.5,1132.5,,P5(Oboe 1)&P5(Oboe 2)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P8(Bassoon 2),P5(Flute 2)&U(Oboe 2)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2),P5(Flute 2)&U(Oboe 1)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2),,P8(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P3(Bassoon 1)&P8(Bassoon 2),P3(Flute 2)&P3(Oboe 1)&P3(Oboe 2)&P3(Bb Clarinet 2)&P3(Bassoon 2),P8(Flute 2)&P5(Oboe 1)&P5(Oboe 2)&P8(Bb Clarinet 2)&P3(Bassoon 1),,U(C Horn 2),U(C Horn 1),U(Eb Horn 4),U(Eb Horn 3),,,,,,Main Part,,
1132.5,1149.0,P8(Bb Clarinet 1),P8(Bb Clarinet 2),,,P8(Flute 1),P8(Flute 2),,,,,,,,,,,Main Part,,,,
1149.0,1173.0,,,P8(Bb Clarinet 2),U(Bb Clarinet 1),U(Oboe 2),P8(Oboe 1),,,,U(C Horn 2),U(C Horn 1),,,,,,Main Part,,,,
1173.0,1179.0,Main Part,U(Main),P8(Bb Clarinet 2),U(Bb Clarinet 1)&P8(Eb Horn 3)&P8(Eb Horn 4),U(Oboe 2)&P8(Eb Horn 3)&P8(Eb Horn 4),P8(Oboe 1),U(Bassoon 2)&P8(Contrabassoon)&P8(Violoncello),U(Bassoon 1)&P8(Contrabassoon)&P8(Violoncello),P8(Bassoon 1)&P8(Bassoon 2)&P8(Violoncello),,,P8(Oboe 2)&P8(Bb Clarinet 1)&U(Eb Horn 4),P8(Oboe 2)&P8(Bb Clarinet 1)&U(Eb Horn 3),,,,,,,P8(Bassoon 1)&P8(Bassoon 2)&P8(Contrabassoon),
1179.0,1197.0,,P8(Bb Clarinet 2),,,,P8(Flute 2),U(Bassoon 2)&P8(Contrabassoon),U(Bassoon 1)&P8(Contrabassoon),P8(Bassoon 1)&P8(Bassoon 2),P8(C Horn 2),P8(C Horn 1),P8(Eb Horn 4),P8(Eb Horn 3),P8(C Trumpet 2),P8(C Trumpet 1),,Main Part,,,,
1197.0,1234.5,,P8(Oboe 2),,P8(Flute 2),,,P8(Bassoon 2)&P8(Contrabassoon),P8(Bassoon 1)&P8(Contrabassoon),P8(Bassoon 1)&P8(Bassoon 2),,,P8(Eb Horn 4),P8(Eb Horn 3),P8(C Trumpet 2),P8(C Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
1234.5,1240.5,U(Flute 2)&U(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2),U(Flute 1)&U(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2),U(Flute 1)&U(Flute 2)&P6(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2),P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&U(Bb Clarinet 1)&P6(Bb Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2),P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(Bb Clarinet 2)&P8(Bassoon 1)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 1)&P6(Bassoon 1)&P8(Bassoon 2)&P3(C Horn 1)&P3(C Horn 2),P6(Flute 1)&P6(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2)&P6(Bassoon 2)&P4(C Horn 1)&P4(C Horn 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2)&P6(Bassoon 1)&P3(C Horn 1)&P3(C Horn 2),,P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 2),P3(Flute 1)&P3(Flute 2)&P3(Oboe 1)&P4(Oboe 2)&P4(Bb Clarinet 1)&P3(Bb Clarinet 2)&P4(Bassoon 1)&P3(Bassoon 2)&P8(C Horn 1),P8(Eb Horn 4),P8(Eb Horn 3),P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
1240.5,1246.5,Main Part,,U(Main),U(Bb Clarinet 1),U(Oboe 2),,,,,P8(C Horn 2)&P8(Timpani),P8(C Horn 1)&P8(Timpani),U(Eb Horn 4),U(Eb Horn 3),P8(C Trumpet 2),P8(C Trumpet 1),P8(C Horn 1)&P8(C Horn 2),,,,P8(Contrabass),P8(Violoncello)
1246.5,1252.5,,P6(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2),P6(Flute 2)&P6(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 2)&P6(Oboe 1)&U(Bb Clarinet 1)&P6(Bb Clarinet 2),P8(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(Bb Clarinet 2),P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 1),,,,P8(C Horn 2)&P8(Timpani),P8(C Horn 1)&P8(Timpani),U(Eb Horn 4),U(Eb Horn 3),P8(C Trumpet 2),P8(C Trumpet 1),P8(C Horn 1)&P8(C Horn 2),Main Part,,,P8(Contrabass),P8(Violoncello)
1252.5,1258.5,Main Part,U(Main)&P8(Oboe 2)&P8(Bb Clarinet 1),,P8(Main)&P8(Flute 2)&U(Bb Clarinet 1),P8(Main)&P8(Flute 2)&U(Oboe 2),,,,,P8(C Horn 2)&P8(Timpani),P8(C Horn 1)&P8(Timpani),U(Eb Horn 4),U(Eb Horn 3),P8(C Trumpet 2),P8(C Trumpet 1),P8(C Horn 1)&P8(C Horn 2),,,,P8(Contrabass),P8(Violoncello)
1258.5,1266.0,U(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2),U(Flute 1)&P6(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P6(Bb Clarinet 2),P6(Flute 1)&P6(Flute 2)&P6(Oboe 2)&P6(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P6(Oboe 1)&U(Bb Clarinet 1)&P6(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(Bb Clarinet 2),P6(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(Bb Clarinet 1),,,,P8(C Horn 2),P8(C Horn 1),U(Eb Horn 4),U(Eb Horn 3),,,,Main Part,,,P8(Contrabass),P8(Violoncello)
1266.0,1272.0,P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P3(Violin 1),P6(Flute 1)&P6(Oboe 1)&P8(Oboe 2)&P4(Violin 1),P8(Flute 1)&P6(Flute 2)&P6(Oboe 2)&P3(Violin 1),P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P4(Violin 1),,,Main Part,,,P8(C Horn 2),P8(C Horn 1),,,,,,P3(Flute 1)&P4(Flute 2)&P3(Oboe 1)&P4(Oboe 2),,,,
1272.0,1335.0,,,,,,,,,U(Contrabass),,,,,,,,Main Part,,,,U(Contrabassoon)
1335.0,1392.0,U(Flute 2),U(Flute 1),,,,,,,P8(Violoncello)&U(Contrabass),P8(C Horn 2),P8(C Horn 1),U(Eb Horn 4),U(Eb Horn 3),U(C Trumpet 2),U(C Trumpet 1),,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
1392.0,1414.5,Main Part,,,P8(Main),,,,,P8(Violoncello)&U(Contrabass),P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2),,,P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 2),P8(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1),,,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
1414.5,1456.5,Main Part,,,,,,,,,P8(C Horn 2),P8(C Horn 1),,,,,,,,,,
1456.5,1477.5,,,,,,,,,P8(Violoncello)&P8(Contrabass),,,,,,,,Main Part,,,P8(Contrabassoon)&P8(Contrabass),P8(Contrabassoon)&P8(Violoncello)
1477.5,1480.5,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&U(Oboe 2)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Bb Clarinet 1)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&U(Oboe 2)&U(Bb Clarinet 1)&P8(Bassoon 1)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(Violoncello)&U(Contrabass),P8(C Horn 2)&P8(Eb Horn 3)&U(Eb Horn 4)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P8(C Horn 1)&P8(Eb Horn 3)&P8(Eb Horn 4)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(Timpani),P8(C Horn 1)&P8(C Horn 2)&P8(Eb Horn 4)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),U(C Horn 1)&P8(C Horn 2)&P8(Eb Horn 3)&P8(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),P8(C Horn 1)&P8(C Horn 2)&P8(Eb Horn 3)&P8(Eb Horn 4)&P8(C Trumpet 2)&P8(Timpani),U(C Horn 1)&P8(C Horn 2)&P8(Eb Horn 3)&U(Eb Horn 4)&P8(C Trumpet 1)&P8(Timpani),P8(C Horn 1)&U(C Horn 2)&P8(Eb Horn 3)&P8(Eb Horn 4)&P8(C Trumpet 1)&P8(C Trumpet 2),P8(Viola),,P8(Violin 1),P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
1480.5,1509.0,,,,,,,,,P8(Contrabass),,,U(Eb Horn 4),U(Eb Horn 3),P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,,,,P8(Contrabassoon)
1509.0,1527.0,Main Part,,P8(Main)&U(Bb Clarinet 1)&P8(Violin 1),,P8(Main)&U(Oboe 1)&P8(Violin 1),,P8(Bassoon 2)&U(Violoncello),P8(Bassoon 1)&P8(Violoncello),U(Contrabass),P8(C Trumpet 1),P8(C Trumpet 2),,,P8(C Horn 1),P8(C Horn 2),,P8(Main)&P8(Oboe 1)&P8(Bb Clarinet 1),,,U(Bassoon 1)&P8(Bassoon 2),U(Contrabassoon)
1527.0,1562.5,,,,,,,,,,,,,,,,,Main Part,,P8(Main),,
1562.5,1603.5,,,,,,,,,,,,U(Eb Horn 4),U(Eb Horn 3),,,,Main Part,,,,
1603.5,1614.0,Main Part,,,,,,,,,,,,,,,,,,,,
1614.0,1623.0,,,Main Part,,,,,,,,,,,,,,,P8(Contrabass),,,P8(Violin 2)
1623.0,1635.0,,,,,,,P3(Bassoon 2),P3(Bassoon 1),,Main Part,,,,,,,,,,,
1635.0,1647.0,,,Main Part,,P6(Bb Clarinet 2)&P6(Viola)&P3(Contrabass),P6(Bb Clarinet 1)&U(Viola)&P4(Contrabass),,,,,,,,,,,,,P6(Bb Clarinet 1)&U(Bb Clarinet 2)&P4(Contrabass),,P3(Bb Clarinet 1)&P4(Bb Clarinet 2)&P4(Viola)
1647.0,1662.0,U(Flute 2),U(Flute 1),,,,,,,,,,,,,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
1662.0,1734.0,,,Main Part,,,,,,,,,P8(Eb Horn 4),P8(Eb Horn 3),,,,,,,,
1734.0,1741.5,,,,,,,Main Part,P8(Main),,P3(Violoncello)&P3(Contrabass),,,,,,,P2(Violin 2),P2(Violin 1),,P3(C Horn 1),P3(C Horn 1)
1741.5,1747.5,P3(Flute 2)&P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2),P3(Flute 1)&P3(Bb Clarinet 1)&P8(Bb Clarinet 2)&P4(Bassoon 1)&P2(Bassoon 2),,,P8(Flute 1)&P3(Flute 2)&P3(Bb Clarinet 2)&P2(Bassoon 1)&P2(Bassoon 2),P3(Flute 1)&P8(Flute 2)&P3(Bb Clarinet 1)&P4(Bassoon 1)&P2(Bassoon 2),P2(Flute 1)&P4(Flute 2)&P2(Bb Clarinet 1)&P4(Bb Clarinet 2)&P3(Bassoon 2),P2(Flute 1)&P2(Flute 2)&P2(Bb Clarinet 1)&P2(Bb Clarinet 2)&P3(Bassoon 1),,U(C Horn 2),U(C Horn 1),,,,,,,P4(Violoncello)&P2(Contrabass),Main Part,P4(Violin 2)&P5(Contrabass),P2(Violin 2)&P5(Violoncello)
1747.5,1778.5,,,,,,,,,,,,,,,,,Main Part,,,,
1778.5,1825.5,,,,,,,,,,,,U(Eb Horn 4),U(Eb Horn 3),P8(C Trumpet 2),P8(C Trumpet 1),,Main Part,,,P8(Contrabass),P8(Violoncello)
1825.5,1831.0,Main Part,U(Main)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2),P8(Main)&P8(Flute 2)&U(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2),P8(Main)&P8(Flute 2)&U(Oboe 1)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2),,P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 2)&P8(C Horn 1)&U(C Horn 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(C Horn 1)&P8(C Horn 2),P8(Eb Horn 3)&P8(Eb Horn 4),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 2),P8(Main)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1),P8(Contrabassoon)&U(Eb Horn 4),P8(Contrabassoon)&U(Eb Horn 3),U(C Trumpet 2),U(C Trumpet 1),,P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
1831.0,1877.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&U(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Bb Clarinet 1),,,,,,,,P8(C Trumpet 2)&P8(Timpani),P8(C Trumpet 1)&P8(Timpani),P8(C Trumpet 1)&P8(C Trumpet 2),Main Part,U(Main)&P8(Viola),P8(Main)&P8(Violin 2),,
1877.5,1887.0,,,,,P4(Bb Clarinet 2),P4(Bb Clarinet 1),Main Part,P8(Contrabass),,,,P4(Eb Horn 4),P4(Eb Horn 3),,,,P8(Violin 2),P8(Violin 1),,U(Main),P8(Bassoon 2)
1887.0,1911.0,,,P5(Oboe 2)&P5(Bassoon 2)&P5(C Horn 1)&P5(C Horn 2),P5(Oboe 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2),,,,P5(Oboe 1)&P8(Oboe 2)&U(C Horn 1)&P8(C Horn 2),,P5(Oboe 1)&P8(Oboe 2)&U(Bassoon 2)&P8(C Horn 2),P5(Oboe 1)&P8(Oboe 2)&P8(Bassoon 2)&P8(C Horn 1),,,,,,Main Part,P8(Main),,,
1911.0,1938.0,,,,,,,,,,,,,,,,,Main Part,,,,
