qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,Eb Horn 3,Eb Horn 4,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
98.0,112.5,,,,P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&U(C Trumpet 2)&P8(Timpani),,,P8(Oboe 2)&P8(Bassoon 2)&U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(Timpani),P8(Oboe 2)&P8(Bassoon 1)&P8(C Horn 1)&U(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),,P8(Oboe 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2)&U(Timpani),P8(Oboe 2)&P8(Bassoon 1)&U(Bassoon 2)&P8(C Horn 1)&P8(C Trumpet 1)&P8(C Trumpet 2)&P8(Timpani),,,U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 2)&P8(Timpani),U(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(C Horn 1)&P8(C Horn 2)&U(C Trumpet 1)&P8(Timpani),P8(Oboe 2)&U(Bassoon 1)&P8(Bassoon 2)&U(C Horn 1)&P8(C Horn 2)&P8(C Trumpet 1)&P8(C Trumpet 2),,,,Main Part,
112.5,125.5,,,Main Part,,,,,,,P8(C Horn 2)&P8(Timpani),P8(C Horn 1)&P8(Timpani),U(Eb Horn 4),U(Eb Horn 3),P8(C Trumpet 2),P8(C Trumpet 1),P8(C Horn 1)&P8(C Horn 2),,,,,
125.5,153.0,P8(Oboe 1),,P8(Flute 1),,,,P8(Bassoon 2),P8(Bassoon 1),U(Contrabass),,,,,,,,Main Part,,,,U(Contrabassoon)
153.0,171.0,P8(Oboe 1)&P8(Bb Clarinet 1),,P8(Flute 1)&U(Bb Clarinet 1),,P8(Flute 1)&U(Oboe 1),,P8(Bassoon 2)&P8(Contrabass),P8(Bassoon 1)&U(Contrabass),,,,P8(Eb Horn 4),P8(Eb Horn 3),,,,Main Part,,,,P8(Bassoon 1)&U(Bassoon 2)
171.0,209.5,,,,,,,,,,,,,,,,,Main Part,,,,
209.5,233.5,,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,,,,Main Part,,,,
233.5,250.5,,,P8(Oboe 2)&P8(Bassoon 1),P8(Oboe 1)&P8(Bassoon 1),P8(Bb Clarinet 2),P8(Bb Clarinet 1),P8(Oboe 1)&P8(Oboe 2),,,P8(C Horn 2),P8(C Horn 1),,,P8(C Trumpet 2),P8(C Trumpet 1),,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
250.5,267.0,P8(Flute 2)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Bb Clarinet 1)&P8(Bb Clarinet 2),P8(Oboe 2),P8(Oboe 1),P8(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Bb Clarinet 1),P8(Bassoon 2),P8(Bassoon 1),,P8(C Horn 2)&P8(Timpani),P8(C Horn 1)&U(Timpani),,,P8(C Trumpet 2),P8(C Trumpet 1),P8(C Horn 1)&U(C Horn 2),Main Part,,,P8(Contrabass),P8(Violoncello)
267.0,289.5,P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2)&P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Main)&U(Bb Clarinet 2)&P8(Bassoon 1)&P8(Bassoon 2),Main Part,P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&U(Oboe 2)&P8(Main)&P8(Bassoon 1)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 1)&P8(Oboe 2)&P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 1),,,,P8(Eb Horn 4),P8(Eb Horn 3),,,,,,,P8(Contrabass),P8(Violoncello)
289.5,301.0,P8(Flute 2)&P8(Oboe 2)&P8(Bassoon 2),P8(Flute 1)&P8(Oboe 2)&P8(Bassoon 2),P8(Main)&P8(Bb Clarinet 2)&P8(Bassoon 1),P8(Flute 1)&P8(Flute 2)&P8(Bassoon 2),Main Part,P8(Oboe 1)&P8(Main)&P8(Bassoon 1),P8(Oboe 1)&P8(Main)&P8(Bb Clarinet 2),P8(Flute 1)&P8(Flute 2)&P8(Oboe 2),,,,P8(Eb Horn 4),P8(Eb Horn 3),,,,,,,,
301.0,314.5,,,,,,,,,,,,P8(Eb Horn 4),P8(Eb Horn 3),,,,Main Part,,,,
314.5,329.5,,,U(Oboe 2),U(Oboe 1),,,,,,,,,,,,,Main Part,,,,
