qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,Trombone 1,Trombone 2,Trombone 3,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,D4,E4,G3,C3,r,r,r,r,r,r,r,r,r,r
1.0,0.6522,1,2.0,r,r,r,r,D5,F4,B3,C3,r,r,r,r,r,r,r,r,r,r
1.5,0.9783,1,2.5,r,r,r,r,B4,F4,D4,C3,r,r,r,r,r,r,r,r,r,r
2.0,1.3043,1,3.0,r,r,r,r,C5,E4,G3,C3,r,r,r,r,r,r,r,r,r,r
3.0,1.9565,1,4.0,r,r,r,r,G4,E4,C4,C3,r,r,r,r,r,r,r,r,r,r
4.0,2.6087,2,1.0,r,r,r,r,A4,F4,C4,F3,r,r,r,r,r,r,r,r,r,r
5.0,3.2609,2,2.0,r,r,r,r,G4,E4,C4,C3,r,r,r,r,r,r,r,r,r,r
6.0,3.913,2,3.0,r,r,r,r,A4,F4,C4,F3,r,r,r,r,r,r,r,r,r,r
7.0,4.5652,2,4.0,r,r,r,r,G4,D4,B3,G3,B3,B3,r,r,r,r,r,r,r,r
7.5,4.8913,2,4.5,r,r,r,r,F4,D4,B3,G3,B3,B3,r,r,r,r,r,r,r,r
8.0,5.2174,3,1.0,r,r,r,r,E4,C4,G3,C3,C4,E3,r,r,r,r,r,r,r,r
8.75,5.7065,3,1.75,r,r,r,r,E4,C4,G3,C3,C4,E3,r,r,r,r,r,r,r,r
9.0,5.8696,3,2.0,G4,E4,r,r,G4,C4,G3,E2,C4,E3,r,r,r,r,r,r,r,r
9.75,6.3587,3,2.75,G4,E4,r,r,G4,C4,G3,E2,C4,E3,r,r,r,r,r,r,r,r
10.0,6.5217,3,3.0,B4,F4,r,r,D5,B3,F3,G2,D4,G3,r,r,r,r,r,r,r,r
11.0,7.1739,3,4.0,B4,F4,r,r,D5,B3,F3,G3,D4,G3,r,r,r,r,r,r,r,r
12.0,7.8261,4,1.0,C5,E4,r,r,C5,C4,E3,C3,E4,C4,r,r,r,r,r,E3,E3,r
13.0,8.4783,4,2.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,G3,G3,r
14.0,9.1304,4,3.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,B3,r
15.0,9.7826,4,4.0,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,D4,B3,G1
16.0,10.4348,5,1.0,r,r,r,r,C5,E4,G3,C3,r,r,r,r,r,r,r,C4,C4,C2
17.0,11.087,5,2.0,r,r,r,r,D5,F4,B3,C3,r,r,r,r,r,r,r,r,r,r
