qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,C Horn 1,C Horn 2,Trombone 1,Trombone 2,Trombone 3,Violin 1,Violin 2,Viola,Violoncello,Contrabass
319.0,323.0,,,,,Main Part,,,,P8(C Horn 2)&P3(Trombone 1)&P6(Trombone 2)&P4(Trombone 3)&U(Contrabass),P8(C Horn 1)&P3(Trombone 1)&P6(Trombone 2)&P4(Trombone 3)&P8(Contrabass),P3(C Horn 1)&P3(C Horn 2)&P4(Trombone 2)&P2(Trombone 3)&P3(Contrabass),P6(C Horn 1)&P6(C Horn 2)&P4(Trombone 1)&P3(Trombone 3)&P6(Contrabass),P4(C Horn 1)&P4(C Horn 2)&P2(Trombone 1)&P3(Trombone 2)&P4(Contrabass),,,,,U(C Horn 1)&P8(C Horn 2)&P3(Trombone 1)&P6(Trombone 2)&P4(Trombone 3)
323.0,327.0,Main Part,,,,,,,,P8(C Horn 2)&P3(Trombone 1)&P6(Trombone 2)&U(Contrabass),P8(C Horn 1)&P3(Trombone 1)&P6(Trombone 2)&P8(Contrabass),P3(C Horn 1)&P3(C Horn 2)&P4(Trombone 2)&P3(Contrabass),P6(C Horn 1)&P6(C Horn 2)&P4(Trombone 1)&P6(Contrabass),,,,,,U(C Horn 1)&P8(C Horn 2)&P3(Trombone 1)&P6(Trombone 2)
327.0,335.0,,,,,,,Main Part,,P8(C Horn 2)&P6(Trombone 2)&U(Contrabass),P8(C Horn 1)&P6(Trombone 2)&P8(Contrabass),,P6(C Horn 1)&P6(C Horn 2)&P6(Contrabass),,,,,,U(C Horn 1)&P8(C Horn 2)&P6(Trombone 2)
335.0,359.0,Main Part,,P8(Main),,,,,,,,,,,,,,,
359.0,364.0,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),P8(C Horn 1)&P8(C Horn 2),,,P8(Contrabass),P8(Bb Clarinet 1)&U(C Horn 2),P8(Bb Clarinet 1)&U(C Horn 1),,,,,,,,P8(Bassoon 2)
364.0,376.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),Main Part,,,,,,,,,,,,,
376.0,387.0,Main Part,P8(Oboe 2),P8(Main),P8(Flute 2),,,,,,,,,,,,,,
387.0,392.0,P8(Oboe 1)&P3(Bb Clarinet 2),,P8(Flute 1)&P3(Bb Clarinet 2),,Main Part,P3(Flute 1)&P3(Oboe 1),,,,,,,,,,,,
392.0,412.0,Main Part,,P8(Main),,,,,,,,,,,,,,,
412.0,422.0,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),Main Part,,,,,,,,,,,,,
422.0,428.0,U(Flute 2)&P8(Oboe 1)&P8(Oboe 2),U(Flute 1)&P8(Oboe 1)&P8(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 2),P8(Flute 1)&P8(Flute 2)&U(Oboe 1),P3(Bb Clarinet 2)&P3(Violoncello)&P3(Contrabass),P3(Bb Clarinet 1),Main Part,,,,,,,,,,P3(Bb Clarinet 1)&P8(Contrabass),P3(Bb Clarinet 1)&P8(Violoncello)
428.0,456.0,,,,,,,,,,,,,,Main Part,P8(Main),,,
456.0,461.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P5(C Horn 1)&P3(C Horn 2)&P5(Violoncello)&P5(Contrabass),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(C Horn 1)&P5(C Horn 2)&P3(Violoncello)&P3(Contrabass),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P5(C Horn 1)&P3(C Horn 2)&P5(Violoncello)&P5(Contrabass),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(C Horn 1)&P5(C Horn 2)&P3(Violoncello)&P3(Contrabass),,,,,P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P7(C Horn 2)&P8(Violoncello)&P8(Contrabass),P3(Flute 1)&P5(Flute 2)&P3(Oboe 1)&P5(Oboe 2)&P7(C Horn 1)&P7(Violoncello)&P7(Contrabass),,,,Main Part,P8(Viola),P8(Violin 2),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(C Horn 1)&P7(C Horn 2)&U(Contrabass),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(C Horn 1)&P7(C Horn 2)&U(Violoncello)
461.0,471.0,P8(Oboe 1)&P8(C Horn 1),,P8(Flute 1)&P8(C Horn 1),P8(C Horn 2),Main Part,,P8(Main),,P8(Flute 1)&P8(Oboe 1),P8(Oboe 2),,,,P8(Violin 2)&P8(Viola),P8(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),,
471.0,473.0,,,,,U(Bb Clarinet 2)&P8(Bassoon 1),U(Bb Clarinet 1)&P8(Bassoon 1),P8(Bb Clarinet 1)&P8(Bb Clarinet 2),,,,,,,Main Part,P8(Main)&P8(Viola),P8(Main)&P8(Violin 2),P3(Contrabass),P3(Violoncello)
473.0,482.0,P8(Oboe 1)&P8(C Horn 1),,P8(Flute 1)&P8(C Horn 1),P8(C Horn 2),Main Part,U(Main)&P8(Bassoon 1),P8(Main)&P8(Bb Clarinet 2),,P8(Flute 1)&P8(Oboe 1),P8(Oboe 2),P4(Trombone 2)&P3(Trombone 3),P4(Trombone 1)&P2(Trombone 3),P3(Trombone 1)&P2(Trombone 2),P8(Violin 2)&P8(Viola),P8(Violin 1)&P8(Viola),P8(Violin 1)&P8(Violin 2),P2(Contrabass),P2(Violoncello)
482.0,484.0,,,,,U(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Violoncello),U(Bb Clarinet 1)&P3(Bassoon 1)&P5(Bassoon 2)&P8(Violoncello),P3(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Bassoon 2)&P3(Violoncello),P5(Bb Clarinet 1)&P5(Bb Clarinet 2)&P3(Bassoon 1)&P5(Violoncello),,,,,,Main Part,P8(Main)&P8(Viola),P8(Main)&P8(Violin 2),P8(Bb Clarinet 1)&P8(Bb Clarinet 2)&P3(Bassoon 1)&P5(Bassoon 2),
484.0,509.0,,,,,Main Part,U(Main),,,P8(C Horn 2),P8(C Horn 1),P3(Trombone 2),P3(Trombone 1)&P3(Trombone 3),P3(Trombone 2),P8(Violin 2),P8(Violin 1),,,
509.0,513.0,,,,,U(Bb Clarinet 2),U(Bb Clarinet 1),,,Main Part,P8(Main),P3(Trombone 2),P3(Trombone 1),P8(Violoncello)&P8(Contrabass),U(Violin 2),U(Violin 1),,P8(Trombone 3)&P8(Contrabass),P8(Trombone 3)&P8(Violoncello)
513.0,521.0,,,,,Main Part,,P3(Bassoon 2),P3(Bassoon 1),,,P3(Trombone 2),P3(Trombone 1),,U(Violin 2),U(Violin 1),,P8(Contrabass),P8(Violoncello)
521.0,528.0,,P8(Oboe 2),Main Part,P8(Flute 2),P5(C Horn 2),,,P8(Trombone 3),,P5(Bb Clarinet 1),,,P8(Bassoon 2),P8(Violin 2),P8(Violin 1),,,
528.0,532.0,P3(Flute 2)&P8(Oboe 1)&P3(Oboe 2)&P5(Bassoon 1)&P5(Bassoon 2)&P5(Main)&P5(C Horn 2)&P5(Trombone 3)&P5(Violin 1)&P5(Violin 2),P3(Flute 1)&P3(Oboe 1)&P8(Oboe 2)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Main)&P3(C Horn 2)&P3(Trombone 3)&P3(Violin 1)&P3(Violin 2),P8(Flute 1)&P3(Flute 2)&P3(Oboe 2)&P5(Bassoon 1)&P5(Bassoon 2)&P5(Main)&P5(C Horn 2)&P5(Trombone 3)&P5(Violin 1)&P5(Violin 2),P3(Flute 1)&P8(Flute 2)&P3(Oboe 1)&P3(Bassoon 1)&P3(Bassoon 2)&P3(Main)&P3(C Horn 2)&P3(Trombone 3)&P3(Violin 1)&P3(Violin 2),P3(Bb Clarinet 2)&P3(Trombone 1)&P8(Trombone 2),P3(Bb Clarinet 1)&P3(Trombone 2),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bassoon 2)&P8(Main)&U(C Horn 2)&U(Trombone 3)&P8(Violin 1)&P8(Violin 2),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P8(Main)&P8(C Horn 2)&P8(Trombone 3)&P8(Violin 1)&P8(Violin 2),Main Part,P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(Main)&U(Trombone 3)&P8(Violin 1)&P8(Violin 2),P3(Bb Clarinet 1)&P3(Trombone 2),P8(Bb Clarinet 1)&P3(Bb Clarinet 2)&P3(Trombone 1),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&U(Bassoon 1)&P8(Bassoon 2)&P8(Main)&U(C Horn 2)&P8(Violin 1)&P8(Violin 2),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(C Horn 2)&P8(Trombone 3)&P8(Violin 2),P5(Flute 1)&P3(Flute 2)&P5(Oboe 1)&P3(Oboe 2)&P8(Bassoon 1)&P8(Bassoon 2)&P8(Main)&P8(C Horn 2)&P8(Trombone 3)&P8(Violin 1),P5(Violoncello)&P5(Contrabass),P5(Viola)&U(Contrabass),P5(Viola)&U(Violoncello)
