qstamp,measure,beat,measure_fraction,label,part_name,part_num,full_part_name
0.0,1,3.875,0.0,a,Ob,2,Ob 1
10.625,5,2.5,0.5,a,Fl,0,Fl 1
12.0,5,3.875,0.9583,a,Vln,13,Vln 1
21.125,9,1.0,0.0,a,Vln,13,Vln 1
25.0,10,1.875,0.2917,a,Ob,2,Ob 1
26.625,10,3.5,0.8333,a,Fl,0,Fl 1
28.0,11,1.875,0.2917,a,Ob,2,Ob 1
29.625,11,3.5,0.8333,a,Fl,0,Fl 1
31.0,12,1.875,0.2917,a,Ob,2,Ob 1
33.125,13,1.0,0.0,b,Vln,13,Vln 1
36.125,14,1.0,0.0,b,Fl,0,Fl 1
39.125,15,1.0,0.0,b,Vln,13,Vln 1
42.125,16,1.0,0.0,b,Fl,0,Fl 1
46.125,17,2.0,0.3333,b,Bsn,7,Bsn 2
48.625,18,1.5,0.1667,b,Hn,8,Hn 1
49.625,18,2.5,0.5,b,Fl,0,Fl 1
51.625,19,1.5,0.1667,b,Ob,2,Ob 1
52.625,19,2.5,0.5,b,Bsn,6,Bsn 1
54.625,20,1.5,0.1667,b,Hn,8,Hn 1
55.625,20,2.5,0.5,b,Ob,2,Ob 1
57.625,21,1.5,0.1667,b,Hn,8,Hn 1
58.625,21,2.5,0.5,b,Ob,2,Ob 1
60.625,22,1.5,0.1667,b,Hn,8,Hn 1
61.625,22,2.5,0.5,b,Ob,2,Ob 1
63.625,23,1.5,0.1667,b,Hn,8,Hn 1
64.625,23,2.5,0.5,b,Fl,0,Fl 1
66.0,23,3.875,0.9583,c,Bsn,7,Bsn 2
70.125,25,2.0,0.3333,c,Vla,15,Vla
722917/10000,26,11667/10000,0.0556,c,Vln,13,Vln 1
85.0,30,1.875,0.2917,c,Fl,0,Fl 1
86.125,30,3.0,0.6667,c,Vln,13,Vln 1
88.0,31,1.875,0.2917,c,Fl,0,Fl 1
89.125,31,3.0,0.6667,c,Vln,13,Vln 1
91.0,32,1.875,0.2917,c,Fl,0,Fl 1
92.125,32,3.0,0.6667,c,Vln,13,Vln 1
94.0,33,1.875,0.2917,c,Fl,0,Fl 1
95.125,33,3.0,0.6667,c,Vln,13,Vln 1
99.125,35,1.0,0.0,d,Vla,15,Vla
111.125,38,1.0,0.0,d,Vln,13,Vln 1
115.125,39,1.0,0.0,d,Vla,15,Vla
127.125,42,1.0,0.0,d,Ob,2,Ob 1
131.125,43,1.0,0.0,d,Vla,15,Vla
135.125,44,1.0,0.0,d,Ob,2,Ob 1
151.125,48,1.0,0.0,d,Vln,13,Vln 1
169.125,52,3.0,0.5,d,Cl,4,Cl 1
176.125,54,2.0,0.25,d,Vln,13,Vln 1
185.125,56,3.0,0.5,d,Cl,4,Cl 1
192.875,58,2.75,0.4375,d,Vln,13,Vln 1
194.125,58,4.0,0.75,d,Bsn,6,Bsn 1
200.875,60,2.75,0.4375,d,Vln,13,Vln 1
202.125,60,4.0,0.75,d,Bsn,6,Bsn 1
207.125,62,1.0,0.0,e,Vln,13,Vln 1
215.625,64,1.5,0.125,e,Fl,0,Fl 1
224.125,66,2.0,0.25,e,Vln,13,Vln 1
232.125,68,2.0,0.25,e,Bsn,6,Bsn 1
237.625,69,3.5,0.625,e,Fl,0,Fl 1
247.125,72,1.0,0.0,e,Fl,0,Fl 1
247.125,72,1.0,0.0,e,Vln,13,Vln 1
255.125,74,1.0,0.0,f,Cl,4,Cl 1
271.125,78,1.0,0.0,f,Vln,13,Vln 1
287.125,82,1.0,0.0,f,Fl,0,Fl 1
303.125,86,1.0,0.0,f,Fl,0,Fl 1
307.125,87,1.0,0.0,f,Vln,13,Vln 1
315.125,89,1.0,0.0,f,Vla,15,Vla
323.125,91,1.0,0.0,f,Vln,13,Vln 1
339.125,95,1.0,0.0,f,Vln,13,Vln 1
347.125,97,1.0,0.0,f,Vln,13,Vln 1
348.875,97,2.75,0.4375,f,Ob,2,Ob 1
351.125,98,1.0,0.0,f,Vln,13,Vln 1
352.875,98,2.75,0.4375,f,Ob,2,Ob 1
355.125,99,1.0,0.0,f,Vln,13,Vln 1
356.125,99,2.0,0.25,f,Ob,2,Ob 1
357.125,99,3.0,0.5,f,Vln,13,Vln 1
358.125,99,4.0,0.75,f,Ob,2,Ob 1
359.125,100,1.0,0.0,f,Vln,13,Vln 1
360.125,100,2.0,0.25,f,Ob,2,Ob 1
361.125,100,3.0,0.5,f,Vln,13,Vln 1
362.125,100,4.0,0.75,f,Ob,2,Ob 1
363.125,101,1.0,0.0,f,Vln,13,Vln 1
364.875,101,2.75,0.4375,f,Ob,2,Ob 1
367.125,102,1.0,0.0,f,Vln,13,Vln 1
368.875,102,2.75,0.4375,f,Ob,2,Ob 1
374.125,103,4.0,0.75,d,Vln,13,Vln 1
394.125,108,4.0,0.75,d,Fl,0,Fl 1
411.125,113,1.0,0.0,d,Vln,14,Vln 2
419.125,115,1.0,0.0,d,Vln,13,Vln 1
428.125,117,2.0,0.25,d,Vln,14,Vln 2
435.125,119,1.0,0.0,d,Vln,13,Vln 1
443.125,121,1.0,0.0,d,Fl,0,Fl 1
443.125,121,1.0,0.0,d,Vln,13,Vln 1
448.125,122,2.0,0.25,d,Ob,2,Ob 1
451.125,123,1.0,0.0,d,Fl,0,Fl 1
456.125,124,2.0,0.25,d,Ob,2,Ob 1
459.125,125,1.0,0.0,d,Fl,0,Fl 1
467.125,127,1.0,0.0,d,Fl,0,Fl 1
483.125,131,1.0,0.0,d,Fl,0,Fl 1
491.125,133,1.0,0.0,d,Fl,0,Fl 1
