qstamp,measure,beat,measure_fraction,label,part_name,part_num
0.5,1,1.5,0.167,a,Vln,0
9.0,4,1,0.0,b,A,4
12.0,5,1,0.0,b,S,3
15.0,6,1,0.0,b,S,2
18.0,7,1,0.0,b,T,5
21.0,8,1,0.0,b,B,6
37.0,13,2,0.333,b,S,2
40.0,14,2,0.333,b,A,4
49.0,17,2,0.333,b,S,2
57.5,20,1.5,0.167,a,Vln,0
66.0,23,1,0.0,b,T,5
69.0,24,1,0.0,b,A,4
72.0,25,1,0.0,b,S,3
75.0,26,1,0.0,b,S,2
78.0,27,1,0.0,b,B,6
94.0,32,2,0.333,b,S,3
97.0,33,2,0.333,b,T,5
109.0,37,2,0.333,b,S,2
114.5,39,1.5,0.167,a,Vln,0
122.0,41,3,0.667,b,S,2
123.0,42,1,0.0,b,B,6
124.0,42,2,0.333,b,A,4
125.0,42,3,0.667,b,T,5
132.0,45,1,0.0,b,S,2
133.0,45,2,0.333,b,S,3
134.0,45,3,0.667,b,A,4
142.0,48,2,0.333,b,T,5
