qstamp,tstamp,measure,beat,Traverso 1,Traverso 2,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
65.0,32.5,11,3.5,A5,C5,F#5,A4,C4,r,r,r,A3,C3
66.0,33.0,12,1.0,r,r,E-5,B4,F#3,r,r,r,A3,B2
67.0,33.5,12,1.5,r,r,E-5,B4,F#3,r,r,r,F#3,B2
68.0,34.0,12,2.0,B5,F#4,r,r,r,r,F#4,r,E-3,B2
69.0,34.5,12,2.5,B5,F#4,r,r,r,r,F#4,r,E-3,B2
70.0,35.0,12,3.0,F#5,E-5,F#5,E-5,B4,r,F#4,r,r,B2
71.0,35.5,12,3.5,F#5,E-5,F#5,E-5,B4,r,F#4,r,r,B2
72.0,36.0,13,1.0,G5,B4,G5,B4,G4,r,F#4,r,r,E2
73.0,36.5,13,1.5,G5,B4,G5,B4,G4,r,E4,r,r,E2
74.0,37.0,13,2.0,B4,G4,r,r,r,G4,E4,r,r,E3
75.0,37.5,13,2.5,B4,G4,r,r,r,G4,E4,r,r,E3
76.0,38.0,13,3.0,C#5,E4,G5,B-4,C#4,B-4,r,r,r,E3
77.0,38.5,13,3.5,C#5,E4,G5,B-4,C#4,B-4,r,r,r,E3
78.0,39.0,14,1.0,r,r,F#5,B4,F#4,B4,r,r,r,E-3
79.0,39.5,14,1.5,r,r,F#5,B4,F#4,B4,r,r,r,E-3
80.0,40.0,14,2.0,C5,A4,r,r,r,C5,F4,r,r,D3
81.0,40.5,14,2.5,C5,A4,r,r,r,B4,F4,r,r,D3
82.0,41.0,14,3.0,B4,G#4,F5,B4,G#4,B4,G#4,r,r,D3
83.0,41.5,14,3.5,B4,G#4,F5,B4,G#4,B4,G#4,r,r,D3
84.0,42.0,15,1.0,r,r,E5,E4,A4,C#5,A4,r,r,C#3
85.0,42.5,15,1.5,r,r,E5,E4,A4,E-5,A4,r,r,C#3
86.0,43.0,15,2.0,E4,A4,r,r,r,E5,A4,r,E3,C3
87.0,43.5,15,2.5,E4,A4,r,r,r,E5,A4,r,E3,C3
88.0,44.0,15,3.0,E5,B-4,E5,B-4,E4,E5,B-4,r,F#3,C3
89.0,44.5,15,3.5,E5,B-4,E5,B-4,E4,E5,B-4,r,F#3,C3
90.0,45.0,16,1.0,r,r,E5,B4,G3,E5,B4,G3,G3,B2
91.0,45.5,16,1.5,r,r,E5,B4,G3,E5,B4,G3,G3,B2
92.0,46.0,16,2.0,F#5,E-5,r,r,r,E-5,B4,A3,F#3,B2
93.0,46.5,16,2.5,F#5,E-5,r,r,r,E-5,C5,A3,F#3,B2
