qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,A Bass Clarinet,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,Tenor Trombone 1,Tenor Trombone 2,Bass Trombone,Tuba,Timpani,Violin solo,Violin 1,Violin 2,Viola,Violoncello 1,Violoncello 2,Contrabass
0.0,3.0,P6(Flute 2)&U(Oboe 1)&P6(Oboe 2)&U(A Clarinet 1)&P6(A Clarinet 2)&P8(F Trumpet 1)&P6(F Trumpet 2),P6(Flute 1)&P6(Oboe 1)&U(Oboe 2)&P6(A Clarinet 1)&U(A Clarinet 2)&P6(F Trumpet 1)&P8(F Trumpet 2),U(Flute 1)&P6(Flute 2)&P6(Oboe 2)&U(A Clarinet 1)&P6(A Clarinet 2)&P8(F Trumpet 1)&P6(F Trumpet 2),P6(Flute 1)&U(Flute 2)&P6(Oboe 1)&P6(A Clarinet 1)&U(A Clarinet 2)&P6(F Trumpet 1)&P8(F Trumpet 2),U(Flute 1)&P6(Flute 2)&U(Oboe 1)&P6(Oboe 2)&P6(A Clarinet 2)&P8(F Trumpet 1)&P6(F Trumpet 2),P6(Flute 1)&U(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(A Clarinet 1)&P6(F Trumpet 1)&P8(F Trumpet 2),,Main Part,P8(Main),,,,,P8(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P8(A Clarinet 1)&P6(A Clarinet 2)&P6(F Trumpet 2),P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P6(A Clarinet 1)&P8(A Clarinet 2)&P6(F Trumpet 1),P3(Tenor Trombone 2)&P4(Bass Trombone)&P8(Tuba)&P3(Violin 1)&P3(Violin 2),P3(Tenor Trombone 1)&P6(Bass Trombone)&P3(Tuba)&P8(Violin 1)&P8(Violin 2),P4(Tenor Trombone 1)&P6(Tenor Trombone 2)&P4(Tuba)&P6(Violin 1)&P6(Violin 2),P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P4(Bass Trombone)&P3(Violin 1)&P3(Violin 2),,,P3(Tenor Trombone 1)&P8(Tenor Trombone 2)&P6(Bass Trombone)&P3(Tuba)&U(Violin 2),P3(Tenor Trombone 1)&P8(Tenor Trombone 2)&P6(Bass Trombone)&P3(Tuba)&U(Violin 1),,,P8(Contrabass),P8(Violoncello 2)
3.0,4.0,P6(Flute 2)&U(Oboe 1)&P6(Oboe 2)&U(A Clarinet 1)&P6(A Clarinet 2)&P8(F Trumpet 1)&P6(F Trumpet 2),P6(Flute 1)&P6(Oboe 1)&U(Oboe 2)&P6(A Clarinet 1)&U(A Clarinet 2)&P6(F Trumpet 1)&P8(F Trumpet 2),U(Flute 1)&P6(Flute 2)&P6(Oboe 2)&U(A Clarinet 1)&P6(A Clarinet 2)&P8(F Trumpet 1)&P6(F Trumpet 2),P6(Flute 1)&U(Flute 2)&P6(Oboe 1)&P6(A Clarinet 1)&U(A Clarinet 2)&P6(F Trumpet 1)&P8(F Trumpet 2),U(Flute 1)&P6(Flute 2)&U(Oboe 1)&P6(Oboe 2)&P6(A Clarinet 2)&P8(F Trumpet 1)&P6(F Trumpet 2),P6(Flute 1)&U(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(A Clarinet 1)&P6(F Trumpet 1)&P8(F Trumpet 2),,P8(Bassoon 2)&P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P4(Bass Trombone)&P8(Tuba)&P3(Main)&P3(Violin 2)&P4(Viola),P8(Bassoon 1)&P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P4(Bass Trombone)&U(Tuba)&P3(Main)&P3(Violin 2)&P4(Viola),,,,,P8(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P8(A Clarinet 1)&P6(A Clarinet 2)&P6(F Trumpet 2),P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P6(A Clarinet 1)&P8(A Clarinet 2)&P6(F Trumpet 1),P8(Bassoon 1)&P8(Bassoon 2)&P3(Tenor Trombone 2)&P4(Bass Trombone)&P8(Tuba)&P3(Main)&P3(Violin 2)&P4(Viola),P3(Bassoon 1)&P3(Bassoon 2)&P3(Tenor Trombone 1)&P6(Bass Trombone)&P3(Tuba)&P8(Main)&P8(Violin 2)&P6(Viola),P4(Bassoon 1)&P4(Bassoon 2)&P4(Tenor Trombone 1)&P6(Tenor Trombone 2)&P4(Tuba)&P6(Main)&P6(Violin 2)&P8(Viola),P8(Bassoon 1)&U(Bassoon 2)&P8(Tenor Trombone 1)&P3(Tenor Trombone 2)&P4(Bass Trombone)&P3(Main)&P3(Violin 2)&P4(Viola),,,Main Part,P3(Bassoon 1)&P3(Bassoon 2)&P3(Tenor Trombone 1)&P8(Tenor Trombone 2)&P6(Bass Trombone)&P3(Tuba)&U(Main)&P6(Viola),P4(Bassoon 1)&P4(Bassoon 2)&P4(Tenor Trombone 1)&P6(Tenor Trombone 2)&P8(Bass Trombone)&P4(Tuba)&P6(Main)&P6(Violin 2),,P8(Contrabass),P8(Violoncello 2)
4.0,7.0,P6(Flute 2)&U(Oboe 1)&P6(Oboe 2)&U(A Clarinet 1)&P6(A Clarinet 2)&P8(F Trumpet 1)&P6(F Trumpet 2),P6(Flute 1)&P6(Oboe 1)&U(Oboe 2)&P6(A Clarinet 1)&U(A Clarinet 2)&P6(F Trumpet 1)&P8(F Trumpet 2),U(Flute 1)&P6(Flute 2)&P6(Oboe 2)&U(A Clarinet 1)&P6(A Clarinet 2)&P8(F Trumpet 1)&P6(F Trumpet 2),P6(Flute 1)&U(Flute 2)&P6(Oboe 1)&P6(A Clarinet 1)&U(A Clarinet 2)&P6(F Trumpet 1)&P8(F Trumpet 2),U(Flute 1)&P6(Flute 2)&U(Oboe 1)&P6(Oboe 2)&P6(A Clarinet 2)&P8(F Trumpet 1)&P6(F Trumpet 2),P6(Flute 1)&U(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P6(A Clarinet 1)&P6(F Trumpet 1)&P8(F Trumpet 2),,,,,U(F Horn 3),U(F Horn 2),,P8(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P8(A Clarinet 1)&P6(A Clarinet 2)&P6(F Trumpet 2),P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P6(A Clarinet 1)&P8(A Clarinet 2)&P6(F Trumpet 1),,,,,,,,,,,Main Part,P8(Main)
7.0,10.0,P6(Flute 2)&U(Oboe 1)&P6(Oboe 2)&P6(F Horn 3)&P8(F Trumpet 1)&P6(F Trumpet 2),P6(Flute 1)&P6(Oboe 1)&U(Oboe 2)&P8(F Horn 3)&P6(F Trumpet 1)&P8(F Trumpet 2),U(Flute 1)&P6(Flute 2)&P6(Oboe 2)&P6(F Horn 3)&P8(F Trumpet 1)&P6(F Trumpet 2),P6(Flute 1)&U(Flute 2)&P6(Oboe 1)&P8(F Horn 3)&P6(F Trumpet 1)&P8(F Trumpet 2),P6(A Clarinet 2),P6(A Clarinet 1),,,,,Main Part,P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P6(F Trumpet 1)&P8(F Trumpet 2),,P8(Flute 1)&P6(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(F Horn 3)&P6(F Trumpet 2),P6(Flute 1)&P8(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P8(F Horn 3)&P6(F Trumpet 1),,,,,,,,,,,P8(Contrabass),P8(Violoncello 2)
10.0,14.0,U(Oboe 1)&P8(F Trumpet 1),U(Oboe 2)&P8(F Horn 3)&P8(F Trumpet 2),U(Flute 1)&P8(F Trumpet 1),U(Flute 2)&P8(F Horn 3)&P8(F Trumpet 2),,,,,,Main Part,,P8(Flute 2)&P8(Oboe 2)&P8(F Trumpet 2),U(Timpani),P8(Flute 1)&P8(Oboe 1),P8(Flute 2)&P8(Oboe 2)&P8(F Horn 3),,,,,U(F Horn 4),,,,,,P8(Contrabass),P8(Violoncello 2)
14.0,18.0,P2(Flute 2)&U(Oboe 1)&P2(Oboe 2)&P5(F Horn 1)&P4(F Horn 2)&P2(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P2(F Trumpet 2),P2(Flute 1)&P2(Oboe 1)&U(Oboe 2)&P4(F Horn 1)&P3(F Horn 2)&P8(F Horn 3)&P2(F Horn 4)&P2(F Trumpet 1)&P8(F Trumpet 2),U(Flute 1)&P2(Flute 2)&P2(Oboe 2)&P5(F Horn 1)&P4(F Horn 2)&P2(F Horn 3)&P8(F Horn 4)&P8(F Trumpet 1)&P2(F Trumpet 2),P2(Flute 1)&U(Flute 2)&P2(Oboe 1)&P4(F Horn 1)&P3(F Horn 2)&P8(F Horn 3)&P2(F Horn 4)&P2(F Trumpet 1)&P8(F Trumpet 2),P5(A Clarinet 2),P5(A Clarinet 1),Main Part,,,P5(Flute 1)&P4(Flute 2)&P5(Oboe 1)&P4(Oboe 2)&P2(F Horn 2)&P4(F Horn 3)&P5(F Horn 4)&P5(F Trumpet 1)&P4(F Trumpet 2),P4(Flute 1)&P3(Flute 2)&P4(Oboe 1)&P3(Oboe 2)&P2(F Horn 1)&P3(F Horn 3)&P4(F Horn 4)&P4(F Trumpet 1)&P3(F Trumpet 2),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P4(F Horn 1)&P3(F Horn 2)&P2(F Horn 4)&P2(F Trumpet 1)&P8(F Trumpet 2),P8(Flute 1)&P2(Flute 2)&P8(Oboe 1)&P2(Oboe 2)&P5(F Horn 1)&P4(F Horn 2)&P2(F Horn 3)&P8(F Trumpet 1)&P2(F Trumpet 2),P8(Flute 1)&P2(Flute 2)&P8(Oboe 1)&P2(Oboe 2)&P5(F Horn 1)&P4(F Horn 2)&P2(F Horn 3)&P8(F Horn 4)&P2(F Trumpet 2),P2(Flute 1)&P8(Flute 2)&P2(Oboe 1)&P8(Oboe 2)&P4(F Horn 1)&P3(F Horn 2)&P8(F Horn 3)&P2(F Horn 4)&P2(F Trumpet 1),,,,,,,,,,,,
18.0,24.0,,,,,Main Part,,,,,,,,,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello 2)
24.0,42.0,Main Part,,,,,,,,,P6(F Horn 2)&P8(F Horn 3),P6(F Horn 1)&P6(F Horn 3),P8(F Horn 1)&P6(F Horn 2),,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello 2)
42.0,44.0,,,,,,,,,,Main Part,P6(Main)&P6(F Horn 3),P8(Main)&P6(F Horn 2),,,,,,,,,,,,,,P8(Contrabass),P8(Violoncello 2)
44.0,47.0,,,,,,,,,,P6(F Horn 2)&P8(F Horn 3),P6(F Horn 1)&P6(F Horn 3),P8(F Horn 1)&P6(F Horn 2),,Main Part,,,,,,,,,,,,P8(Contrabass),P8(Violoncello 2)
