qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,Eb Horn 3,Eb Horn 4,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,C6,C5,C6,C5,C6,C5,C4,C3,C1,C3,C2,r,r,C5,C4,C3,C6,C5,C5,C4,C2
0.5,0.625,1,1.3333,C6,C5,C6,C5,C6,C5,C4,C3,C1,C3,C2,r,r,C5,C4,C3,C6,C5,C5,C4,C2
1.0,1.25,1,1.6667,C6,C5,C6,C5,C6,C5,C4,C3,C1,C3,C2,r,r,C5,C4,C3,C6,C5,C5,C4,C2
1.5,1.875,1,2.0,B-5,G5,B-5,G5,B-5,G5,B-3,G3,C1,C3,C2,B-4,G4,C5,C4,C3,C6,C5,B-4,C4,C2
2.0,2.5,1,2.3333,B-5,G5,B-5,G5,B-5,G5,B-3,G3,C1,C3,C2,B-4,G4,r,r,C3,C6,C5,B-4,C4,C2
2.5,3.125,1,2.6667,B-5,G5,B-5,G5,B-5,G5,B-3,G3,C1,C3,C2,B-4,G4,r,r,C3,C#6,C#5,B-4,C#4,C2
3.0,3.75,2,1.0,A5,F#5,A5,F#5,A5,F#5,A3,F#3,C1,C3,C2,A4,F#4,r,r,C3,C#6,C#5,A4,C#4,C2
3.5,4.375,2,1.3333,A5,F#5,A5,F#5,A5,F#5,A3,F#3,C1,C3,C2,A4,F#4,r,r,C3,C#6,C#5,A4,C#4,C2
4.0,5.0,2,1.6667,A5,F#5,A5,F#5,A5,F#5,A3,F#3,C1,C3,C2,A4,F#4,r,r,C3,D6,D5,A4,D4,C2
4.5,5.625,2,2.0,G#5,F5,G#5,F5,G#5,F5,G#3,F3,C1,C3,C2,G#4,F4,r,r,C3,D6,D5,G#4,D4,C2
5.0,6.25,2,2.3333,G#5,F5,G#5,F5,G#5,F5,G#3,F3,C1,C3,C2,G#4,F4,r,r,C3,D6,D5,G#4,D4,C2
5.25,6.5625,2,2.5,G#5,F5,G#5,F5,G#5,F5,G#3,F3,C1,C3,C2,G#4,F4,r,r,C3,E-6,E-5,G#4,E-4,C2
5.5,6.875,2,2.6667,G#5,F5,G#5,F5,G#5,F5,G#3,F3,C1,C3,C2,F#4,E-4,r,r,C3,F6,F5,G#4,F4,C2
5.75,7.1875,2,2.8333,G#5,F5,G#5,F5,G#5,F5,G#3,F3,C1,C3,C2,F#4,E-4,r,r,C3,G6,G5,G#4,G4,C2
6.0,7.5,3,1.0,F5,D5,F5,D5,F5,D5,F3,D3,C1,C3,C2,F4,D4,r,r,C3,G6,G5,F4,G4,C2
6.5,8.125,3,1.3333,F5,D5,F5,D5,F5,D5,F3,D3,C1,C3,C2,F4,D4,r,r,C3,G6,G5,F4,G4,C2
7.0,8.75,3,1.6667,F5,D5,F5,D5,F5,D5,F3,D3,C1,C3,C2,F4,D4,r,r,C3,G#6,G#5,F4,G#4,C2
7.5,9.375,3,2.0,E-6,C6,E-5,C5,E-5,C5,E-3,C3,C1,C3,C2,E-4,E-3,r,r,C3,G#6,G#5,E-4,G#4,C2
8.0,10.0,3,2.3333,E-6,C6,E-5,C5,E-5,C5,E-3,C3,C1,C3,C2,E-4,E-3,r,r,C3,G#6,G#5,E-4,G#4,C2
8.5,10.625,3,2.6667,E-6,C6,E-5,C5,E-5,C5,E-3,C3,C1,C3,C2,E-4,E-3,r,r,C3,A6,A5,E-4,A4,C2
9.0,11.25,4,1.0,D6,B-5,D5,B-4,D5,B-4,D3,B-2,C1,C3,C2,D4,B-3,r,r,C3,A6,A5,D4,A4,C2
