qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Horn 3,F Horn 4,F Trumpet 1,F Trumpet 2,F Trumpet 3,Alto Trombone,Tenor Trombone,Bass Trombone,Bass Tuba,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,r,r,r,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
2.0,0.7229,2,1.0,r,r,r,r,r,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
3.0,1.0843,2,2.0,B-5,r,B-4,r,B-4,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
4.0,1.4458,3,1.0,B-5,r,B-4,r,B-4,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
5.0,1.8072,3,2.0,C6,r,B-4,r,C5,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
6.0,2.1687,4,1.0,D6,r,B-4,r,D5,r,r,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
7.0,2.5301,4,2.0,E-6,r,B-4,r,E-5,r,r,r,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
8.0,2.8916,5,1.0,F6,r,B-4,r,F5,r,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
9.0,3.253,5,2.0,E-6,r,B-4,r,E-5,r,r,r,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
9.5,3.4337,5,2.5,D6,r,B-4,r,D5,r,r,r,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
10.0,3.6145,6,1.0,C6,r,A4,r,C5,r,r,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
12.0,4.3373,7,1.0,r,r,r,r,r,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
14.0,5.0602,8,1.0,r,r,r,r,r,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
15.0,5.4217,8,2.0,B-5,r,B-4,r,B-4,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
16.0,5.7831,9,1.0,B-5,r,B-4,r,B-4,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
17.0,6.1446,9,2.0,C6,r,B-4,r,C5,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
18.0,6.506,10,1.0,D6,r,B-4,r,D5,r,r,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
19.0,6.8675,10,2.0,E-6,r,B-4,r,E-5,r,r,r,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
20.0,7.2289,11,1.0,G6,r,B-4,r,G5,r,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
20.5,7.4096,11,1.5,F6,r,B-4,r,F5,r,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
21.0,7.5904,11,2.0,E-6,r,B-4,r,E-5,r,r,r,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
21.5,7.7711,11,2.5,D6,r,B-4,r,D5,r,r,r,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
22.0,7.9518,12,1.0,C6,r,A4,r,C5,r,r,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
24.0,8.6747,13,1.0,r,r,r,r,r,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
26.0,9.3976,14,1.0,r,r,r,r,r,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
27.0,9.759,14,2.0,B-5,r,B-4,r,B-4,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
28.0,10.1205,15,1.0,B-5,r,B-4,r,B-4,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
28.5,10.3012,15,1.5,C6,r,B-4,r,C5,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
29.0,10.4819,15,2.0,D6,r,B-4,r,D5,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
29.5,10.6627,15,2.5,E-6,r,B-4,r,E-5,r,r,r,F#4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
30.0,10.8434,16,1.0,F6,r,B-4,r,F5,r,r,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
30.5,11.0241,16,1.5,F6,r,B-4,r,B-5,r,r,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
31.0,11.2048,16,2.0,F6,r,B-4,r,A5,r,r,r,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
31.5,11.3855,16,2.5,F6,r,B-4,r,G5,r,r,r,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
32.0,11.5663,17,1.0,F6,r,B-4,r,F5,r,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
32.5,11.747,17,1.5,F6,r,B-4,r,B-5,r,r,r,D4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
33.0,11.9277,17,2.0,F6,r,B-4,r,A5,r,r,r,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
33.5,12.1084,17,2.5,F6,r,B-4,r,G5,r,r,r,E-4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
34.0,12.2892,18,1.0,F6,r,r,r,F5,r,r,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
34.5,12.4699,18,1.5,E6,r,r,r,F5,r,r,r,F4,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
