qstamp,measure,beat,measure_fraction,label,part_name,part_num
0.0,1,1.0,0.0,a,Hn,10
3.0,2,1.0,0.0,a,Ob,2
10.5,4,2.0,0.5,a,Cl,4
17.5,6,2.6667,0.8333,a,Cl,4
23.5,8,2.6667,0.8333,b,Cl,4
36.0,13,1.0,0.0,a,Hn,8
42.0,15,1.0,0.0,a,Cl,4
48.0,17,1.0,0.0,a,Cl,4
54.0,19,1.0,0.0,a,Cl,4
56.5,19,2.6667,0.8333,a,Cl,4
63.0,22,1.0,0.0,a,Vln,15
66.0,23,1.0,0.0,a,Vln,15
67.5,23,2.0,0.5,a,Cl,4
70.5,24,2.0,0.5,a,Vln,15
73.5,25,2.0,0.5,b,Cl,4
87.0,30,1.0,0.0,c,Vln,15
93.0,32,1.0,0.0,c,Vln,15
106.5,36,2.0,0.5,c,Fl,1
108.0,37,1.0,0.0,c,Vln,15
109.5,37,2.0,0.5,c,Fl,1
111.0,38,1.0,0.0,c,Vln,15
114.0,39,1.0,0.0,d,Fl,0
117.0,40,1.0,0.0,d,Fl,0
120.0,41,1.0,0.0,d,Vc,18
132.0,45,1.0,0.0,d,Bsn,6
135.0,46,1.0,0.0,d,Vc,18
138.0,47,1.0,0.0,d,Bsn,6
141.0,48,1.0,0.0,d,Vc,18
147.0,50,1.0,0.0,d,Cl,4
148.5,50,2.0,0.5,d,Vln,15
150.0,51,1.0,0.0,d,Bsn,6
151.5,51,2.0,0.5,d,Vc,18
152.5,51,2.6667,0.8333,d,Vln,15
155.5,52,2.6667,0.8333,d,Vc,18
161.5,54,2.6667,0.8333,d,Fl,0
170.0,57,2.3333,0.6667,e,Vln,15
170.5,57,2.6667,0.8333,e,Fl,0
171.0,58,1.0,0.0,e,Vln,15
171.5,58,1.3333,0.1667,e,Fl,0
172.0,58,1.6667,0.3333,e,Vln,15
172.5,58,2.0,0.5,e,Vla,17
173.0,58,2.3333,0.6667,e,Vln,15
173.5,58,2.6667,0.8333,e,Vla,17
174.0,59,1.0,0.0,e,Vln,15
174.5,59,1.3333,0.1667,e,Vla,17
175.0,59,1.6667,0.3333,e,Vln,15
175.5,59,2.0,0.5,x,Hn,8
175.5,59,2.0,0.5,e,Vla,17
180.0,61,1.0,0.0,e,Vln,15
187.5,63,2.0,0.5,e,Fl,0
189.0,64,1.0,0.0,a,Vla,17
192.0,65,1.0,0.0,a,Vln,15
200.5,67,2.6667,0.8333,a,Vla,17
213.0,72,1.0,0.0,a,Hn,8
219.0,74,1.0,0.0,a,Fl,0
220.5,74,2.0,0.5,a,Vln,15
225.0,76,1.0,0.0,a,Vc,18
231.0,78,1.0,0.0,a,Vln,15
234.0,79,1.0,0.0,a,Cb,19
237.0,80,1.0,0.0,a,Fl,0
238.5,80,2.0,0.5,a,Vln,15
241.5,81,2.0,0.5,a,Fl,0
243.0,82,1.0,0.0,a,Vln,15
245.0,82,2.3333,0.6667,a,Hn,8
249.0,84,1.0,0.0,c,Vln,15
250.5,84,2.0,0.5,c,Vc,18
253.5,85,2.0,0.5,c,Vln,15
255.0,86,1.0,0.0,c,Vln,15
258.0,87,1.0,0.0,d,Bsn,6
261.0,88,1.0,0.0,d,Vln,15
273.0,92,1.0,0.0,d,Vln,16
276.0,93,1.0,0.0,d,Vln,15
279.0,94,1.0,0.0,d,Vc,18
282.0,95,1.0,0.0,d,Vln,15
286.0,96,1.6667,0.3333,d,Vln,16
287.5,96,2.6667,0.8333,d,Fl,0
303.0,102,1.0,0.0,d,Vla,17
306.0,103,1.0,0.0,a,Cl,4
317.5,106,2.6667,0.8333,b,Cl,4
323.5,108,2.6667,0.8333,b,Ob,2
329.0,110,2.3333,0.6667,b,Cl,4
336.0,113,1.0,0.0,a,Hn,10
339.0,114,1.0,0.0,a,Hn,10
342.0,115,1.0,0.0,a,Hn,10
345.0,116,1.0,0.0,a,Hn,10
