score_qstamp,qstamp,measure,beat,736441_tstamp,729167_tstamp,711707_tstamp,723421_tstamp
0.0,0.0,1,3.875,2.58,2.38,2.44,2.62
0.125,0.125,2,1.0,3.2794,3.5218,5.026,3.9334
1.625,1.625,2,2.5,7.2014,6.6214,7.6614,6.2014
2.125,2.125,2,3.0,8.0628,7.5157,8.4557,7.0957
2.625,2.625,2,3.5,8.81,8.24,9.21,8.07
3.125,3.125,3,1.0,9.6843,9.0043,9.9843,9.0443
4.125,4.125,3,2.0,11.4929,10.4529,11.6529,10.8129
5.125,5.125,3,3.0,13.2014,11.8814,13.1214,12.2614
6.125,6.125,4,1.0,15.09,13.31,14.65,13.85
7.625,7.625,4,2.5,17.4929,15.3929,16.8129,16.3129
8.125,8.125,4,3.0,18.3671,16.1871,17.5871,17.1426
8.625,8.625,4,3.5,19.2014,16.9614,18.3214,18.1614
9.125,9.125,5,1.0,20.0557,17.6757,19.0957,18.8914
10.125,10.125,5,2.0,21.8243,19.1643,20.6443,20.7843
10.625,10.625,5,2.5,22.5386,19.973,21.4586,21.4986
11.0,11.0,5,2.875,23.2743,20.5543,22.1343,22.1543
11.125,11.125,5,3.0,23.4529,20.7329,22.3129,22.3329
11.5,11.5,5,3.375,24.0486,21.3086,22.9286,22.9086
11.625,11.625,5,3.5,24.2342,21.4671,23.1342,23.1071
12.0,12.0,5,3.875,24.8229,22.1229,23.7629,23.6429
12.125,12.125,6,1.0,25.1614,22.3214,24.0214,24.0014
13.625,13.625,6,2.5,28.3843,24.4643,26.4243,26.3443
14.125,14.125,6,3.0,29.1186,25.3372,27.1386,27.4186
14.625,14.625,6,3.5,29.9116,26.2374,27.8529,28.2129
15.125,15.125,7,1.0,31.0671,27.1426,28.6271,29.2684
16.125,16.125,7,2.0,32.9357,28.6557,30.0957,30.8357
17.125,17.125,7,3.0,34.8043,30.2286,31.5843,32.5501
18.125,18.125,8,1.0,36.6529,32.0329,33.1329,34.1529
19.0,19.0,8,1.875,38.0829,33.1229,34.4429,35.5629
19.125,19.125,8,2.0,38.2414,33.2414,34.6214,35.7014
19.5,19.5,8,2.375,38.9571,33.9371,35.2771,36.3771
19.625,19.625,8,2.5,39.1957,34.1157,35.4557,36.5557
20.125,20.125,8,3.0,40.41,35.07,36.25,37.45
20.2917,20.2917,8,3.1667,40.6481,35.3081,36.5081,37.7443
20.4583,20.4583,8,3.3333,40.8983,35.5261,36.7522,38.0061
20.625,20.625,8,3.5,41.1972,35.7686,37.0043,38.2443
20.7917,20.7917,8,3.6667,41.5648,36.0224,37.2424,38.592
20.9583,20.9583,8,3.8333,41.8204,36.2804,37.4804,38.9004
21.125,21.125,9,1.0,42.2386,36.5586,37.7786,39.2986
21.625,21.625,9,1.5,42.9529,37.3129,38.6129,40.3729
22.125,22.125,9,2.0,43.6871,38.2071,39.3271,41.3471
22.625,22.625,9,2.5,44.7614,39.0614,40.2614,42.3214
23.125,23.125,9,3.0,45.5114,39.7757,40.9957,43.0357
23.625,23.625,9,3.5,46.47,40.73,41.85,44.01
24.125,24.125,10,1.0,47.4729,41.5243,42.7273,45.0529
25.0,25.0,10,1.875,49.7143,43.0343,44.3143,46.8743
25.125,25.125,10,2.0,49.8929,43.2129,44.4929,47.0529
26.125,26.125,10,3.0,51.4014,44.6414,45.9214,48.4814
26.625,26.625,10,3.5,52.1157,45.4557,46.8471,49.2557
27.125,27.125,11,1.0,53.36,46.27,47.67,50.22
28.0,28.0,11,1.875,55.56,47.8,49.36,51.88
28.125,28.125,11,2.0,55.7386,47.9786,49.5386,52.0586
29.125,29.125,11,3.0,57.1671,49.4742,51.0071,53.6871
29.625,29.625,11,3.5,57.9814,50.2214,51.7414,54.4014
30.125,30.125,12,1.0,58.9757,51.1185,52.5671,55.4185
