qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,D Horn 1,D Horn 2,D Trumpet 1,D Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,10.625,P8(A Clarinet 1),P8(A Clarinet 2),Main Part,,P8(Flute 1),P8(Flute 2),,,P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&U(Violin 1)&U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(Timpani)&U(Violin 1)&U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(D Horn 1)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&U(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&U(Violin 1)&U(Viola)&P8(Violoncello)&P8(Contrabass),U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&U(Violin 1)&U(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(D Horn 1)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
10.625,12.0,Main Part,P8(A Clarinet 2)&P8(Bassoon 2),P8(Oboe 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&U(Violin 1)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Oboe 1)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Main)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),P8(Oboe 1)&U(Oboe 2)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Oboe 1)&P8(Oboe 2)&P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),U(Oboe 1)&P8(Oboe 2)&P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2)&P8(Timpani)&U(Violin 1)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Oboe 1)&U(Oboe 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&U(Viola)&P8(Violoncello)&P8(Contrabass),P8(Oboe 1)&P8(Oboe 2)&P8(D Horn 1)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&U(Violoncello)&P8(Contrabass),U(Oboe 1)&P8(Oboe 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&U(Violin 2)&P8(Viola)&P8(Violoncello)&P8(Contrabass),U(Oboe 1)&P8(Oboe 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&U(Violin 1)&P8(Viola)&P8(Violoncello)&P8(Contrabass),P8(Oboe 1)&U(Oboe 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Violoncello)&P8(Contrabass),P8(Oboe 1)&P8(Oboe 2)&P8(D Horn 1)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Contrabass),P8(Oboe 1)&P8(Oboe 2)&P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani)&P8(Violin 1)&P8(Violin 2)&P8(Viola)&P8(Violoncello)
12.0,21.125,P8(Bassoon 1),,,,,,P8(Flute 1),,P8(D Horn 2),P8(D Horn 1),P8(D Trumpet 2)&P8(Timpani),P8(D Trumpet 1)&P8(Timpani),P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
21.125,25.0,,,P2(Oboe 2)&P4(Bassoon 1)&P4(Bassoon 2),P2(Oboe 1)&P3(Bassoon 1)&P5(Bassoon 2),,,P4(Oboe 1)&P3(Oboe 2)&P7(Bassoon 2),P4(Oboe 1)&P5(Oboe 2)&P7(Bassoon 1),P8(D Horn 2),P8(D Horn 1),,,,Main Part,P8(Main),,P8(Contrabass),P8(Violoncello)
25.0,26.625,U(Flute 2),U(Flute 1),Main Part,,,,,P4(Main),P8(D Horn 2)&P4(Viola)&P4(Violoncello)&P4(Contrabass),P8(D Horn 1)&P4(Viola)&P4(Violoncello)&P4(Contrabass),,,,U(Violin 2),U(Violin 1),P4(D Horn 1)&P4(D Horn 2)&P8(Violoncello)&P8(Contrabass),P4(D Horn 1)&P4(D Horn 2)&P8(Viola)&P8(Contrabass),P4(D Horn 1)&P4(D Horn 2)&P8(Viola)&P8(Violoncello)
26.625,28.0,Main Part,U(Main),P2(Oboe 2)&P4(Bassoon 1)&P3(Bassoon 2),P2(Oboe 1)&P3(Bassoon 1)&P4(Bassoon 2),,,P4(Oboe 1)&P3(Oboe 2)&P6(Bassoon 2),P3(Oboe 1)&P4(Oboe 2)&P6(Bassoon 1),U(D Horn 2)&P4(Viola)&P3(Violoncello)&P3(Contrabass),U(D Horn 1)&P4(Viola)&P3(Violoncello)&P3(Contrabass),,,,,,P4(D Horn 1)&P4(D Horn 2)&P6(Violoncello)&P6(Contrabass),P3(D Horn 1)&P3(D Horn 2)&P6(Viola)&P8(Contrabass),P3(D Horn 1)&P3(D Horn 2)&P6(Viola)&P8(Violoncello)
28.0,29.625,U(Flute 2)&P8(Violin 1),U(Flute 1)&P8(Violin 1),Main Part,,,,,,U(D Horn 2)&P4(Viola)&P3(Violoncello)&P3(Contrabass),U(D Horn 1)&P4(Viola)&P3(Violoncello)&P3(Contrabass),,,,P8(Flute 1)&P8(Flute 2),,P4(D Horn 1)&P4(D Horn 2)&P6(Violoncello)&P6(Contrabass),P3(D Horn 1)&P3(D Horn 2)&P6(Viola)&P8(Contrabass),P3(D Horn 1)&P3(D Horn 2)&P6(Viola)&P8(Violoncello)
29.625,31.0,Main Part,U(Main)&P8(Violin 1),P2(Oboe 2)&P4(Bassoon 1)&P6(Bassoon 2),P2(Oboe 1)&P3(Bassoon 1)&P5(Bassoon 2),,,P4(Oboe 1)&P3(Oboe 2)&P3(Bassoon 2),P6(Oboe 1)&P5(Oboe 2)&P3(Bassoon 1),U(D Horn 2)&P3(Viola)&P5(Violoncello)&P5(Contrabass),U(D Horn 1)&P3(Viola)&P5(Violoncello)&P5(Contrabass),,,,P8(Main)&P8(Flute 2),,P3(D Horn 1)&P3(D Horn 2)&P3(Violoncello)&P3(Contrabass),P5(D Horn 1)&P5(D Horn 2)&P3(Viola)&P8(Contrabass),P5(D Horn 1)&P5(D Horn 2)&P3(Viola)&P8(Violoncello)
31.0,33.125,,P8(Violin 1),Main Part,,P8(A Clarinet 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P8(A Clarinet 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),,,P8(D Horn 2),P8(D Horn 1),U(A Clarinet 1)&P8(A Clarinet 2)&P8(D Trumpet 2)&P8(Timpani),P8(A Clarinet 1)&P8(A Clarinet 2)&P8(D Trumpet 1)&P8(Timpani),P8(A Clarinet 1)&P8(A Clarinet 2)&P8(D Trumpet 1)&P8(D Trumpet 2),P8(Flute 2),,,P8(Contrabass),P8(Violoncello)
33.125,36.125,P8(Bassoon 1),U(Oboe 1)&P6(Oboe 2)&P6(A Clarinet 1)&P6(A Clarinet 2)&P8(Bassoon 2)&P6(D Horn 1)&P6(D Horn 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(Timpani),U(Flute 2)&P6(Oboe 2)&P6(A Clarinet 1)&P6(A Clarinet 2)&P8(Bassoon 2)&P6(D Horn 1)&P6(D Horn 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(Timpani),P6(Flute 2)&P6(Oboe 1)&U(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P6(Flute 2)&P6(Oboe 1)&U(Oboe 2)&P8(A Clarinet 2)&P6(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&U(D Trumpet 1)&P8(D Trumpet 2)&P8(Timpani),P6(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P6(Bassoon 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani),P8(Flute 1),P8(Flute 2)&P8(Oboe 1)&P6(Oboe 2)&P6(A Clarinet 1)&P6(A Clarinet 2)&P6(D Horn 1)&P6(D Horn 2)&P6(D Trumpet 1)&P6(D Trumpet 2)&P6(Timpani),P6(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P6(Bassoon 2)&P8(D Horn 2)&P8(D Trumpet 1)&U(D Trumpet 2)&P8(Timpani),P6(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 2)&P8(D Horn 1)&P8(D Trumpet 1)&P8(D Trumpet 2)&U(Timpani),P6(Flute 2)&P6(Oboe 1)&U(Oboe 2)&U(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 2)&P8(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 2)&P8(Timpani),P6(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&U(A Clarinet 2)&P6(Bassoon 2)&U(D Horn 1)&P8(D Horn 2)&P8(D Trumpet 1)&P8(Timpani),P6(Flute 2)&P6(Oboe 1)&P8(Oboe 2)&P8(A Clarinet 1)&P8(A Clarinet 2)&P6(Bassoon 2)&P8(D Horn 1)&U(D Horn 2)&P8(D Trumpet 1)&P8(D Trumpet 2),Main Part,,,P8(Contrabass),P8(Violoncello)
