qstamp,tstamp,measure,beat,Traverso 1,Traverso 2,Oboe d’amore 1,Oboe d’amore 2,Bassoon,Violin 1,Violin 2,Viola,Soprano,Alto,Tenor,Bass,Continuo
258.0,90.0,33,2.0,E5,E5,E5,F#4,E3,E5,F#4,C#4,E5,F#4,C#4,E3,E2
259.0,90.3488,33,2.5,D5,D5,D5,G#4,E3,D5,G#4,B3,D5,G#4,B3,E3,E2
260.0,90.6977,33,3.0,C#5,C#5,C#5,A4,A2,C#5,A4,A3,C#5,A4,A3,A2,A2
261.0,91.0465,33,3.5,A4,A4,A4,G4,A3,A4,G4,A3,A4,G4,A3,A3,A3
262.0,91.3953,33,4.0,B4,B4,B4,F#4,A3,B4,F#4,A3,B4,F#4,A3,A3,A3
263.0,91.7442,33,4.5,C#5,C#5,C#5,E4,G3,C#5,E4,A3,C#5,E4,A3,G3,G3
264.0,92.093,34,1.0,D5,D5,D5,D4,F#3,D5,D4,A3,D5,D4,A3,F#3,F#3
265.0,92.4419,34,1.5,C#5,C#5,C#5,D4,D3,C#5,D4,A3,C#5,D4,A3,D3,D3
266.0,92.7907,34,2.0,B4,B4,B4,D4,E3,B4,D4,G3,B4,D4,G3,E3,E3
267.0,93.1395,34,2.5,B-4,B-4,B-4,D4,F#3,B-4,D4,F#3,B-4,D4,F#3,F#3,F#3
268.0,93.4884,34,3.0,B4,B4,B4,D4,G3,B4,D4,B3,B4,D4,B3,G3,G3
269.0,93.8372,34,3.5,E5,E5,E5,E4,G3,E5,E4,B3,E5,E4,B3,G3,G3
270.0,94.186,34,4.0,D5,D5,D5,F#4,F#3,D5,F#4,B3,D5,F#4,B3,F#3,F#3
271.0,94.5349,34,4.5,C#5,C#5,C#5,G4,E3,C#5,G4,B3,C#5,G4,B3,E3,E3
272.0,94.8837,35,1.0,D5,D5,D5,F#4,F#3,D5,F#4,B3,D5,F#4,B3,F#3,F#3
274.0,95.5814,35,2.0,C#5,C#5,C#5,r,F#2,C#5,r,B-3,C#5,r,B-3,F#2,F#2
276.0,96.2791,35,3.0,B4,B4,B4,F#4,B2,B4,F#4,D4,B4,F#4,D4,B2,B2
278.0,96.9767,35,4.0,r,r,r,G4,r,r,G4,r,r,G4,r,r,B3
280.0,97.6744,36,1.0,r,r,r,F4,r,r,F4,C#4,r,F4,C#4,r,B3
281.0,98.0233,36,1.5,r,r,r,F4,r,r,F4,C#4,r,F4,C#4,r,A3
282.0,98.3721,36,2.0,r,r,r,F4,r,r,F4,D4,r,F4,D4,r,G#3
283.0,98.7209,36,2.5,r,r,r,F#4,r,r,F#4,D4,r,F#4,D4,r,F#3
284.0,99.0698,36,3.0,r,r,r,G#4,r,r,G#4,C4,r,G#4,C4,r,F#3
285.0,99.4186,36,3.5,r,r,r,F#4,r,r,F#4,C4,r,F#4,C4,r,E-3
286.0,99.7674,36,4.0,r,r,r,G#4,r,r,G#4,C4,r,G#4,C4,r,E3
287.0,100.1163,36,4.5,r,r,r,A4,r,r,A4,C#4,r,A4,C#4,r,C#3
288.0,100.4651,37,1.0,r,r,r,B4,r,r,B4,E-4,r,B4,E-4,r,G#3
289.0,100.814,37,1.5,r,r,r,B4,r,r,B4,C#4,r,B4,C#4,r,G#3
290.0,101.1628,37,2.0,r,r,r,A4,r,r,A4,E-4,r,A4,E-4,r,C#4
291.0,101.5116,37,2.5,r,r,r,G#4,r,r,G#4,F4,r,G#4,F4,r,C#4
292.0,101.8605,37,3.0,r,r,r,A4,r,r,A4,F#4,r,A4,F#4,r,C#4
293.0,102.2093,37,3.5,r,r,r,A4,r,r,A4,F#4,r,A4,F#4,r,C#3
294.0,102.5581,37,4.0,r,r,r,G#4,r,r,G#4,E4,r,G#4,E4,r,C#4
295.0,102.907,37,4.5,r,r,r,G#4,r,r,G#4,E-4,r,G#4,E-4,r,B3
296.0,103.2558,38,1.0,r,r,r,F#4,r,r,F#4,E4,r,F#4,E4,r,B-3
297.0,103.6047,38,1.5,r,r,r,F#4,r,r,F#4,E4,r,F#4,E4,r,F#3
298.0,103.9535,38,2.0,r,r,r,C#5,r,r,C#5,D4,r,C#5,D4,r,G#3
299.0,104.3023,38,2.5,r,r,r,C#5,r,r,C#5,C#4,r,C#5,C#4,r,B-3
300.0,104.6512,38,3.0,r,r,r,C#5,r,r,C#5,D4,r,C#5,D4,r,B3
301.0,105.0,38,3.5,r,r,r,F#4,r,r,F#4,D4,r,F#4,D4,r,B2
302.0,105.3488,38,4.0,r,r,r,G#4,r,r,G#4,D4,r,G#4,D4,r,B3
303.0,105.6977,38,4.5,r,r,r,A4,r,r,A4,D4,r,A4,D4,r,A3
304.0,106.0465,39,1.0,r,r,r,B4,r,r,B4,D4,r,B4,D4,r,G#3
305.0,106.3953,39,1.5,r,r,r,B4,r,r,B4,G#3,r,B4,G#3,r,E3
306.0,106.7442,39,2.0,r,r,r,B4,r,r,B4,A3,r,B4,A3,r,F#3
307.0,107.093,39,2.5,r,r,r,B4,r,r,B4,B3,r,B4,B3,r,G#3
308.0,107.4419,39,3.0,r,r,r,B4,r,r,B4,C#4,r,B4,C#4,r,A3
309.0,107.7907,39,3.5,r,r,r,E4,r,r,E4,C#4,r,E4,C#4,r,A2
310.0,108.1395,39,4.0,r,r,r,F#4,r,r,F#4,C#4,r,F#4,C#4,r,A3
311.0,108.4884,39,4.5,r,r,r,G4,r,r,G4,C#4,r,G4,C#4,r,G3
312.0,108.8372,40,1.0,r,r,r,A4,r,r,A4,C#4,r,A4,C#4,r,F#3
313.0,109.186,40,1.5,r,r,r,A4,r,r,A4,F#3,r,A4,F#3,r,D3
314.0,109.5349,40,2.0,r,r,r,A4,r,r,A4,G3,r,A4,G3,r,E3
315.0,109.8837,40,2.5,r,r,r,A4,r,r,A4,A3,r,A4,A3,r,F#3
316.0,110.2326,40,3.0,B4,B4,B4,A4,r,B4,A4,B3,B4,A4,B3,r,G3
317.0,110.5814,40,3.5,B4,B4,B4,D4,r,B4,D4,B3,B4,D4,B3,r,G3
318.0,110.9302,40,4.0,C5,C5,C5,G4,r,C5,G4,E4,C5,G4,E4,r,F#3
319.0,111.2791,40,4.5,C5,C5,C5,G4,r,C5,G4,E4,C5,G4,E4,r,E3
320.0,111.6279,41,1.0,B-4,B-4,B-4,F#4,F#3,B-4,F#4,E4,B-4,F#4,E4,F#3,F#3
322.0,112.3256,41,2.0,B-4,B-4,B-4,r,G3,B-4,r,D4,B-4,r,D4,G3,B2
323.0,112.6744,41,2.5,B4,B4,B4,r,G3,B4,r,D4,B4,r,D4,G3,B2
324.0,113.0233,41,3.0,C#5,C#5,C#5,G#4,F3,C#5,G#4,C#4,C#5,G#4,C#4,F3,B2
325.0,113.3721,41,3.5,B4,B4,B4,G#4,F3,B4,G#4,C#4,B4,G#4,C#4,F3,B2
326.0,113.7209,41,4.0,C#5,C#5,C#5,A4,F3,C#5,A4,C#4,C#5,A4,C#4,F3,A2
327.0,114.0698,41,4.5,D5,D5,D5,A4,F#3,D5,A4,C#4,D5,A4,C#4,F#3,A2
328.0,114.4186,42,1.0,E5,E5,E5,B4,G#3,E5,B4,B3,E5,B4,B3,G#3,G#2
329.0,114.7674,42,1.5,E5,E5,E5,B4,F#3,E5,B4,A3,E5,B4,A3,F#3,F#2
330.0,115.1163,42,2.0,D5,D5,D5,F#4,G#3,D5,F#4,B3,D5,F#4,B3,G#3,G#2
331.0,115.4651,42,2.5,C#5,C#5,C#5,F#4,B-3,C#5,F#4,C#4,C#5,F#4,C#4,B-3,B-2
332.0,115.814,42,3.0,D5,D5,D5,F#4,B3,D5,F#4,F#3,D5,F#4,F#3,B3,B2
333.0,116.1628,42,3.5,D5,D5,D5,F#4,B3,D5,F#4,G#3,D5,F#4,G#3,B3,B2
334.0,116.5116,42,4.0,C#5,C#5,C#5,F#4,A3,C#5,F#4,A3,C#5,F#4,A3,A3,A2
335.0,116.8605,42,4.5,C#5,C#5,C#5,F#4,G#3,C#5,F#4,F#3,C#5,F#4,F#3,G#3,G#2
336.0,117.2093,43,1.0,B4,B4,B4,F#4,A3,B4,F#4,E-3,B4,F#4,E-3,A3,A2
337.0,117.5581,43,1.5,r,r,r,C#5,A3,r,C#5,E-3,r,C#5,E-3,A3,A2
338.0,117.907,43,2.0,r,r,r,C#5,G#3,r,C#5,F3,r,C#5,F3,G#3,G#2
339.0,118.2558,43,2.5,r,r,r,B4,G#3,r,B4,F3,r,B4,F3,G#3,G#2
340.0,118.6047,43,3.0,r,r,r,B-4,F#3,r,B-4,F#3,r,B-4,F#3,F#3,F#2
341.0,118.9535,43,3.5,F#5,F#5,F#5,F#4,F#3,F#5,F#4,F#3,F#5,F#4,F#3,F#3,F#2
342.0,119.3023,43,4.0,F#5,F#5,F#5,G#4,r,F#5,G#4,r,F#5,G#4,r,r,r
343.0,119.6512,43,4.5,E5,E5,E5,B-4,r,E5,B-4,r,E5,B-4,r,r,r
344.0,120.0,44,1.0,E-5,E-5,E-5,B4,r,E-5,B4,r,E-5,B4,r,r,r
345.0,120.3488,44,1.5,B4,B4,B4,A4,B3,B4,A4,r,B4,A4,r,B3,B3
346.0,120.6977,44,2.0,C#5,C#5,C#5,G#4,B3,C#5,G#4,r,C#5,G#4,r,B3,B3
347.0,121.0465,44,2.5,E-5,E-5,E-5,F#4,A3,E-5,F#4,r,E-5,F#4,r,A3,A3
348.0,121.3953,44,3.0,E5,E5,E5,E4,G#3,E5,E4,r,E5,E4,r,G#3,G#3
349.0,121.7442,44,3.5,D5,D5,D5,E4,E3,D5,E4,E4,D5,E4,E4,E3,E3
350.0,122.093,44,4.0,C#5,C#5,C#5,E4,F#3,C#5,E4,E4,C#5,E4,E4,F#3,F#3
351.0,122.4419,44,4.5,B4,B4,B4,E4,G#3,B4,E4,D4,B4,E4,D4,G#3,G#3
352.0,122.7907,45,1.0,C#5,C#5,C#5,E4,A3,C#5,E4,C#4,C#5,E4,C#4,A3,A3
353.0,123.1395,45,1.5,C#5,C#5,C#5,E4,F#3,C#5,E4,A3,C#5,E4,A3,F#3,F#3
354.0,123.4884,45,2.0,C#5,C#5,C#5,E4,G#3,C#5,E4,B3,C#5,E4,B3,G#3,G#3
355.0,123.8372,45,2.5,C#5,C#5,C#5,E4,B-3,C#5,E4,C#4,C#5,E4,C#4,B-3,B-3
356.0,124.186,45,3.0,C#5,C#5,C#5,D4,B3,C#5,D4,D4,C#5,D4,D4,B3,B3
357.0,124.5349,45,3.5,F#4,F#4,F#4,D4,A3,F#4,D4,C#4,F#4,D4,C#4,A3,A3
358.0,124.8837,45,4.0,B4,B4,B4,D4,G#3,B4,D4,B3,B4,D4,B3,G#3,G#3
359.0,125.2326,45,4.5,B4,B4,B4,D4,F#3,B4,D4,A3,B4,D4,A3,F#3,F#3
360.0,125.5814,46,1.0,B4,B4,B4,C#4,F3,B4,C#4,G#3,B4,C#4,G#3,F3,F3
361.0,125.9302,46,1.5,D5,D5,D5,F4,C#3,D5,F4,B3,D5,F4,B3,C#3,C#3
362.0,126.2791,46,2.0,C#5,C#5,C#5,F#4,E-3,C#5,F#4,A3,C#5,F#4,A3,E-3,E-3
363.0,126.6279,46,2.5,B4,B4,B4,G#4,F3,B4,G#4,G#3,B4,G#4,G#3,F3,F3
364.0,126.9767,46,3.0,A4,A4,A4,A4,F#3,A4,A4,F#3,A4,A4,F#3,F#3,F#3
365.0,127.3256,46,3.5,C#5,C#5,C#5,F#4,E3,C#5,F#4,F#3,C#5,F#4,F#3,E3,E3
366.0,127.6744,46,4.0,F#5,F#5,F#5,C5,E-3,F#5,C5,A3,F#5,C5,A3,E-3,E-3
367.0,128.0233,46,4.5,F#5,F#5,F#5,C#5,C#3,F#5,C#5,A3,F#5,C#5,A3,C#3,C#3
368.0,128.3721,47,1.0,F#5,F#5,F#5,E-5,C3,F#5,E-5,G#3,F#5,E-5,G#3,C3,C3
369.0,128.7209,47,1.5,E-5,E-5,E-5,E-5,C3,E-5,E-5,G#3,E-5,E-5,G#3,C3,C3
370.0,129.0698,47,2.0,E5,E5,E5,G#4,C#3,E5,G#4,C#4,E5,G#4,C#4,C#3,C#3
371.0,129.4186,47,2.5,C#5,C#5,C#5,G#4,C#3,C#5,G#4,E4,C#5,G#4,E4,C#3,C#3
372.0,129.7674,47,3.0,C#5,C#5,C#5,G#4,G#3,C#5,G#4,E-4,C#5,G#4,E-4,G#3,G#3
373.0,130.1163,47,3.5,B-4,B-4,B-4,G#4,G#3,B-4,G#4,E4,B-4,G#4,E4,G#3,G#3
374.0,130.4651,47,4.0,C5,C5,C5,G#4,G#2,C5,G#4,F#4,C5,G#4,F#4,G#2,G#2
376.0,131.1628,48,1.0,C#5,C#5,C#5,G#4,C#3,C#5,G#4,E4,C#5,G#4,E4,C#3,C#3
377.0,131.5116,48,1.5,C#5,C#5,C#5,G#4,D3,C#5,G#4,E4,C#5,G#4,E4,C#3,D3
378.0,131.8605,48,2.0,E5,E5,E5,C#5,C#3,E5,C#5,G#4,E5,C#5,G#4,C#3,C#3
379.0,132.2093,48,2.5,E5,E5,E5,C#5,B2,E5,C#5,G#3,E5,C#5,G#3,B2,B2
380.0,132.5581,48,3.0,E5,E5,E5,F#4,B-2,E5,F#4,C#4,E5,F#4,C#4,B-2,B-2
381.0,132.907,48,3.5,E5,E5,E5,F#4,C#3,E5,F#4,B-3,E5,F#4,B-3,B-2,C#3
382.0,133.2558,48,4.0,D5,D5,D5,G#4,F#2,D5,G#4,B3,D5,G#4,B3,F#2,F#2
383.0,133.6047,48,4.5,C#5,C#5,C#5,B-4,F#2,C#5,B-4,C#4,C#5,B-4,C#4,F#2,F#2
384.0,133.9535,49,1.0,B4,B4,B4,B4,F#3,B4,B4,D4,B4,B4,D4,F#3,F#3
386.0,134.6512,49,2.0,B-4,B-4,B-4,C#5,F#3,B-4,C#5,C#4,B-4,C#5,C#4,F#3,F#3
387.0,135.0,49,2.5,B-4,B-4,B-4,C#5,E3,B-4,C#5,C#4,B-4,C#5,C#4,E3,E3
388.0,135.3488,49,3.0,B4,B4,B4,F#4,D3,B4,F#4,B3,B4,F#4,B3,D3,D3
389.0,135.6977,49,3.5,B4,B4,B4,F#4,C#3,B4,F#4,B3,B4,F#4,B3,C#3,C#3
390.0,136.0465,49,4.0,D5,D5,D5,F#4,B2,D5,F#4,F#4,D5,F#4,F#4,B2,B2
391.0,136.3953,49,4.5,D5,D5,D5,B3,A2,D5,B3,D4,D5,B3,D4,A2,A2
392.0,136.7442,50,1.0,D5,D5,D5,B4,G#2,D5,B4,E4,D5,B4,E4,G#2,G#2
393.0,137.093,50,1.5,D5,D5,D5,G#4,B2,D5,G#4,E4,D5,G#4,E4,B2,B2
394.0,137.4419,50,2.0,C#5,C#5,C#5,A4,E2,C#5,A4,E4,C#5,A4,E4,C#3,E2
395.0,137.7907,50,2.5,B4,B4,B4,B4,E2,B4,B4,D4,B4,B4,D4,D3,E2
396.0,138.1395,50,3.0,A4,A4,A4,C#5,E3,A4,C#5,C#4,A4,C#5,C#4,E3,E3
397.0,138.4884,50,3.5,A4,A4,A4,C#5,E3,A4,C#5,D4,A4,C#5,D4,E3,E3
398.0,138.8372,50,4.0,G#4,G#4,G#4,B4,E3,G#4,B4,E4,G#4,B4,E4,E3,E3
399.0,139.186,50,4.5,G#4,G#4,G#4,B4,D3,G#4,B4,E4,G#4,B4,E4,D3,D3
400.0,139.5349,51,1.0,A4,A4,A4,A4,C#3,A4,A4,E4,A4,A4,E4,C#3,C#3
401.0,139.8837,51,1.5,A5,A5,A5,A4,E3,A5,A4,E4,A5,A4,E4,E3,C#3
402.0,140.2326,51,2.0,A5,A5,A5,r,A2,A5,r,r,A5,r,r,A2,C#4
403.0,140.5814,51,2.5,G#5,G#5,G#5,r,A2,G#5,r,r,G#5,r,r,A2,C#4
404.0,140.9302,51,3.0,G5,G5,G5,r,r,G5,r,r,G5,r,r,r,C#4
405.0,141.2791,51,3.5,E-5,E-5,E-5,E-5,r,E-5,E-5,r,E-5,E-5,r,r,C4
406.0,141.6279,51,4.0,F5,F5,F5,E-5,r,F5,E-5,r,F5,E-5,r,r,C#4
407.0,141.9767,51,4.5,G5,G5,G5,C#5,r,G5,C#5,r,G5,C#5,r,r,E-4
408.0,142.3256,52,1.0,G#5,G#5,G#5,C5,r,G#5,C5,r,G#5,C5,r,r,G#3
409.0,142.6744,52,1.5,F#5,F#5,F#5,G#4,r,F#5,G#4,G#4,F#5,G#4,G#4,r,G#3
410.0,143.0233,52,2.0,F5,F5,F5,B-4,r,F5,B-4,G#4,F5,B-4,G#4,r,r
411.0,143.3721,52,2.5,E-5,E-5,E-5,C5,r,E-5,C5,F#4,E-5,C5,F#4,r,r
412.0,143.7209,52,3.0,C#5,C#5,C#5,C#5,r,C#5,C#5,F4,C#5,C#5,F4,r,r
413.0,144.0698,52,3.5,C#5,C#5,C#5,B4,C#4,C#5,B4,C#4,C#5,B4,C#4,C#4,C#4
414.0,144.4186,52,4.0,C#5,C#5,C#5,B-4,C#4,C#5,B-4,E-4,C#5,B-4,E-4,C#4,C#4
415.0,144.7674,52,4.5,C#5,C#5,C#5,G#4,B3,C#5,G#4,F4,C#5,G#4,F4,B3,B3
416.0,145.1163,53,1.0,C#5,C#5,C#5,F#4,B-3,C#5,F#4,F#4,C#5,F#4,F#4,B-3,B-3
417.0,145.4651,53,1.5,F#5,F#5,F#5,F#4,F#3,F#5,F#4,B-3,F#5,F#4,B-3,F#3,F#3
418.0,145.814,53,2.0,F#5,F#5,F#5,F#4,G#3,F#5,F#4,B3,F#5,F#4,B3,G#3,G#3
419.0,146.1628,53,2.5,E5,E5,E5,F#4,B-3,E5,F#4,C#4,E5,F#4,C#4,B-3,B-3
420.0,146.5116,53,3.0,E-5,E-5,E-5,F#4,B3,E-5,F#4,C#4,E-5,F#4,C#4,B3,B3
421.0,146.8605,53,3.5,E-5,E-5,E-5,F#4,A3,E-5,F#4,F#3,E-5,F#4,F#3,A3,A3
422.0,147.2093,53,4.0,D5,D5,D5,F4,G#3,D5,F4,B3,D5,F4,B3,G#3,G#3
423.0,147.5581,53,4.5,D5,D5,D5,F#4,F#3,D5,F#4,B3,D5,F#4,B3,F#3,F#3
424.0,147.907,54,1.0,C#5,C#5,C#5,G#4,F3,C#5,G#4,B3,C#5,G#4,B3,F3,F3
425.0,148.2558,54,1.5,C#5,C#5,C#5,G#4,C#3,C#5,G#4,B3,C#5,G#4,B3,C#3,C#3
426.0,148.6047,54,2.0,C#5,C#5,C#5,F#4,F#3,C#5,F#4,A3,C#5,F#4,A3,F#3,F#3
427.0,148.9535,54,2.5,C#5,C#5,C#5,F#4,F#3,C#5,F#4,A3,C#5,F#4,A3,F#3,E3
428.0,149.3023,54,3.0,F#4,F#4,F#4,B4,F#3,F#4,B4,D4,F#4,B4,D4,F#3,D3
429.0,149.6512,54,3.5,F#4,F#4,F#4,B4,F#3,F#4,B4,D4,F#4,B4,D4,F#3,C#3
430.0,150.0,54,4.0,r,r,r,B4,G3,r,B4,D4,r,B4,D4,G3,B2
431.0,150.3488,54,4.5,r,r,r,A4,G3,r,A4,C#4,r,A4,C#4,G3,B2
431.5,150.5233,54,4.75,r,r,r,A4,G3,r,A4,B3,r,A4,B3,G3,B2
432.0,150.6977,55,1.0,C#5,C#5,C#5,G#4,F3,C#5,G#4,C#4,C#5,G#4,C#4,F3,B2
433.0,151.0465,55,1.5,C#5,C#5,C#5,G#4,F3,C#5,G#4,C#4,C#5,G#4,C#4,F3,A2
434.0,151.3953,55,2.0,D5,D5,D5,G#4,F3,D5,G#4,B3,D5,G#4,B3,F3,G#2
435.0,151.7442,55,2.5,D5,D5,D5,A4,F#3,D5,A4,F#4,D5,A4,F#4,F#3,F#2
436.0,152.093,55,3.0,C5,C5,C5,E-4,G#3,C5,E-4,F#4,C5,E-4,F#4,G#3,G#2
437.0,152.4419,55,3.5,C5,C5,C5,E-4,F#3,C5,E-4,F#4,C5,E-4,F#4,F#3,F#2
438.0,152.7907,55,4.0,C5,C5,C5,G#4,G#3,C5,G#4,E4,C5,G#4,E4,G#3,G#2
439.0,153.1395,55,4.5,C#5,C#5,C#5,G#4,A3,C#5,G#4,E4,C#5,G#4,E4,A3,A2
440.0,153.4884,56,1.0,E-5,E-5,E-5,F#4,B3,E-5,F#4,E-4,E-5,F#4,E-4,B3,B2
441.0,153.8372,56,1.5,C#5,C#5,C#5,G#4,B3,C#5,G#4,E4,C#5,G#4,E4,B3,B2
442.0,154.186,56,2.0,E-5,E-5,E-5,A4,A3,E-5,A4,F#4,E-5,A4,F#4,A3,A2
443.0,154.5349,56,2.5,F5,F5,F5,B4,G#3,F5,B4,G#4,F5,B4,G#4,G#3,G#2
444.0,154.8837,56,3.0,F#5,F#5,F#5,E4,A3,F#5,E4,C#4,F#5,F#4,C#4,A3,A2
445.0,155.2326,56,3.5,F#5,F#5,F#5,E4,A3,F#5,E4,D4,F#5,F#4,D4,A3,A2
446.0,155.5814,56,4.0,E5,E5,E5,B4,G#3,E5,B4,E4,E5,B4,E4,G#3,G#2
447.0,155.9302,56,4.5,E-5,E-5,E-5,B4,G#3,E-5,B4,E4,E-5,B4,E4,G#3,G#2
448.0,156.2791,57,1.0,E5,E5,E5,C#5,F#3,E5,C#5,B-3,E5,C#5,B-3,F#3,F#2
449.0,156.6279,57,1.5,E5,E5,E5,F#4,F#3,E5,F#4,B-3,E5,F#4,B-3,F#3,F#2
450.0,156.9767,57,2.0,D5,D5,D5,F#4,F#3,D5,F#4,B3,D5,F#4,B3,F#3,F#2
451.0,157.3256,57,2.5,D5,D5,D5,F4,F#3,D5,F4,B3,D5,F4,B3,F#3,F#2
452.0,157.6744,57,3.0,C#5,C#5,C#5,F#4,F#3,C#5,F#4,B3,C#5,F#4,B3,F#3,F#2
453.0,158.0233,57,3.5,C#5,C#5,C#5,F#4,F#3,C#5,F#4,B-3,C#5,F#4,B-3,F#3,F#3
454.0,158.3721,57,4.0,C#5,C#5,C#5,F#4,G#3,C#5,F#4,B3,C#5,F#4,B3,G#3,G#3
455.0,158.7209,57,4.5,C#5,C#5,C#5,F#4,B-3,C#5,F#4,C#4,C#5,F#4,C#4,B-3,B-3
456.0,159.0698,58,1.0,C#5,C#5,C#5,F#4,B3,C#5,F#4,D4,C#5,F#4,D4,B3,B3
457.0,159.4186,58,1.5,F#4,F#4,F#4,F#4,A3,F#4,F#4,C#4,F#4,F#4,C#4,A3,A3
458.0,159.7674,58,2.0,G#4,G#4,G#4,F4,G#3,G#4,F4,B3,G#4,F4,B3,G#3,G#3
459.0,160.1163,58,2.5,A4,A4,A4,F#4,F#3,A4,F#4,A3,A4,F#4,A3,F#3,F#3
460.0,160.4651,58,3.0,B4,B4,B4,G#4,F3,B4,G#4,G#3,B4,G#4,G#3,F3,F3
461.0,160.814,58,3.5,D5,D5,D5,B4,F3,D5,B4,G#3,D5,B4,G#3,F3,F3
462.0,161.1628,58,4.0,C#5,C#5,C#5,A4,F#3,C#5,A4,A3,C#5,A4,A3,F#3,F#3
463.0,161.5116,58,4.5,B4,B4,B4,G#4,B2,B4,G#4,D4,B4,G#4,D4,B2,B2
464.0,161.8605,59,1.0,A4,A4,A4,F#4,C#3,A4,F#4,C#4,A4,F#4,C#4,C#3,C#3
466.0,162.5581,59,2.0,G#4,G#4,G#4,F4,C#3,G#4,F4,C#4,G#4,F4,C#4,C#3,C#2
467.0,162.907,59,2.5,G#4,G#4,G#4,F4,C#3,G#4,F4,B3,G#4,F4,B3,C#3,C#2
468.0,163.2558,59,3.0,F#4,F#4,F#4,C#4,F#2,F#4,C#4,B-3,F#4,C#4,B-3,F#2,F#2
