qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,F Trumpet 1,F Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,3.0,r,r,r,r,r,r,F3,F3,r,r,r,r,r,F4,F4,F3,F3,r
0.5,0.2381,1,3.5,r,r,r,r,r,r,C3,C3,r,r,r,r,r,C4,C4,C3,C3,r
1.0,0.4762,2,1.0,r,r,r,r,r,r,F3,F3,r,r,r,r,r,F4,F4,F3,F3,r
1.5,0.7143,2,1.5,r,r,r,r,r,r,C3,C3,r,r,r,r,r,C4,C4,C3,C3,r
2.0,0.9524,2,2.0,r,r,r,r,r,r,F3,F3,r,r,r,r,r,F4,F4,F3,F3,r
2.5,1.1905,2,2.5,r,r,r,r,r,r,C3,C3,r,r,r,r,r,C4,C4,C3,C3,r
3.0,1.4286,2,3.0,r,r,r,r,r,r,A3,F3,r,r,F4,F4,F2,A4,A4,A3,F3,r
3.5,1.6667,2,3.5,r,r,r,r,r,r,F3,C3,r,r,r,r,r,F4,F4,F3,C3,r
4.0,1.9048,3,1.0,r,r,r,r,r,r,A3,F3,r,r,C5,C4,C3,A4,A4,A3,F3,r
4.5,2.1429,3,1.5,r,r,r,r,r,r,F3,C3,r,r,C5,C4,r,F4,F4,F3,C3,r
5.0,2.381,3,2.0,r,r,r,r,r,r,A3,F3,r,r,C5,C4,r,A4,A4,A3,F3,r
5.5,2.619,3,2.5,r,r,r,r,r,r,F3,C3,r,r,r,r,r,F4,F4,F3,C3,r
6.0,2.8571,3,3.0,r,r,r,r,r,r,r,r,C4,C3,C5,C4,r,A5,A4,A3,F3,r
6.5,3.0952,3,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F4,F3,C3,r
7.0,3.3333,4,1.0,r,r,r,r,r,r,r,r,C4,C3,C5,C4,r,C6,B-4,B-3,G3,r
7.5,3.5714,4,1.5,r,r,r,r,r,r,r,r,C4,C3,C5,C4,r,C6,G4,G3,C3,r
8.0,3.8095,4,2.0,r,r,r,r,r,r,r,r,C4,C3,C5,C4,r,C6,B-4,B-3,G3,r
8.5,4.0476,4,2.5,r,r,r,r,r,r,r,r,C4,C3,C5,C4,r,B-5,G4,G3,C3,r
9.0,4.2857,4,3.0,r,r,r,r,r,r,r,r,C4,C3,C5,C4,r,G5,B-4,B-3,G3,r
9.5,4.5238,4,3.5,r,r,r,r,r,r,r,r,C4,C3,C5,C4,r,E5,G4,G3,C3,r
10.0,4.7619,5,1.0,r,r,r,r,r,r,r,r,C4,C3,C5,C4,r,G5,C5,C4,A3,r
10.5,5.0,5,1.5,r,r,r,r,r,r,r,r,C4,C3,C5,C4,r,F5,A4,A3,C3,r
11.0,5.2381,5,2.0,r,r,r,r,r,r,r,r,C4,C3,C5,C4,r,A5,C5,C4,A3,r
11.5,5.4762,5,2.5,r,r,r,r,r,r,r,r,C4,C3,C5,C4,r,F5,A4,A3,C3,r
12.0,5.7143,5,3.0,r,r,r,r,r,r,C4,r,C4,C3,C5,C4,r,C5,C4,A3,A3,A2
12.5,5.9524,5,3.5,r,r,r,r,r,r,C#4,r,C4,C3,C5,C4,r,C#5,C#4,C3,C3,r
13.0,6.1905,6,1.0,r,r,r,r,r,r,E4,r,C4,C3,C5,C4,r,E5,E4,B-3,B-3,B-2
13.5,6.4286,6,1.5,r,r,r,r,r,r,D4,r,C4,C3,C5,C4,r,D5,D4,C3,C3,B-2
14.0,6.6667,6,2.0,r,r,r,r,r,r,G3,r,C4,C3,C5,C4,r,G4,D4,B-3,B-3,B-2
14.5,6.9048,6,2.5,r,r,r,r,r,r,A3,r,C4,C3,C5,C4,r,A4,C4,A3,A3,A2
15.0,7.1429,6,3.0,r,r,r,r,r,r,B-3,r,C4,C3,C5,C4,r,B-4,B-3,G3,G3,G2
15.5,7.381,6,3.5,r,r,r,r,r,r,B3,r,C4,C3,C5,C4,r,B4,G#3,F3,F3,F2
16.0,7.619,7,1.0,r,r,r,r,r,r,B3,r,C4,C3,C5,C4,r,B4,G3,G3,E3,E2
16.5,7.8571,7,1.5,r,r,r,r,r,r,B3,r,C4,C3,C5,C4,r,B4,F4,F3,D3,D2
17.0,8.0952,7,2.0,r,r,r,r,r,r,C4,r,C4,C3,C5,C4,r,C5,E4,E3,C3,C2
17.5,8.3333,7,2.5,r,r,r,r,r,r,r,r,C4,C3,C5,C4,r,r,B-4,B-3,G3,G2
18.0,8.5714,7,3.0,r,r,r,r,r,r,A3,F3,C4,C3,C5,C4,C3,A5,A5,A3,F3,F2
18.5,8.8095,7,3.5,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,F3,C3,C2
19.0,9.0476,8,1.0,r,r,r,r,r,r,B-3,G3,C4,C3,C5,C4,C3,C6,C5,B-3,G2,G2
19.5,9.2857,8,1.5,r,r,r,r,r,r,B-3,G3,C4,C3,C5,C4,C3,C6,C5,G3,C2,C2
20.0,9.5238,8,2.0,r,r,r,r,r,r,B-3,G3,C4,C3,C5,C4,r,C6,C5,B-3,G2,G2
