qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,E Horn 1,E Horn 2,E Trumpet 1,E Trumpet 2,Timpani,Violin 1 solo,Violin 1 tutti,Violin 2,Viola,Violoncello,Contrabass
0.0,32.5,P5(Flute 2)&P8(A Clarinet 1)&P5(A Clarinet 2),P5(Flute 1)&P5(A Clarinet 1)&P8(A Clarinet 2),,,P8(Flute 1)&P5(Flute 2)&P5(A Clarinet 2),P5(Flute 1)&P8(Flute 2)&P5(A Clarinet 1),,,,P8(E Horn 2),P8(E Horn 1),,,,,Main Part,,,,
32.5,38.0,Main Part,P8(A Clarinet 2)&P8(Bassoon 2),,,P8(Main)&P8(Bassoon 1),P8(Flute 2)&P8(Bassoon 2),P8(Main)&P8(A Clarinet 1),P8(Flute 2)&P8(A Clarinet 2),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
38.0,49.5,,,U(Oboe 2),U(Oboe 1),,,,,,,,,,,,Main Part,,,,
49.5,69.0,,,Main Part,U(Main),,,,,,,,,,,,,,,,
69.0,72.5,,,,,,,Main Part,,,P8(E Horn 2)&P5(Violin 2)&P5(Viola)&P7(Violoncello)&P7(Contrabass),P8(E Horn 1)&P5(Violin 2)&P5(Viola)&P7(Violoncello)&P7(Contrabass),,,,,,P5(E Horn 1)&P5(E Horn 2)&P8(Viola)&P3(Violoncello)&P3(Contrabass),P5(E Horn 1)&P5(E Horn 2)&P8(Violin 2)&P3(Violoncello)&P3(Contrabass),P7(E Horn 1)&P7(E Horn 2)&P3(Violin 2)&P3(Viola)&P8(Contrabass),P7(E Horn 1)&P7(E Horn 2)&P3(Violin 2)&P3(Viola)&P8(Violoncello)
72.5,79.75,,,,,,,,,,P8(E Horn 2),P8(E Horn 1),,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
79.75,113.0,,,,,,,,,,,,,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
113.0,129.5,,,Main Part,,,,P8(Bassoon 2),P8(Bassoon 1),,,,,,,,,,,P8(Contrabass),P8(Violoncello)
129.5,147.0,P8(Bassoon 1),P8(Oboe 2),,P8(Flute 2),Main Part,,P8(Flute 1),,,,,,,,,,,,P8(Contrabass),P8(Violoncello)
147.0,156.25,Main Part,,P8(Main),,,,,,,P8(E Horn 2),P8(E Horn 1),,,,,,,,P8(Contrabass),P8(Violoncello)
156.25,180.0,,,,,,,,,,P8(E Horn 2),P8(E Horn 1),,,,,Main Part,,,P8(Contrabass),P8(Violoncello)
180.0,181.0,Main Part,,,,,,,,,,,,,,,P3(Violin 2)&P5(Viola),P3(Violin 1 tutti)&P3(Viola),P5(Violin 1 tutti)&P3(Violin 2),,
181.0,182.0,,,,,U(A Clarinet 2)&P5(Bassoon 1)&P3(Bassoon 2),U(A Clarinet 1)&P5(Bassoon 1)&P3(Bassoon 2),P5(A Clarinet 1)&P5(A Clarinet 2)&P3(Bassoon 2),P3(A Clarinet 1)&P3(A Clarinet 2)&P3(Bassoon 1),,,,,,,,Main Part,,,,
182.0,183.0,,,,,Main Part,U(Main),,,,,,,,,,P3(Violin 2)&P5(Viola),P3(Violin 1 tutti)&P3(Viola),P5(Violin 1 tutti)&P3(Violin 2),,
